P 300, 2000, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P 300.0000, 2200.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 300.0000, 2400.0000, 0.0000,  0, 0, 0,  2,  http://www.eqmaps.info
P 300.0000, 2600.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L -1177, -473, -9, -1161, -468, -6, 150, 150, 150
L -1161, -468, -6, -1156, -450, -2, 150, 150, 150
L -1156, -450, -2, -1169, -438, 0, 150, 150, 150
L 410, 37, -363, 487, 23, -363, 64, 64, 64
L 487, 23, -363, 525, 13, -363, 64, 64, 64
L 525, 13, -363, 603, 14, -361, 64, 64, 64
L 603, 14, -361, 642, 24, -361, 64, 64, 64
L 642, 24, -361, 681, 23, -363, 64, 64, 64
L 681, 23, -363, 720, 30, -363, 64, 64, 64
L 720, 30, -363, 759, 18, -363, 64, 64, 64
L 759, 18, -363, 797, 38, -363, 64, 64, 64
L 797, 38, -363, 813, 81, -363, 64, 64, 64
L 813, 81, -363, 804, 124, -363, 64, 64, 64
L 804, 124, -363, 817, 167, -361, 64, 64, 64
L 817, 167, -361, 810, 210, -361, 64, 64, 64
L 810, 210, -361, 820, 254, -361, 64, 64, 64
L 820, 254, -361, 820, 297, -362, 64, 64, 64
L 820, 297, -362, 809, 341, -363, 64, 64, 64
L 809, 341, -363, 804, 383, -363, 64, 64, 64
L 804, 383, -363, 804, 427, -363, 64, 64, 64
L 804, 427, -363, 797, 469, -363, 64, 64, 64
L 797, 469, -363, 759, 489, -363, 64, 64, 64
L 759, 489, -363, 720, 502, -363, 64, 64, 64
L 720, 502, -363, 681, 518, -363, 64, 64, 64
L 681, 518, -363, 642, 518, -363, 64, 64, 64
L 642, 518, -363, 604, 527, -363, 64, 64, 64
L 604, 527, -363, 565, 527, -363, 64, 64, 64
L 565, 527, -363, 527, 518, -363, 64, 64, 64
L 527, 518, -363, 487, 502, -363, 64, 64, 64
L 487, 502, -363, 448, 506, -363, 64, 64, 64
L 448, 506, -363, 410, 470, -363, 64, 64, 64
L 410, 470, -363, 388, 426, -363, 64, 64, 64
L 388, 426, -363, 385, 383, -363, 64, 64, 64
L 385, 383, -363, 375, 341, -363, 64, 64, 64
L 375, 341, -363, 375, 255, -363, 64, 64, 64
L 375, 255, -363, 385, 212, -363, 64, 64, 64
L 385, 212, -363, 385, 167, -363, 64, 64, 64
L 385, 167, -363, 398, 124, -363, 64, 64, 64
L 398, 124, -363, 397, 81, -363, 64, 64, 64
L 397, 81, -363, 410, 37, -363, 64, 64, 64
L 555, 439, -363, 546, 472, -363, 150, 150, 150
L 546, 472, -363, 569, 495, -363, 150, 150, 150
L 569, 495, -363, 601, 486, -362, 150, 150, 150
L 601, 486, -362, 609, 455, -362, 150, 150, 150
L 609, 455, -362, 587, 431, -362, 150, 150, 150
L 587, 431, -362, 555, 439, -363, 150, 150, 150
L 565, 450, -362, 561, 468, -362, 150, 150, 150
L 561, 468, -362, 573, 480, -362, 150, 150, 150
L 573, 480, -362, 591, 475, -362, 150, 150, 150
L 591, 475, -362, 596, 458, -362, 150, 150, 150
L 596, 458, -362, 583, 446, -362, 150, 150, 150
L 583, 446, -362, 565, 450, -362, 150, 150, 150
L -314, -591, -58, -272, -591, -58, 0, 0, 0
L -272, -591, -58, -272, -681, -58, 0, 0, 0
L -272, -681, -58, -372, -681, -58, 0, 0, 0
L -372, -681, -58, -372, -591, -58, 0, 0, 0
L -372, -591, -58, -332, -591, -58, 0, 0, 0
L -332, -591, -58, -332, -599, -58, 0, 0, 0
L -365, -599, -58, -365, -673, -58, 0, 0, 0
L -365, -673, -58, -279, -673, -58, 0, 0, 0
L -279, -673, -58, -279, -599, -58, 0, 0, 0
L -314, -591, -58, -314, -599, -58, 0, 0, 0
L -332, -599, -58, -365, -599, -58, 0, 0, 0
L -314, -599, -58, -279, -599, -58, 0, 0, 0
L -299, -551, -79, -162, -551, -75, 64, 64, 64
L -162, -551, -74, -237, -713, -79, 64, 64, 64
L -237, -713, -80, -407, -713, -72, 64, 64, 64
L -407, -713, -72, -482, -551, -77, 64, 64, 64
L -482, -551, -76, -342, -551, -79, 64, 64, 64
L -342, -551, -79, -342, -490, -78, 64, 64, 64
L -300, -491, -76, -299, -551, -79, 64, 64, 64
L -449, -578, -58, -441, -582, -58, 0, 0, 0
L -441, -591, -58, -441, -582, -58, 0, 0, 0
L -441, -591, -58, -449, -595, -58, 0, 0, 0
L -449, -595, -58, -456, -591, -58, 0, 0, 0
L -456, -591, -58, -456, -582, -58, 0, 0, 0
L -456, -582, -58, -449, -578, -58, 0, 0, 0
L -401, -626, -58, -394, -631, -58, 0, 0, 0
L -394, -631, -58, -394, -639, -58, 0, 0, 0
L -394, -639, -58, -401, -643, -58, 0, 0, 0
L -401, -643, -58, -409, -639, -58, 0, 0, 0
L -409, -639, -58, -408, -631, -58, 0, 0, 0
L -408, -631, -58, -401, -626, -58, 0, 0, 0
L -243, -643, -58, -251, -639, -58, 0, 0, 0
L -251, -639, -58, -251, -631, -58, 0, 0, 0
L -251, -631, -58, -243, -626, -58, 0, 0, 0
L -243, -626, -58, -236, -631, -58, 0, 0, 0
L -236, -631, -58, -236, -639, -58, 0, 0, 0
L -236, -639, -58, -243, -643, -58, 0, 0, 0
L -192, -596, -58, -200, -592, -58, 0, 0, 0
L -200, -592, -58, -200, -583, -58, 0, 0, 0
L -200, -583, -58, -192, -579, -58, 0, 0, 0
L -192, -579, -58, -185, -583, -58, 0, 0, 0
L -185, -583, -58, -185, -592, -58, 0, 0, 0
L -185, -592, -58, -192, -596, -58, 0, 0, 0
L -49, -188, -119, -115, -149, -119, 64, 64, 64
L -189, -123, -119, -270, -109, -119, 64, 64, 64
L -270, -109, -119, -332, -65, -119, 64, 64, 64
L -332, -65, -119, -432, -81, -119, 64, 64, 64
L -432, -81, -119, -510, -130, -119, 64, 64, 64
L -510, -130, -119, -556, -192, -119, 64, 64, 64
L -556, -192, -119, -614, -251, -119, 64, 64, 64
L -614, -251, -119, -696, -388, -119, 64, 64, 64
L -696, -388, -119, -721, -466, -119, 64, 64, 64
L -721, -466, -119, -762, -535, -119, 64, 64, 64
L -762, -535, -119, -781, -617, -119, 64, 64, 64
L -781, -617, -119, -822, -685, -119, 64, 64, 64
L -822, -685, -119, -843, -765, -119, 64, 64, 64
L -843, -765, -119, -785, -818, -119, 64, 64, 64
L -785, -818, -119, -726, -867, -119, 64, 64, 64
L -726, -867, -119, -669, -922, -119, 64, 64, 64
L -669, -922, -119, -538, -1001, -114, 64, 64, 64
L -538, -1001, -114, -463, -1024, -114, 64, 64, 64
L -463, -1024, -114, -397, -1063, -119, 64, 64, 64
L -397, -1063, -119, -324, -1094, -119, 64, 64, 64
L -324, -1094, -119, -270, -1151, -119, 64, 64, 64
L -270, -1151, -119, -186, -1159, -119, 64, 64, 64
L -186, -1159, -119, -118, -1108, -119, 64, 64, 64
L -118, -1108, -119, -92, -1031, -119, 64, 64, 64
L -92, -1031, -119, -30, -975, -115, 64, 64, 64
L -30, -975, -115, 0, -899, -114, 64, 64, 64
L 0, -899, -114, 58, -841, -114, 64, 64, 64
L 58, -841, -114, 99, -773, -117, 64, 64, 64
L 99, -773, -117, 122, -694, -119, 64, 64, 64
L 122, -694, -119, 154, -620, -118, 64, 64, 64
L 154, -620, -118, 195, -551, -118, 64, 64, 64
L 195, -551, -118, 224, -475, -119, 64, 64, 64
L 224, -475, -119, 178, -406, -119, 64, 64, 64
L 178, -406, -119, 123, -346, -119, 64, 64, 64
L 123, -346, -119, 74, -281, -119, 64, 64, 64
L 7, -241, -119, -49, -188, -119, 64, 64, 64
L -115, -149, -119, -189, -123, -119, 64, 64, 64
L 7, -241, -119, 74, -281, -119, 64, 64, 64
L -237, -219, -119, -206, -205, -119, 150, 150, 150
L -206, -205, -119, -202, -171, -119, 150, 150, 150
L -202, -171, -119, -229, -151, -118, 150, 150, 150
L -229, -151, -118, -260, -166, -117, 150, 150, 150
L -260, -166, -117, -264, -199, -117, 150, 150, 150
L -264, -199, -117, -237, -219, -119, 150, 150, 150
L -235, -203, -117, -218, -195, -117, 150, 150, 150
L -218, -195, -117, -217, -178, -117, 150, 150, 150
L -217, -178, -117, -232, -167, -117, 150, 150, 150
L -232, -167, -117, -248, -174, -117, 150, 150, 150
L -248, -174, -117, -249, -193, -117, 150, 150, 150
L -249, -193, -117, -235, -203, -117, 150, 150, 150
L 805, -1311, 123, 882, -1377, 123, 64, 64, 64
L 882, -1377, 123, 978, -1421, 123, 64, 64, 64
L 978, -1421, 123, 1057, -1359, 123, 64, 64, 64
L 1057, -1359, 123, 1133, -1293, 123, 64, 64, 64
L 1133, -1293, 123, 1215, -1233, 123, 64, 64, 64
L 1215, -1233, 123, 1343, -1082, 128, 64, 64, 64
L 1343, -1082, 128, 1390, -993, 128, 64, 64, 64
L 1390, -993, 128, 1453, -918, 123, 64, 64, 64
L 1453, -918, 123, 1507, -832, 123, 64, 64, 64
L 1507, -832, 123, 1592, -774, 123, 64, 64, 64
L 1592, -774, 123, 1621, -669, 123, 64, 64, 64
L 1621, -669, 123, 1570, -571, 123, 64, 64, 64
L 1570, -571, 123, 1476, -521, 123, 64, 64, 64
L 1476, -521, 123, 1419, -430, 127, 64, 64, 64
L 1419, -430, 127, 1329, -377, 128, 64, 64, 64
L 1329, -377, 128, 1268, -289, 128, 64, 64, 64
L 1268, -289, 128, 1190, -223, 125, 64, 64, 64
L 1190, -223, 125, 1093, -176, 123, 64, 64, 64
L 1093, -176, 123, 1007, -120, 124, 64, 64, 64
L 1007, -120, 124, 928, -53, 124, 64, 64, 64
L 928, -53, 124, 838, 0, 123, 64, 64, 64
L 838, 0, 123, 739, -44, 123, 64, 64, 64
L 739, -44, 123, 652, -100, 123, 64, 64, 64
L 652, -100, 123, 559, -150, 123, 64, 64, 64
L 559, -150, 123, 495, -225, 123, 64, 64, 64
L 495, -225, 123, 414, -287, 123, 64, 64, 64
L 414, -287, 123, 350, -362, 123, 64, 64, 64
L 350, -362, 123, 302, -451, 123, 64, 64, 64
L 302, -451, 123, 266, -552, 123, 64, 64, 64
L 266, -552, 123, 196, -621, 123, 64, 64, 64
L 196, -621, 123, 196, -752, 123, 64, 64, 64
L 196, -752, 123, 242, -862, 123, 64, 64, 64
L 242, -862, 123, 311, -933, 123, 64, 64, 64
L 311, -933, 123, 374, -1019, 123, 64, 64, 64
L 374, -1019, 123, 530, -1154, 123, 64, 64, 64
L 530, -1154, 123, 625, -1202, 123, 64, 64, 64
L 625, -1202, 123, 703, -1269, 123, 64, 64, 64
L 703, -1269, 123, 805, -1311, 123, 64, 64, 64
L 665, -804, 161, 601, -840, 157, 150, 150, 150
L 601, -840, 156, 537, -804, 156, 150, 150, 150
L 537, -804, 157, 537, -777, 159, 150, 150, 150
L 537, -777, 159, 513, -777, 157, 150, 150, 150
L 513, -756, 160, 537, -756, 161, 150, 150, 150
L 537, -756, 161, 537, -730, 160, 150, 150, 150
L 537, -730, 160, 601, -693, 160, 150, 150, 150
L 601, -693, 160, 665, -730, 166, 150, 150, 150
L 665, -730, 165, 665, -804, 161, 150, 150, 150
L 551, -773, 172, 547, -773, 172, 150, 150, 150
L 547, -773, 169, 547, -797, 169, 150, 150, 150
L 547, -797, 169, 601, -828, 169, 150, 150, 150
L 601, -828, 169, 655, -797, 169, 150, 150, 150
L 655, -797, 169, 655, -735, 169, 150, 150, 150
L 655, -735, 169, 601, -704, 169, 150, 150, 150
L 601, -704, 169, 547, -735, 169, 150, 150, 150
L 547, -735, 169, 547, -761, 169, 150, 150, 150
L 547, -761, 172, 551, -761, 172, 150, 150, 150
L 551, -761, 171, 551, -737, 171, 150, 150, 150
L 551, -737, 171, 601, -708, 171, 150, 150, 150
L 601, -708, 171, 651, -737, 171, 150, 150, 150
L 651, -737, 171, 651, -795, 171, 150, 150, 150
L 651, -795, 171, 601, -824, 171, 150, 150, 150
L 601, -824, 171, 551, -795, 171, 150, 150, 150
L 551, -795, 171, 551, -773, 171, 150, 150, 150
L 588, -767, 171, 596, -782, 171, 150, 150, 150
L 613, -782, 171, 621, -768, 171, 150, 150, 150
L 621, -768, 171, 613, -754, 171, 150, 150, 150
L 588, -767, 171, 597, -754, 171, 150, 150, 150
L 613, -754, 171, 597, -754, 171, 150, 150, 150
L 596, -782, 171, 613, -782, 171, 150, 150, 150
L 611, -765, 175, 605, -759, 175, 150, 150, 150
L 605, -759, 175, 597, -761, 175, 150, 150, 150
L 597, -761, 175, 594, -769, 175, 150, 150, 150
L 594, -769, 175, 600, -776, 175, 150, 150, 150
L 600, -776, 175, 608, -774, 175, 150, 150, 150
L 608, -774, 175, 611, -765, 175, 150, 150, 150
L 367, -516, 124, 375, -484, 123, 150, 150, 150
L 375, -484, 123, 352, -461, 123, 150, 150, 150
L 352, -461, 123, 320, -469, 123, 150, 150, 150
L 320, -469, 123, 312, -500, 124, 150, 150, 150
L 312, -500, 124, 335, -523, 124, 150, 150, 150
L 335, -523, 124, 367, -516, 124, 150, 150, 150
L 356, -505, 125, 361, -488, 125, 150, 150, 150
L 361, -488, 125, 348, -475, 125, 150, 150, 150
L 348, -475, 125, 331, -480, 125, 150, 150, 150
L 331, -480, 125, 326, -497, 125, 150, 150, 150
L 326, -497, 125, 339, -510, 125, 150, 150, 150
L 339, -510, 125, 356, -505, 125, 150, 150, 150
L -554, -1409, -769, -554, -1292, -769, 0, 0, 0
L -554, -1292, -769, -671, -1292, -769, 0, 0, 0
L -671, -1292, -769, -671, -1410, -769, 0, 0, 0
L -671, -1410, -769, -583, -1410, -769, 0, 0, 0
L -583, -1410, -769, -583, -1452, -769, 0, 0, 0
L -583, -1452, -769, -660, -1452, -769, 0, 0, 0
L -660, -1490, -769, -620, -1490, -769, 0, 0, 0
L -660, -1452, -769, -661, -1452, -769, 0, 0, 0
L -660, -1490, -769, -660, -1452, -769, 0, 0, 0
L -620, -1490, -769, -620, -1591, -770, 0, 0, 0
L -620, -1591, -770, -602, -1582, -769, 64, 64, 64
L -602, -1582, -769, -602, -1488, -769, 0, 0, 0
L -565, -1488, -769, -602, -1488, -769, 0, 0, 0
L -554, -1409, -769, -565, -1409, -769, 0, 0, 0
L -565, -1409, -769, -565, -1488, -769, 0, 0, 0
L -1095, 1017, 405, -1164, 1034, 405, 64, 64, 64
L -1164, 1034, 405, -1243, 986, 405, 64, 64, 64
L -1243, 986, 405, -1293, 917, 405, 64, 64, 64
L -1293, 917, 405, -1310, 849, 405, 64, 64, 64
L -1310, 849, 405, -1339, 779, 405, 64, 64, 64
L -1339, 779, 405, -1362, 635, 405, 64, 64, 64
L -1362, 635, 405, -1356, 560, 405, 64, 64, 64
L -1356, 560, 405, -1367, 488, 405, 64, 64, 64
L -1367, 488, 405, -1355, 412, 405, 64, 64, 64
L -1355, 412, 405, -1366, 340, 405, 64, 64, 64
L -1366, 340, 405, -1357, 264, 405, 64, 64, 64
L -1357, 264, 405, -1291, 240, 405, 64, 64, 64
L -1291, 240, 405, -1225, 218, 405, 64, 64, 64
L -1225, 218, 405, -1157, 191, 405, 64, 64, 64
L -1157, 191, 405, -1018, 169, 410, 64, 64, 64
L -1018, 169, 410, -946, 175, 410, 64, 64, 64
L -946, 175, 410, -877, 164, 405, 64, 64, 64
L -877, 164, 405, -805, 163, 405, 64, 64, 64
L -805, 163, 405, -739, 133, 405, 64, 64, 64
L -739, 133, 405, -665, 155, 405, 64, 64, 64
L -665, 155, 405, -625, 222, 405, 64, 64, 64
L -625, 222, 405, -629, 296, 405, 64, 64, 64
L -629, 296, 405, -596, 365, 409, 64, 64, 64
L -596, 365, 409, -597, 438, 410, 64, 64, 64
L -597, 438, 410, -566, 509, 410, 64, 64, 64
L -566, 509, 410, -555, 580, 407, 64, 64, 64
L -555, 580, 407, -562, 655, 405, 64, 64, 64
L -562, 655, 405, -560, 730, 406, 64, 64, 64
L -560, 730, 406, -549, 802, 406, 64, 64, 64
L -549, 802, 406, -550, 875, 405, 64, 64, 64
L -550, 875, 405, -614, 919, 405, 64, 64, 64
L -614, 919, 405, -680, 951, 405, 64, 64, 64
L -680, 951, 405, -745, 989, 405, 64, 64, 64
L -745, 989, 405, -814, 1000, 405, 64, 64, 64
L -814, 1000, 405, -881, 1026, 405, 64, 64, 64
L -881, 1026, 405, -950, 1037, 405, 64, 64, 64
L -950, 1037, 405, -1022, 1033, 405, 64, 64, 64
L -1022, 1033, 405, -1095, 1017, 405, 64, 64, 64
L -1098, 780, 442, -1103, 770, 442, 0, 0, 0
L -1103, 770, 442, -1092, 765, 441, 0, 0, 0
L -1092, 765, 441, -1088, 775, 441, 0, 0, 0
L -1088, 775, 441, -1098, 780, 442, 0, 0, 0
L -1069, 497, 459, -1059, 495, 452, 0, 0, 0
L -1059, 495, 452, -1061, 485, 453, 0, 0, 0
L -1061, 485, 453, -1071, 487, 456, 0, 0, 0
L -1071, 487, 456, -1069, 497, 459, 0, 0, 0
L -707, 527, 443, -699, 520, 443, 0, 0, 0
L -699, 520, 443, -692, 529, 442, 64, 64, 64
L -692, 529, 442, -700, 536, 441, 64, 64, 64
L -700, 536, 441, -707, 527, 443, 0, 0, 0
L -743, 214, 406, -755, 184, 406, 150, 150, 150
L -755, 184, 406, -736, 159, 405, 150, 150, 150
L -736, 159, 405, -704, 163, 405, 150, 150, 150
L -704, 163, 405, -692, 194, 405, 150, 150, 150
L -692, 194, 405, -712, 217, 406, 150, 150, 150
L -712, 217, 406, -743, 214, 406, 150, 150, 150
L -736, 203, 407, -742, 186, 406, 150, 150, 150
L -742, 186, 406, -731, 172, 407, 150, 150, 150
L -731, 172, 407, -713, 175, 407, 150, 150, 150
L -713, 175, 407, -706, 191, 406, 150, 150, 150
L -706, 191, 406, -718, 206, 406, 150, 150, 150
L -718, 206, 406, -735, 203, 406, 150, 150, 150
L 1244, 1690, -1093, 1302, 1492, -1093, 64, 64, 64
L 1302, 1492, -1093, 1387, 1299, -1093, 64, 64, 64
L 1387, 1299, -1093, 1402, 1194, -1093, 64, 64, 64
L 1402, 1194, -1093, 1403, 1082, -1093, 64, 64, 64
L 1403, 1082, -1093, 1438, 995, -1093, 64, 64, 64
L 1438, 995, -1093, 1432, 888, -1093, 64, 64, 64
L 1432, 888, -1093, 1476, 790, -1093, 64, 64, 64
L 1476, 790, -1093, 1480, 680, -1093, 64, 64, 64
L 1480, 680, -1093, 1371, 616, -1093, 64, 64, 64
L 1371, 616, -1093, 1267, 622, -1093, 64, 64, 64
L 1267, 622, -1093, 1173, 543, -1093, 64, 64, 64
L 1173, 543, -1093, 1083, 480, -1093, 64, 64, 64
L 1083, 480, -1093, 981, 521, -1093, 64, 64, 64
L 981, 521, -1093, 664, 480, -1093, 64, 64, 64
L 664, 480, -1093, 490, 476, -1093, 64, 64, 64
L 490, 476, -1093, 440, 570, -1093, 64, 64, 64
L 440, 570, -1093, 417, 672, -1093, 64, 64, 64
L 417, 672, -1093, 359, 778, -1093, 64, 64, 64
L 359, 778, -1093, 337, 875, -1093, 64, 64, 64
L 337, 875, -1093, 264, 1080, -1093, 64, 64, 64
L 264, 1080, -1093, 248, 1372, -1093, 64, 64, 64
L 248, 1372, -1093, 283, 1490, -1093, 64, 64, 64
L 283, 1490, -1093, 354, 1587, -1093, 64, 64, 64
L 354, 1587, -1093, 450, 1601, -1093, 64, 64, 64
L 450, 1601, -1093, 642, 1713, -1093, 64, 64, 64
L 642, 1713, -1093, 845, 1730, -1093, 64, 64, 64
L 845, 1730, -1093, 942, 1737, -1093, 64, 64, 64
L 942, 1737, -1093, 1143, 1713, -1093, 64, 64, 64
L 1143, 1713, -1093, 1244, 1690, -1093, 64, 64, 64
L 1315, 461, -1247, 1351, 499, -1247, 64, 64, 64
L 1351, 499, -1247, 1382, 495, -1247, 64, 64, 64
L 1382, 495, -1247, 1422, 488, -1247, 64, 64, 64
L 1422, 488, -1247, 1475, 478, -1247, 64, 64, 64
L 1475, 478, -1247, 1557, 466, -1247, 64, 64, 64
L 1557, 466, -1247, 1604, 441, -1247, 64, 64, 64
L 1604, 441, -1247, 1644, 432, -1247, 64, 64, 64
L 1644, 432, -1247, 1685, 410, -1247, 64, 64, 64
L 1685, 410, -1247, 1727, 406, -1247, 64, 64, 64
L 1727, 406, -1247, 1764, 379, -1247, 64, 64, 64
L 1764, 379, -1247, 1773, 336, -1247, 64, 64, 64
L 1773, 336, -1247, 1751, 301, -1247, 64, 64, 64
L 1751, 301, -1247, 1745, 260, -1247, 64, 64, 64
L 1745, 260, -1247, 1737, 234, -1247, 64, 64, 64
L 1737, 234, -1247, 1733, 193, -1247, 64, 64, 64
L 1733, 193, -1247, 1715, 125, -1247, 64, 64, 64
L 1715, 125, -1247, 1699, 86, -1247, 64, 64, 64
L 1699, 86, -1247, 1655, 6, -1247, 64, 64, 64
L 1655, 6, -1247, 1612, 8, -1247, 64, 64, 64
L 1612, 8, -1247, 1567, 20, -1247, 64, 64, 64
L 1567, 20, -1247, 1528, 21, -1247, 64, 64, 64
L 1528, 21, -1247, 1486, 27, -1247, 64, 64, 64
L 1486, 27, -1247, 1445, 36, -1247, 64, 64, 64
L 1445, 36, -1247, 1359, 57, -1247, 64, 64, 64
L 1359, 57, -1247, 1320, 76, -1247, 64, 64, 64
L 1320, 76, -1247, 1245, 117, -1247, 64, 64, 64
L 1245, 117, -1247, 1218, 176, -1247, 64, 64, 64
L 1218, 176, -1247, 1230, 213, -1247, 64, 64, 64
L 1230, 213, -1247, 1231, 244, -1247, 64, 64, 64
L 1231, 244, -1247, 1229, 284, -1247, 64, 64, 64
L 1229, 284, -1247, 1240, 324, -1247, 64, 64, 64
L 1240, 324, -1247, 1252, 354, -1247, 64, 64, 64
L 1252, 354, -1247, 1268, 399, -1247, 64, 64, 64
L -216, 1093, 799, -159, 1125, 789, 0, 0, 0
L -159, 1125, 789, -161, 1130, 788, 0, 0, 0
L -161, 1130, 788, -124, 1155, 783, 0, 0, 0
L -124, 1155, 783, -130, 1161, 778, 0, 0, 0
L -130, 1161, 778, -152, 1172, 778, 0, 0, 0
L -152, 1172, 778, -176, 1160, 780, 0, 0, 0
L -176, 1160, 780, -178, 1163, 779, 0, 0, 0
L -178, 1163, 779, -235, 1127, 782, 0, 0, 0
L -235, 1127, 782, -223, 1109, 794, 0, 0, 0
L -223, 1109, 794, -216, 1093, 799, 0, 0, 0
L -255, 1072, 806, -259, 1078, 803, 0, 0, 0
L -259, 1078, 803, -274, 1099, 784, 0, 0, 0
L -274, 1099, 784, -332, 1059, 787, 0, 0, 0
L -432, -1581, -686, -392, -1515, -684, 64, 64, 64
L -392, -1515, -684, -380, -1476, -684, 64, 64, 64
L -380, -1476, -684, -361, -1443, -686, 64, 64, 64
L -361, -1443, -686, -346, -1406, -686, 64, 64, 64
L -346, -1406, -686, -316, -1379, -686, 64, 64, 64
L -312, -1337, -686, -341, -1300, -686, 64, 64, 64
L -341, -1300, -686, -383, -1286, -686, 64, 64, 64
L -383, -1286, -686, -413, -1253, -684, 64, 64, 64
L -413, -1253, -684, -454, -1236, -684, 64, 64, 64
L -454, -1236, -684, -485, -1205, -684, 64, 64, 64
L -485, -1205, -684, -523, -1183, -685, 64, 64, 64
L -523, -1183, -685, -566, -1169, -686, 64, 64, 64
L -566, -1169, -686, -606, -1152, -686, 64, 64, 64
L -606, -1152, -686, -642, -1129, -686, 64, 64, 64
L -642, -1129, -686, -683, -1113, -686, 64, 64, 64
L -683, -1113, -686, -720, -1136, -686, 64, 64, 64
L -720, -1136, -686, -751, -1163, -686, 64, 64, 64
L -751, -1163, -686, -784, -1188, -686, 64, 64, 64
L -784, -1188, -686, -804, -1221, -686, 64, 64, 64
L -804, -1221, -686, -832, -1250, -686, 64, 64, 64
L -832, -1250, -686, -852, -1283, -686, 64, 64, 64
L -852, -1283, -686, -864, -1320, -686, 64, 64, 64
L -864, -1320, -686, -871, -1362, -686, 64, 64, 64
L -871, -1362, -686, -893, -1394, -686, 64, 64, 64
L -893, -1394, -686, -883, -1446, -686, 64, 64, 64
L -883, -1446, -686, -856, -1486, -686, 64, 64, 64
L -856, -1486, -686, -822, -1511, -686, 64, 64, 64
L -822, -1511, -686, -790, -1542, -686, 64, 64, 64
L -790, -1542, -686, -716, -1586, -686, 64, 64, 64
L -716, -1586, -686, -674, -1600, -686, 64, 64, 64
L -674, -1600, -686, -637, -1622, -686, 64, 64, 64
L -637, -1622, -686, -593, -1634, -686, 64, 64, 64
L -553, -1638, -686, -522, -1644, -686, 150, 150, 150
L -522, -1644, -686, -501, -1619, -686, 150, 150, 150
L -501, -1619, -686, -512, -1590, -685, 150, 150, 150
L -512, -1590, -685, -543, -1584, -683, 150, 150, 150
L -543, -1584, -683, -564, -1608, -686, 150, 150, 150
L -564, -1608, -686, -553, -1638, -686, 150, 150, 150
L -544, -1627, -686, -527, -1631, -685, 150, 150, 150
L -527, -1631, -685, -514, -1617, -686, 150, 150, 150
L -514, -1617, -686, -521, -1600, -686, 150, 150, 150
L -521, -1600, -686, -538, -1597, -686, 150, 150, 150
L -538, -1597, -686, -550, -1610, -686, 150, 150, 150
L -550, -1610, -686, -544, -1627, -686, 150, 150, 150
L -354, -1330, -686, -386, -1330, -685, 150, 150, 150
L -386, -1330, -684, -403, -1360, -682, 150, 150, 150
L -386, -1387, -685, -354, -1387, -686, 150, 150, 150
L -354, -1387, -686, -338, -1360, -686, 150, 150, 150
L -403, -1360, -682, -386, -1387, -685, 150, 150, 150
L -338, -1360, -686, -354, -1330, -686, 150, 150, 150
