P -200, -100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, -300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, -500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 0, -519, 16, 0, -522, 16, 0, 0, 0
L 19, -509, 13, 0, -519, 16, 0, 0, 0
L 9, -494, 14, 25, -491, 11, 255, 0, 0
L 6, -494, 14, 9, -494, 14, 255, 0, 0
L 2, -487, 13, 6, -494, 14, 255, 0, 0
L 1, -480, 11, 2, -487, 13, 255, 0, 0
L 1, -475, 8, 1, -480, 11, 255, 0, 0
L 25, -474, 8, 1, -475, 8, 255, 0, 0
L 48, -485, 13, 25, -474, 8, 255, 0, 0
L 64, -466, 2, 48, -485, 13, 0, 0, 0
L -62, -485, 12, -78, -466, 2, 0, 0, 0
L -46, -498, 12, -33, -509, 13, 0, 0, 0
L -13, -519, 16, -33, -509, 13, 0, 0, 0
L -13, -522, 16, -13, -519, 16, 0, 0, 0
L -24, -522, 16, -13, -522, 16, 0, 0, 0
L -24, -529, 16, -24, -522, 16, 0, 0, 0
L -78, -493, 28, -85, -493, 28, 0, 255, 255
L -78, -470, 28, -78, -493, 28, 0, 255, 255
L -85, -470, 28, -78, -470, 28, 0, 255, 255
L -83, -450, 28, -83, -467, 28, 0, 255, 255
L -77, -447, 28, -85, -447, 28, 0, 255, 255
L -77, -447, 28, -73, -443, 28, 0, 255, 255
L -73, -400, 28, -73, -413, 28, 0, 255, 255
L -73, -413, 28, -73, -443, 28, 0, 255, 255
L -36, -366, 28, -36, -363, 28, 0, 255, 255
L -54, -400, 14, -36, -400, 14, 0, 255, 0
L -54, -397, 14, -54, -398, 14, 0, 255, 0
L -52, -361, 0, -52, -366, 0, 0, 0, 0
L -49, -373, 0, -49, -361, 0, 0, 0, 0
L -42, -373, 0, -49, -373, 0, 0, 0, 0
L -44, -392, 0, -44, -376, 0, 0, 0, 0
L -26, -392, 0, -44, -392, 0, 0, 0, 0
L -23, -397, 0, -23, -390, 0, 0, 0, 0
L -20, -397, 0, -23, -397, 0, 0, 0, 0
L -20, -411, 0, -20, -397, 0, 0, 0, 0
L -14, -411, 0, -20, -411, 0, 0, 0, 0
L -14, -426, 0, -14, -411, 0, 0, 0, 0
L -29, -412, 0, -29, -426, 0, 0, 0, 0
L -64, -412, 0, -29, -412, 0, 0, 0, 0
L -64, -426, 0, -64, -412, 0, 0, 0, 0
L -78, -426, 0, -64, -426, 0, 0, 0, 0
L -78, -441, 0, -78, -426, 0, 0, 0, 0
L -64, -441, 0, -78, -441, 0, 0, 0, 0
L -64, -456, 0, -64, -441, 0, 0, 0, 0
L -78, -456, 0, -64, -456, 0, 0, 0, 0
L -78, -463, 0, -78, -456, 0, 0, 0, 0
L 18, -326, 0, 18, -323, 0, 0, 0, 0
L 56, -325, 0, 21, -325, 0, 0, 0, 0
L 59, -334, 0, 59, -323, 0, 0, 0, 0
L 33, -334, 0, 59, -334, 0, 0, 0, 0
L 30, -334, 0, 33, -334, 0, 0, 0, 0
L 17, -334, 0, 30, -334, 0, 0, 0, 0
L 17, -347, 0, 17, -334, 0, 0, 0, 0
L 12, -350, 0, 19, -350, 0, 0, 0, 0
L 12, -373, 0, 12, -350, 0, 0, 0, 0
L 19, -373, 0, 12, -373, 0, 0, 0, 0
L 17, -379, 0, 17, -376, 0, 0, 0, 0
L 12, -379, 0, 17, -379, 0, 0, 0, 0
L 9, -373, 0, 9, -381, 0, 0, 0, 0
L 0, -373, 0, 9, -373, 0, 0, 0, 0
L 0, -364, 0, 0, -373, 0, 0, 0, 0
L -14, -364, 0, 0, -364, 0, 0, 0, 0
L -14, -373, 0, -14, -364, 0, 0, 0, 0
L -23, -373, 0, -14, -373, 0, 0, 0, 0
L -26, -379, 0, -31, -379, 0, 0, 0, 0
L -33, -373, 0, -33, -376, 0, 0, 0, 0
L -26, -373, 0, -33, -373, 0, 0, 0, 0
L -26, -350, 0, -26, -373, 0, 0, 0, 0
L -26, -350, 0, -33, -350, 0, 0, 0, 0
L -31, -334, 0, -31, -347, 0, 0, 0, 0
L -44, -334, 0, -31, -334, 0, 0, 0, 0
L -47, -334, 0, -44, -334, 0, 0, 0, 0
L -73, -334, 0, -47, -334, 0, 0, 0, 0
L -73, -334, 0, -73, -323, 0, 0, 0, 0
L -35, -325, 0, -70, -325, 0, 0, 0, 0
L -32, -326, 0, -32, -323, 0, 0, 0, 0
L -32, -326, 0, -23, -326, 0, 0, 0, 0
L 18, -326, 0, 9, -326, 0, 0, 0, 0
L -23, -335, 0, -23, -326, 0, 0, 0, 0
L 9, -335, 0, -23, -335, 0, 0, 0, 0
L 9, -326, 0, 9, -335, 0, 0, 0, 0
L 14, -305, 0, 14, -307, 0, 0, 0, 0
L 14, -305, 0, 18, -305, 0, 0, 0, 0
L 18, -310, 0, 18, -314, 0, 0, 0, 0
L 56, -312, 0, 59, -312, 0, 0, 0, 0
L 28, -347, 0, 33, -347, 0, 0, 0, 0
L 28, -350, 0, 28, -348, 0, 0, 0, 0
L 28, -350, 0, 36, -350, 0, 0, 0, 0
L 51, -366, 0, 51, -363, 0, 0, 0, 0
L 49, -400, 14, 49, -398, 14, 0, 255, 0
L 59, -400, 14, 56, -400, 14, 0, 255, 0
L 56, -413, 14, 59, -413, 14, 0, 255, 0
L -23, -413, 14, -20, -413, 14, 0, 255, 0
L -73, -413, 14, -70, -413, 14, 0, 255, 0
L -77, -416, 14, -73, -413, 14, 0, 255, 0
L -77, -421, 14, -77, -416, 14, 0, 255, 0
L -70, -400, 14, -63, -400, 14, 0, 255, 0
L -70, -400, 14, -73, -400, 14, 0, 255, 0
L -63, -400, 14, -63, -398, 14, 0, 255, 0
L -65, -363, 0, -65, -366, 0, 0, 0, 0
L -42, -350, 0, -50, -350, 0, 0, 0, 0
L -70, -312, 0, -73, -312, 0, 0, 0, 0
L -2, -279, 0, -2, -282, 0, 0, 0, 0
L -50, -256, 0, -50, -231, 0, 0, 0, 0
L -2, -256, 0, -50, -256, 0, 0, 0, 0
L -2, -279, 0, -2, -256, 0, 0, 0, 0
L 18, -305, 0, -2, -282, 0, 0, 0, 0
L 56, -312, 0, 21, -312, 0, 0, 0, 0
L 72, -312, 0, 59, -312, 0, 0, 0, 0
L 72, -347, 0, 72, -312, 0, 0, 0, 0
L 33, -347, 0, 72, -347, 0, 0, 0, 0
L 51, -350, 0, 36, -350, 0, 0, 0, 0
L 51, -363, 0, 51, -350, 0, 0, 0, 0
L 56, -400, 14, 49, -400, 14, 0, 255, 0
L 82, -400, 14, 59, -400, 14, 0, 255, 0
L 82, -447, 14, 82, -400, 14, 0, 255, 0
L 63, -447, 14, 82, -447, 14, 0, 255, 0
L 59, -443, 14, 63, -447, 14, 0, 255, 0
L 59, -424, 14, 59, -443, 14, 0, 255, 0
L 63, -420, 14, 59, -424, 14, 0, 255, 0
L 63, -416, 14, 63, -420, 14, 0, 255, 0
L 59, -413, 14, 63, -416, 14, 0, 255, 0
L 52, -416, 14, 56, -413, 14, 0, 255, 0
L 13, -417, 14, 52, -416, 14, 0, 255, 0
L 10, -413, 14, 13, -417, 14, 0, 255, 0
L 2, -417, 14, 6, -413, 14, 0, 255, 0
L -16, -417, 14, 2, -417, 14, 0, 255, 0
L -20, -413, 14, -16, -417, 14, 0, 255, 0
L -27, -417, 14, -23, -413, 14, 0, 255, 0
L -66, -417, 14, -27, -417, 14, 0, 255, 0
L -70, -413, 14, -66, -417, 14, 0, 255, 0
L -73, -424, 14, -77, -421, 14, 0, 255, 0
L -73, -443, 14, -73, -424, 14, 0, 255, 0
L -77, -447, 14, -73, -443, 14, 0, 255, 0
L -96, -447, 14, -77, -447, 14, 0, 255, 0
L -96, -400, 14, -96, -447, 14, 0, 255, 0
L -73, -400, 14, -96, -400, 14, 0, 255, 0
L -65, -350, 0, -65, -363, 0, 0, 0, 0
L -50, -350, 0, -65, -350, 0, 0, 0, 0
L -86, -312, 0, -86, -347, 0, 0, 0, 0
L -73, -312, 0, -86, -312, 0, 0, 0, 0
L -35, -312, 0, -70, -312, 0, 0, 0, 0
L -32, -310, 0, -32, -314, 0, 0, 0, 0
L -32, -305, 0, -28, -305, 0, 0, 0, 0
L -13, -282, 0, -32, -305, 0, 0, 0, 0
L -13, -267, 0, -13, -282, 0, 0, 0, 0
L -61, -267, 0, -13, -267, 0, 0, 0, 0
L -61, -220, 0, -61, -267, 0, 0, 0, 0
L -62, -485, 12, -34, -475, 7, 255, 0, 0
L -34, -475, 7, -24, -472, 6, 255, 0, 0
L -24, -472, 6, -16, -475, 7, 255, 0, 0
L -16, -475, 7, -16, -478, 11, 255, 0, 0
L -16, -478, 11, -14, -485, 11, 255, 0, 0
L -14, -485, 11, -15, -489, 14, 255, 0, 0
L -15, -489, 14, -20, -495, 14, 255, 0, 0
L -20, -495, 14, -23, -494, 11, 255, 0, 0
L -23, -494, 11, -34, -490, 11, 255, 0, 0
L -34, -490, 11, -46, -498, 12, 255, 0, 0
L -46, -498, 12, -50, -498, 17, 0, 0, 0
L -50, -498, 17, -62, -485, 12, 0, 0, 0
L 36, -498, 11, 48, -485, 13, 0, 0, 0
L 19, -509, 13, 33, -498, 9, 0, 0, 0
L 33, -498, 9, 36, -498, 11, 0, 0, 0
L 33, -498, 9, 25, -491, 11, 255, 0, 0
L -20, -400, 14, 6, -400, 14, 0, 255, 0
L 6, -400, 14, 9, -400, 14, 0, 255, 0
L 9, -400, 14, 13, -400, 14, 0, 255, 0
L 13, -366, 28, 13, -363, 28, 0, 255, 255
L 13, -363, 28, -27, -363, 28, 0, 255, 255
L -27, -363, 28, -27, -366, 28, 0, 255, 255
L -27, -400, 14, -20, -400, 14, 0, 255, 0
L -57, -350, 28, -57, -348, 28, 0, 255, 255
L -57, -347, 28, -66, -345, 28, 0, 255, 255
L -66, -345, 27, -68, -343, 27, 0, 255, 255
L -68, -343, 26, -68, -316, 26, 0, 255, 255
L -68, -316, 26, -66, -314, 28, 0, 255, 255
L -66, -314, 28, -39, -314, 28, 0, 255, 255
L -39, -314, 28, -37, -316, 26, 0, 255, 255
L -37, -316, 26, -37, -343, 26, 0, 255, 255
L -37, -343, 27, -39, -345, 27, 0, 255, 255
L -39, -345, 28, -48, -347, 28, 0, 255, 255
L -48, -347, 28, -48, -348, 28, 0, 255, 255
L -48, -350, 28, 28, -350, 28, 0, 255, 255
L 28, -350, 28, 28, -348, 28, 0, 255, 255
L 28, -347, 28, 21, -347, 28, 0, 255, 255
L 21, -347, 28, 21, -324, 28, 0, 255, 255
L 21, -324, 28, 28, -324, 28, 0, 255, 255
L 28, -324, 28, 28, -321, 28, 0, 255, 255
L 28, -321, 28, 21, -321, 28, 0, 255, 255
L 21, -321, 28, 21, -309, 28, 0, 255, 255
L 21, -309, 28, 47, -309, 28, 0, 255, 255
L 47, -309, 28, 70, -309, 28, 0, 255, 255
L 63, -326, 28, 63, -327, 28, 0, 255, 255
L 70, -346, 28, 47, -346, 28, 0, 255, 255
L 54, -329, 28, 54, -327, 28, 0, 255, 255
L 44, -321, 28, 37, -321, 28, 0, 255, 255
L 37, -321, 28, 37, -324, 28, 0, 255, 255
L 37, -324, 28, 44, -324, 28, 0, 255, 255
L 44, -324, 28, 44, -347, 28, 0, 255, 255
L 44, -347, 28, 37, -347, 28, 0, 255, 255
L 37, -347, 28, 37, -348, 28, 0, 255, 255
L 37, -350, 28, 66, -350, 28, 0, 255, 255
L 66, -350, 28, 69, -350, 28, 0, 255, 255
L 69, -350, 28, 82, -350, 28, 0, 255, 255
L 82, -350, 28, 82, -397, 28, 0, 255, 255
L 82, -397, 28, 82, -448, 28, 0, 255, 255
L 82, -448, 28, 82, -467, 28, 0, 255, 255
L 80, -470, 28, 87, -470, 28, 0, 255, 255
L 87, -470, 28, 87, -493, 28, 0, 255, 255
L 87, -493, 28, 80, -493, 28, 0, 255, 255
L 66, -538, 28, 66, -540, 28, 0, 255, 255
L 10, -538, 16, 10, -546, 16, 0, 0, 0
L 10, -548, 16, 24, -548, 16, 0, 0, 0
L 24, -548, 16, 24, -559, 16, 0, 0, 0
L 24, -559, 16, 1, -559, 16, 0, 0, 0
L 1, -559, 16, 1, -546, 16, 0, 0, 0
L 1, -545, 16, 0, -545, 16, 127, 127, 127
L -15, -545, 16, -15, -546, 16, 0, 0, 0
L -15, -559, 16, -38, -559, 16, 0, 0, 0
L -38, -559, 16, -38, -548, 16, 0, 0, 0
L -38, -548, 16, -24, -548, 16, 0, 0, 0
L -24, -548, 16, -24, -546, 16, 0, 0, 0
L -94, -493, 28, -101, -493, 28, 0, 255, 255
L -101, -493, 28, -101, -470, 28, 0, 255, 255
L -101, -470, 28, -94, -470, 28, 0, 255, 255
L -96, -467, 28, -96, -448, 28, 0, 255, 255
L -96, -448, 28, -96, -397, 28, 0, 255, 255
L -96, -312, 28, -73, -312, 28, 0, 255, 255
L -73, -397, 14, -96, -397, 14, 0, 255, 0
L -96, -397, 14, -96, -312, 14, 0, 255, 0
L -96, -312, 14, -73, -312, 14, 0, 255, 0
L -73, -323, 14, -83, -323, 14, 0, 255, 0
L -83, -323, 14, -83, -337, 14, 0, 255, 0
L -80, -321, 28, -87, -321, 28, 0, 255, 255
L -87, -321, 28, -87, -352, 28, 0, 255, 255
L -87, -352, 28, -72, -352, 28, 0, 255, 255
L 0, -545, 16, 0, -547, 16, 0, 0, 0
L 0, -555, 16, 0, -558, 16, 0, 0, 0
L 0, -558, 16, 0, -562, 14, 0, 0, 0
L 42, -595, -7, 42, -590, -8, 221, 160, 221
L 42, -558, -19, 42, -553, -19, 221, 160, 221
L 39, -555, -19, 0, -553, -31, 221, 160, 221
L 0, -553, -31, -12, -555, -31, 221, 160, 221
L -12, -555, -31, -12, -542, -31, 221, 160, 221
L -12, -542, -31, -12, -539, -31, 221, 160, 221
L -12, -539, -31, -12, -522, -39, 221, 160, 221
L -12, -522, -39, -10, -519, -39, 221, 160, 221
L -10, -519, -39, -27, -519, -40, 221, 160, 221
L -28, -487, -51, -36, -495, -51, 221, 160, 221
L -26, -519, -40, -42, -502, -51, 221, 160, 221
L -42, -502, -51, -45, -502, -51, 221, 160, 221
L -45, -502, -51, -45, -479, -51, 221, 160, 221
L -45, -479, -51, -28, -478, -51, 221, 160, 221
L -28, -478, -51, -28, -487, -51, 221, 160, 221
L -35, -495, -39, -18, -512, -39, 221, 160, 221
L -18, -512, -39, -36, -495, -51, 221, 160, 221
L -9, -505, -38, -28, -488, -39, 221, 160, 221
L -28, -488, -39, -35, -495, -39, 221, 160, 221
L -9, -505, -38, -9, -494, -37, 221, 160, 221
L -9, -494, -37, -3, -494, -37, 221, 160, 221
L -3, -505, -38, -3, -494, -37, 221, 160, 221
L -3, -505, -38, -1, -505, -39, 221, 160, 221
L -1, -505, -39, 15, -488, -39, 221, 160, 221
L 15, -488, -39, 22, -495, -39, 221, 160, 221
L 22, -495, -39, 6, -512, -40, 221, 160, 221
L 6, -512, -40, 23, -495, -51, 221, 160, 221
L 23, -495, -51, 21, -493, -51, 221, 160, 221
L 15, -487, -51, 16, -478, -51, 221, 160, 221
L 16, -478, -51, 24, -468, -51, 221, 160, 221
L 24, -468, -51, 32, -478, -51, 221, 160, 221
L 32, -478, -51, 32, -502, -51, 221, 160, 221
L 32, -502, -51, 29, -502, -51, 221, 160, 221
L 29, -502, -51, 13, -519, -40, 221, 160, 221
L 13, -519, -40, -2, -519, -39, 221, 160, 221
L 24, -468, -51, 12, -456, -51, 221, 160, 221
L 12, -456, -51, -6, -455, -51, 221, 160, 221
L -6, -455, -51, -29, -464, -51, 221, 160, 221
L -29, -464, -51, -32, -478, -51, 221, 160, 221
L 15, -487, -51, -2, -504, -51, 221, 160, 221
L -2, -504, -51, -10, -504, -51, 221, 160, 221
L -10, -504, -51, -28, -487, -51, 221, 160, 221
L 16, -489, -51, -33, -540, -51, 0, 255, 0
L -33, -540, -51, -41, -540, -51, 0, 255, 0
L -41, -540, -51, -41, -550, -51, 0, 255, 0
L -41, -550, -51, -41, -553, -51, 0, 255, 0
L -41, -553, -51, -51, -562, -51, 0, 255, 0
L -51, -562, -51, -51, -576, -51, 0, 255, 0
L -51, -576, -51, -41, -586, -51, 0, 255, 0
L -41, -586, -51, -28, -586, -51, 0, 255, 0
L -28, -586, -51, -18, -576, -51, 0, 255, 0
L -18, -576, -51, -18, -562, -51, 0, 255, 0
L -18, -562, -51, -28, -553, -51, 0, 255, 0
L -28, -553, -51, -28, -550, -51, 0, 255, 0
L -28, -550, -51, -27, -545, -51, 0, 255, 0
L -27, -545, -51, 21, -494, -51, 0, 255, 0
L -2, -519, -39, 0, -522, -39, 221, 160, 221
L 0, -522, -39, 0, -539, -31, 221, 160, 221
L 0, -539, -31, 2, -542, -31, 221, 160, 221
L 2, -542, -31, 39, -542, -19, 221, 160, 221
L 39, -542, -19, 42, -542, -19, 221, 160, 221
L 42, -542, -19, 55, -542, -19, 221, 160, 221
L 55, -542, -19, 55, -555, -19, 221, 160, 221
L 55, -555, -19, 55, -558, -19, 221, 160, 221
L 55, -611, -7, 42, -611, -7, 0, 0, 0
L -13, -611, 4, -13, -598, 4, 0, 0, 0
L -13, -598, 4, -13, -595, 4, 0, 0, 0
L -13, -595, 4, -13, -590, 5, 0, 0, 0
L -13, -558, 16, -13, -555, 16, 0, 0, 0
L -13, -545, 16, -15, -545, 16, 127, 127, 127
L -13, -555, 16, -13, -548, 16, 0, 0, 0
L -29, -426, 0, -14, -426, 0, 0, 0, 0
L 0, -426, 0, 14, -426, 0, 0, 0, 0
L 14, -426, 0, 15, -426, 0, 0, 0, 0
L 15, -412, 0, 15, -425, 0, 0, 0, 0
L 15, -425, 0, 15, -426, 0, 0, 0, 0
L 64, -466, 2, 64, -463, 0, 0, 0, 0
L -78, -466, 2, -78, -463, 0, 0, 0, 0
L 21, -312, 0, 21, -314, 0, 0, 0, 0
L 18, -323, 0, 19, -323, 0, 0, 0, 0
L 21, -323, 0, 21, -325, 0, 0, 0, 0
L 18, -314, 0, 19, -314, 0, 0, 0, 0
L 18, -310, 0, 14, -310, 0, 0, 0, 0
L -28, -305, 0, -28, -307, 0, 0, 0, 0
L -28, -310, 0, -32, -310, 0, 0, 0, 0
L -32, -314, 0, -33, -314, 0, 0, 0, 0
L -32, -323, 0, -33, -323, 0, 0, 0, 0
L -35, -312, 0, -35, -314, 0, 0, 0, 0
L -35, -323, 0, -35, -325, 0, 0, 0, 0
L 59, -323, 0, 56, -323, 0, 0, 0, 0
L 56, -325, 0, 56, -323, 0, 0, 0, 0
L -70, -325, 0, -70, -323, 0, 0, 0, 0
L -73, -323, 0, -70, -323, 0, 0, 0, 0
L -26, -392, 0, -26, -390, 0, 0, 0, 0
L -26, -381, 0, -26, -379, 0, 0, 0, 0
L -26, -390, 0, -24, -390, 0, 0, 0, 0
L 9, -390, 0, 10, -390, 0, 0, 0, 0
L 12, -392, 0, 12, -390, 0, 0, 0, 0
L 12, -381, 0, 12, -379, 0, 0, 0, 0
L -26, -381, 0, -24, -381, 0, 0, 0, 0
L 9, -381, 0, 10, -381, 0, 0, 0, 0
L -86, -347, 0, -42, -347, 0, 0, 0, 0
L -33, -350, 0, -33, -348, 0, 0, 0, 0
L -33, -347, 0, -31, -347, 0, 0, 0, 0
L 19, -350, 0, 19, -348, 0, 0, 0, 0
L 19, -347, 0, 17, -347, 0, 0, 0, 0
L -42, -350, 0, -42, -348, 0, 0, 0, 0
L -52, -361, 0, -50, -361, 0, 0, 0, 0
L 35, -361, 0, 36, -361, 0, 0, 0, 0
L 38, -366, 0, 38, -361, 0, 0, 0, 0
L 17, -376, 0, 19, -376, 0, 0, 0, 0
L 28, -373, 0, 28, -376, 0, 0, 0, 0
L 19, -373, 0, 19, -376, 0, 0, 0, 0
L 28, -376, 0, 30, -376, 0, 0, 0, 0
L -33, -376, 0, -31, -376, 0, 0, 0, 0
L -31, -379, 0, -31, -376, 0, 0, 0, 0
L -42, -373, 0, -42, -376, 0, 0, 0, 0
L -42, -376, 0, -44, -376, 0, 0, 0, 0
L 22, -400, 14, 22, -398, 14, 0, 255, 0
L 13, -400, 14, 13, -398, 14, 0, 255, 0
L 6, -413, 14, 10, -413, 14, 0, 255, 0
L -27, -400, 14, -27, -398, 14, 0, 255, 0
L -36, -400, 14, -36, -398, 14, 0, 255, 0
L 13, -540, 16, 13, -538, 16, 0, 0, 0
L 13, -529, 16, 13, -527, 16, 0, 0, 0
L 10, -529, 16, 11, -529, 16, 0, 0, 0
L 10, -538, 16, 11, -538, 16, 0, 0, 0
L -27, -540, 16, -27, -538, 16, 0, 0, 0
L -27, -529, 16, -27, -527, 16, 0, 0, 0
L -24, -538, 16, -25, -538, 16, 0, 0, 0
L -24, -529, 16, -25, -529, 16, 0, 0, 0
L 44, -598, -7, 44, -594, -7, 0, 0, 0
L 42, -595, -7, 44, -594, -7, 221, 160, 221
L 39, -555, -19, 39, -553, -19, 221, 160, 221
L 42, -553, -19, 39, -553, -19, 221, 160, 221
L -73, -397, 14, -73, -337, 14, 0, 255, 0
L 44, -321, 28, 44, -319, 28, 0, 255, 255
L 47, -319, 28, 44, -319, 28, 0, 255, 255
L 47, -319, 28, 47, -323, 28, 0, 255, 255
L 54, -329, 28, 47, -331, 28, 0, 255, 255
L 47, -331, 28, 47, -346, 28, 0, 255, 255
L 54, -326, 28, 47, -323, 28, 0, 255, 255
L 70, -309, 28, 70, -323, 28, 0, 255, 255
L 63, -329, 28, 70, -331, 28, 0, 255, 255
L 70, -331, 28, 70, -346, 28, 0, 255, 255
L 63, -326, 28, 70, -323, 28, 0, 255, 255
L 66, -363, 28, 66, -361, 28, 0, 255, 255
L 69, -361, 28, 66, -361, 28, 0, 255, 255
L -36, -363, 28, -72, -363, 28, 0, 255, 255
L -87, -361, 28, -83, -361, 28, 0, 255, 255
L -83, -361, 28, -83, -363, 28, 0, 255, 255
L -87, -361, 28, -87, -397, 28, 0, 255, 255
L -73, -400, 28, -87, -400, 28, 0, 255, 255
L 69, -400, 28, 69, -397, 28, 0, 255, 255
L 82, -467, 28, 80, -467, 28, 0, 255, 255
L 71, -467, 28, 69, -467, 28, 0, 255, 255
L 71, -470, 28, 71, -467, 28, 0, 255, 255
L 80, -470, 28, 80, -467, 28, 0, 255, 255
L 69, -450, 28, 71, -450, 28, 0, 255, 255
L 71, -447, 28, 71, -448, 28, 0, 255, 255
L -85, -447, 28, -85, -448, 28, 0, 255, 255
L -83, -450, 28, -85, -450, 28, 0, 255, 255
L -85, -467, 28, -85, -470, 28, 0, 255, 255
L -83, -467, 28, -85, -467, 28, 0, 255, 255
L -96, -467, 28, -94, -467, 28, 0, 255, 255
L -94, -470, 28, -94, -467, 28, 0, 255, 255
L 49, -397, 14, 51, -397, 14, 0, 255, 0
L 40, -397, 14, 38, -397, 14, 0, 255, 0
L 38, -397, 14, 38, -393, 12, 0, 255, 0
L 51, -397, 14, 51, -393, 12, 0, 255, 0
L 38, -366, 0, 51, -366, 0, 127, 127, 127
L 38, -381, 7, 38, -377, 5, 0, 255, 0
L 51, -381, 7, 51, -377, 5, 0, 255, 0
L 38, -381, 7, 51, -381, 7, 127, 127, 127
L 38, -389, 10, 38, -385, 8, 0, 255, 0
L 51, -389, 10, 51, -385, 8, 0, 255, 0
L 38, -389, 10, 51, -389, 10, 127, 127, 127
L 38, -373, 3, 38, -369, 1, 0, 255, 0
L 51, -373, 3, 51, -369, 1, 0, 255, 0
L 38, -373, 3, 51, -373, 3, 127, 127, 127
L 38, -369, 1, 38, -366, 0, 0, 255, 0
L 51, -369, 1, 51, -366, 0, 0, 255, 0
L 38, -369, 1, 51, -369, 1, 127, 127, 127
L 38, -377, 5, 38, -373, 3, 0, 255, 0
L 51, -377, 5, 51, -373, 3, 0, 255, 0
L 38, -377, 5, 51, -377, 5, 127, 127, 127
L 38, -385, 8, 38, -381, 7, 0, 255, 0
L 51, -385, 8, 51, -381, 7, 0, 255, 0
L 38, -385, 8, 51, -385, 8, 127, 127, 127
L 38, -393, 12, 38, -389, 10, 0, 255, 0
