P -3000.0000, 1200.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -3000.0000, 1400.0000, 0.0000,  0, 0, 0,  2,  www.eqmaps.info
P -3000.0000, 1600.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L 829.0000, -1460.0000, -47.0000,  829.0000, -1456.0000, -47.0000,  100, 50, 0
L 839.0000, -1460.0000, -47.0000,  829.0000, -1460.0000, -47.0000,  100, 50, 0
L 838.0000, -1456.0000, -47.0000,  839.0000, -1460.0000, -47.0000,  100, 50, 0
L 851.0000, -1456.0000, -48.0000,  838.0000, -1456.0000, -47.0000,  100, 50, 0
L 851.0000, -1410.0000, -48.0000,  851.0000, -1456.0000, -48.0000,  100, 50, 0
L 838.0000, -1409.0000, -47.0000,  851.0000, -1410.0000, -48.0000,  100, 50, 0
L 838.0000, -1412.0000, -46.0000,  838.0000, -1409.0000, -47.0000,  100, 50, 0
L 849.0000, -1412.0000, -47.0000,  838.0000, -1412.0000, -46.0000,  100, 50, 0
L 849.0000, -1454.0000, -47.0000,  849.0000, -1412.0000, -47.0000,  100, 50, 0
L 818.0000, -1454.0000, -47.0000,  849.0000, -1454.0000, -47.0000,  100, 50, 0
L 818.0000, -1412.0000, -47.0000,  818.0000, -1454.0000, -47.0000,  100, 50, 0
L -4039.0000, 47.0000, 485.0000,  -4027.0000, 190.0000, 491.0000,  150, 100, 0
L -3914.0000, -46.0000, 466.0000,  -4039.0000, 47.0000, 485.0000,  150, 100, 0
L -3910.0000, -153.0000, 464.0000,  -3914.0000, -46.0000, 466.0000,  150, 100, 0
L -3921.0000, -316.0000, 471.0000,  -3910.0000, -153.0000, 464.0000,  150, 100, 0
L -3795.0000, -390.0000, 449.0000,  -3921.0000, -316.0000, 471.0000,  150, 100, 0
L -3787.0000, -447.0000, 448.0000,  -3795.0000, -390.0000, 449.0000,  150, 100, 0
L -3678.0000, -514.0000, 437.0000,  -3787.0000, -447.0000, 448.0000,  150, 100, 0
L -3668.0000, -570.0000, 437.0000,  -3678.0000, -514.0000, 437.0000,  150, 100, 0
L -3578.0000, -624.0000, 428.0000,  -3668.0000, -570.0000, 437.0000,  150, 100, 0
L -3551.0000, -693.0000, 429.0000,  -3578.0000, -624.0000, 428.0000,  150, 100, 0
L -3446.0000, -757.0000, 409.0000,  -3551.0000, -693.0000, 429.0000,  150, 100, 0
L -3453.0000, -787.0000, 411.0000,  -3446.0000, -757.0000, 409.0000,  150, 100, 0
L -3358.0000, -902.0000, 396.0000,  -3453.0000, -787.0000, 411.0000,  150, 100, 0
L -3250.0000, -904.0000, 382.0000,  -3358.0000, -902.0000, 396.0000,  150, 100, 0
L -1157.0000, -641.0000, 152.0000,  -1149.0000, -539.0000, 130.0000,  150, 100, 0
L -1262.0000, -679.0000, 143.0000,  -1157.0000, -641.0000, 152.0000,  150, 100, 0
L -1269.0000, -720.0000, 146.0000,  -1262.0000, -679.0000, 143.0000,  150, 100, 0
L -1259.0000, -752.0000, 146.0000,  -1269.0000, -720.0000, 146.0000,  150, 100, 0
L -1268.0000, -786.0000, 146.0000,  -1259.0000, -752.0000, 146.0000,  150, 100, 0
L -1265.0000, -1079.0000, 139.0000,  -1268.0000, -786.0000, 146.0000,  150, 100, 0
L 906.0000, -1380.0000, -49.0000,  984.0000, -1379.0000, -51.0000,  150, 100, 0
L 862.0000, -1312.0000, -48.0000,  906.0000, -1380.0000, -49.0000,  150, 100, 0
L 818.0000, -1254.0000, -46.0000,  862.0000, -1312.0000, -48.0000,  150, 100, 0
L 597.0000, -1271.0000, -34.0000,  818.0000, -1254.0000, -46.0000,  150, 100, 0
L 586.0000, -1256.0000, -33.0000,  597.0000, -1271.0000, -34.0000,  150, 100, 0
L 448.0000, -1257.0000, -22.0000,  586.0000, -1256.0000, -33.0000,  150, 100, 0
L 412.0000, -1304.0000, -12.0000,  448.0000, -1257.0000, -22.0000,  150, 100, 0
L 405.0000, -1327.0000, -8.0000,  412.0000, -1304.0000, -12.0000,  150, 100, 0
L 359.0000, -1385.0000, -5.0000,  405.0000, -1327.0000, -8.0000,  150, 100, 0
L 299.0000, -1385.0000, -9.0000,  359.0000, -1385.0000, -5.0000,  150, 100, 0
L 100.0000, -1380.0000, -27.0000,  299.0000, -1385.0000, -9.0000,  150, 100, 0
L 53.0000, -1304.0000, -27.0000,  100.0000, -1380.0000, -27.0000,  150, 100, 0
L -4.0000, -1283.0000, -25.0000,  53.0000, -1304.0000, -27.0000,  150, 100, 0
L -5.0000, -1246.0000, -25.0000,  -4.0000, -1283.0000, -25.0000,  150, 100, 0
L -119.0000, -1172.0000, -22.0000,  -5.0000, -1246.0000, -25.0000,  150, 100, 0
L -122.0000, -1140.0000, -21.0000,  -119.0000, -1172.0000, -22.0000,  150, 100, 0
L -216.0000, -1018.0000, -20.0000,  -122.0000, -1140.0000, -21.0000,  150, 100, 0
L -341.0000, -1020.0000, -16.0000,  -216.0000, -1018.0000, -20.0000,  150, 100, 0
L -342.0000, -1020.0000, -16.0000,  -344.0000, -893.0000, -16.0000,  150, 100, 0
L -479.0000, -1024.0000, 10.0000,  -342.0000, -1020.0000, -16.0000,  150, 100, 0
L -521.0000, -959.0000, 24.0000,  -479.0000, -1024.0000, 10.0000,  150, 100, 0
L -564.0000, -896.0000, 31.0000,  -521.0000, -959.0000, 24.0000,  150, 100, 0
L -703.0000, -891.0000, 64.0000,  -564.0000, -896.0000, 31.0000,  150, 100, 0
L -754.0000, -966.0000, 76.0000,  -703.0000, -891.0000, 64.0000,  150, 100, 0
L -786.0000, -1028.0000, 80.0000,  -754.0000, -966.0000, 76.0000,  150, 100, 0
L -837.0000, -1043.0000, 87.0000,  -786.0000, -1028.0000, 80.0000,  150, 100, 0
L -911.0000, -1145.0000, 96.0000,  -837.0000, -1043.0000, 87.0000,  150, 100, 0
L -1267.0000, -1143.0000, 139.0000,  -911.0000, -1145.0000, 96.0000,  150, 100, 0
L -1267.0000, -1144.0000, 139.0000,  -1266.0000, -1080.0000, 139.0000,  150, 100, 0
L -1287.0000, -1136.0000, 141.0000,  -1267.0000, -1144.0000, 139.0000,  150, 100, 0
L -1313.0000, -1142.0000, 145.0000,  -1287.0000, -1136.0000, 141.0000,  150, 100, 0
L -1399.0000, -1135.0000, 156.0000,  -1313.0000, -1142.0000, 145.0000,  150, 100, 0
L -1472.0000, -1273.0000, 164.0000,  -1399.0000, -1135.0000, 156.0000,  150, 100, 0
L -1524.0000, -1280.0000, 171.0000,  -1472.0000, -1273.0000, 164.0000,  150, 100, 0
L -1599.0000, -1384.0000, 181.0000,  -1524.0000, -1280.0000, 171.0000,  150, 100, 0
L -1752.0000, -1377.0000, 199.0000,  -1599.0000, -1384.0000, 181.0000,  150, 100, 0
L -1849.0000, -1273.0000, 212.0000,  -1752.0000, -1377.0000, 199.0000,  150, 100, 0
L -1856.0000, -1138.0000, 225.0000,  -1849.0000, -1273.0000, 212.0000,  150, 100, 0
L -1948.0000, -1134.0000, 225.0000,  -1856.0000, -1138.0000, 225.0000,  150, 100, 0
L -1989.0000, -1017.0000, 230.0000,  -1948.0000, -1134.0000, 225.0000,  150, 100, 0
L -2088.0000, -1017.0000, 240.0000,  -1989.0000, -1017.0000, 230.0000,  150, 100, 0
L -2164.0000, -1149.0000, 251.0000,  -2088.0000, -1017.0000, 240.0000,  150, 100, 0
L -2217.0000, -1157.0000, 258.0000,  -2164.0000, -1149.0000, 251.0000,  150, 100, 0
L -2290.0000, -1262.0000, 280.0000,  -2217.0000, -1157.0000, 258.0000,  150, 100, 0
L -2397.0000, -1269.0000, 287.0000,  -2290.0000, -1262.0000, 280.0000,  150, 100, 0
L -2550.0000, -1265.0000, 296.0000,  -2397.0000, -1269.0000, 287.0000,  150, 100, 0
L -2592.0000, -1205.0000, 302.0000,  -2550.0000, -1265.0000, 296.0000,  150, 100, 0
L -2633.0000, -1176.0000, 307.0000,  -2592.0000, -1205.0000, 302.0000,  150, 100, 0
L -2641.0000, -1116.0000, 308.0000,  -2633.0000, -1176.0000, 307.0000,  150, 100, 0
L -2691.0000, -1094.0000, 314.0000,  -2641.0000, -1116.0000, 308.0000,  150, 100, 0
L -2747.0000, -1050.0000, 322.0000,  -2691.0000, -1094.0000, 314.0000,  150, 100, 0
L -2755.0000, -995.0000, 323.0000,  -2747.0000, -1050.0000, 322.0000,  150, 100, 0
L -2808.0000, -969.0000, 328.0000,  -2755.0000, -995.0000, 323.0000,  150, 100, 0
L -2855.0000, -904.0000, 336.0000,  -2808.0000, -969.0000, 328.0000,  150, 100, 0
L -3244.0000, -903.0000, 382.0000,  -2855.0000, -904.0000, 336.0000,  150, 100, 0
L -3299.0000, -970.0000, 388.0000,  -3246.0000, -904.0000, 382.0000,  150, 100, 0
L -3314.0000, -1029.0000, 391.0000,  -3299.0000, -970.0000, 388.0000,  150, 100, 0
L -3372.0000, -1043.0000, 397.0000,  -3314.0000, -1029.0000, 391.0000,  150, 100, 0
L -3404.0000, -1087.0000, 401.0000,  -3372.0000, -1043.0000, 397.0000,  150, 100, 0
L -3433.0000, -1146.0000, 405.0000,  -3404.0000, -1087.0000, 401.0000,  150, 100, 0
L -3484.0000, -1158.0000, 411.0000,  -3433.0000, -1146.0000, 405.0000,  150, 100, 0
L -3548.0000, -1271.0000, 419.0000,  -3484.0000, -1158.0000, 411.0000,  150, 100, 0
L -3599.0000, -1277.0000, 425.0000,  -3548.0000, -1271.0000, 419.0000,  150, 100, 0
L -3635.0000, -1325.0000, 430.0000,  -3599.0000, -1277.0000, 425.0000,  150, 100, 0
L -3664.0000, -1389.0000, 433.0000,  -3635.0000, -1325.0000, 430.0000,  150, 100, 0
L -3714.0000, -1398.0000, 439.0000,  -3664.0000, -1389.0000, 433.0000,  150, 100, 0
L -3789.0000, -1504.0000, 449.0000,  -3714.0000, -1398.0000, 439.0000,  150, 100, 0
L -3979.0000, -1499.0000, 478.0000,  -3789.0000, -1504.0000, 449.0000,  150, 100, 0
L -4016.0000, -1514.0000, 486.0000,  -3979.0000, -1499.0000, 478.0000,  150, 100, 0
L -4041.0000, -1494.0000, 489.0000,  -4016.0000, -1514.0000, 486.0000,  150, 100, 0
L -4072.0000, -1509.0000, 495.0000,  -4041.0000, -1494.0000, 489.0000,  150, 100, 0
L -4090.0000, -1497.0000, 496.0000,  -4072.0000, -1509.0000, 495.0000,  150, 100, 0
L -4141.0000, -1513.0000, 500.0000,  -4090.0000, -1497.0000, 496.0000,  150, 100, 0
L -4716.0000, -413.0000, 662.0000,  -4765.0000, -421.0000, 665.0000,  150, 100, 0
L -4692.0000, -424.0000, 656.0000,  -4716.0000, -413.0000, 662.0000,  150, 100, 0
L -4615.0000, -413.0000, 658.0000,  -4692.0000, -424.0000, 656.0000,  150, 100, 0
L -4603.0000, -555.0000, 636.0000,  -4615.0000, -413.0000, 658.0000,  150, 100, 0
L -4531.0000, -604.0000, 649.0000,  -4603.0000, -555.0000, 636.0000,  150, 100, 0
L -4474.0000, -652.0000, 649.0000,  -4531.0000, -604.0000, 649.0000,  150, 100, 0
L -4479.0000, -765.0000, 643.0000,  -4474.0000, -652.0000, 649.0000,  150, 100, 0
L -4478.0000, -874.0000, 627.0000,  -4479.0000, -765.0000, 643.0000,  150, 100, 0
L -4486.0000, -897.0000, 621.0000,  -4478.0000, -874.0000, 627.0000,  150, 100, 0
L -4470.0000, -1125.0000, 582.0000,  -4486.0000, -897.0000, 621.0000,  150, 100, 0
L -4392.0000, -1139.0000, 579.0000,  -4470.0000, -1125.0000, 582.0000,  150, 100, 0
L -4374.0000, -1201.0000, 573.0000,  -4392.0000, -1139.0000, 579.0000,  150, 100, 0
L -4370.0000, -1359.0000, 552.0000,  -4374.0000, -1201.0000, 573.0000,  150, 100, 0
L -4384.0000, -1392.0000, 546.0000,  -4370.0000, -1359.0000, 552.0000,  150, 100, 0
L -4355.0000, -1500.0000, 526.0000,  -4384.0000, -1392.0000, 546.0000,  150, 100, 0
L -4266.0000, -1502.0000, 522.0000,  -4355.0000, -1500.0000, 526.0000,  150, 100, 0
L -4247.0000, -1510.0000, 520.0000,  -4266.0000, -1502.0000, 522.0000,  150, 100, 0
L -4213.0000, -1497.0000, 521.0000,  -4247.0000, -1510.0000, 520.0000,  150, 100, 0
L -4146.0000, -1510.0000, 500.0000,  -4213.0000, -1497.0000, 521.0000,  150, 100, 0
L -4108.0000, -1528.0000, 501.0000,  -4146.0000, -1510.0000, 500.0000,  150, 100, 0
L -4082.0000, -1563.0000, 503.0000,  -4108.0000, -1528.0000, 501.0000,  150, 100, 0
L -4042.0000, -1606.0000, 489.0000,  -4082.0000, -1563.0000, 503.0000,  150, 100, 0
L -4042.0000, -1643.0000, 484.0000,  -4042.0000, -1606.0000, 489.0000,  150, 100, 0
L -3904.0000, -1711.0000, 465.0000,  -4042.0000, -1643.0000, 484.0000,  150, 100, 0
L -3912.0000, -1739.0000, 468.0000,  -3904.0000, -1711.0000, 465.0000,  150, 100, 0
L -3903.0000, -1769.0000, 466.0000,  -3912.0000, -1739.0000, 468.0000,  150, 100, 0
L -3794.0000, -1854.0000, 451.0000,  -3903.0000, -1769.0000, 466.0000,  150, 100, 0
L -3802.0000, -1907.0000, 453.0000,  -3794.0000, -1854.0000, 451.0000,  150, 100, 0
L -3819.0000, -2024.0000, 462.0000,  -3830.0000, -2024.0000, 462.0000,  199, 21, 133
L -3818.0000, -2012.0000, 462.0000,  -3819.0000, -2024.0000, 462.0000,  0, 0, 0
L -3783.0000, -2012.0000, 462.0000,  -3818.0000, -2012.0000, 462.0000,  0, 0, 0
L -3792.0000, -1955.0000, 458.0000,  -3783.0000, -1976.0000, 462.0000,  0, 0, 0
L -3791.0000, -1926.0000, 458.0000,  -3792.0000, -1955.0000, 458.0000,  0, 0, 0
L -3785.0000, -1925.0000, 456.0000,  -3791.0000, -1926.0000, 458.0000,  0, 0, 0
L -3813.0000, -1923.0000, 457.0000,  -3821.0000, -1922.0000, 457.0000,  0, 0, 0
L -3812.0000, -1955.0000, 458.0000,  -3813.0000, -1923.0000, 457.0000,  0, 0, 0
L -3794.0000, -1975.0000, 462.0000,  -3812.0000, -1955.0000, 458.0000,  0, 0, 0
L -3794.0000, -2000.0000, 462.0000,  -3794.0000, -1975.0000, 462.0000,  0, 0, 0
L -3830.0000, -2000.0000, 462.0000,  -3794.0000, -2000.0000, 462.0000,  0, 0, 0
L -3830.0000, -2024.0000, 462.0000,  -3830.0000, -2000.0000, 462.0000,  0, 0, 0
L 660.0000, 624.0000, -49.0000,  686.0000, 598.0000, -48.0000,  0, 0, 255
L 638.0000, 663.0000, -49.0000,  660.0000, 624.0000, -49.0000,  0, 0, 255
L 553.0000, 599.0000, -49.0000,  638.0000, 663.0000, -49.0000,  0, 0, 255
L 524.0000, 599.0000, -46.0000,  553.0000, 599.0000, -49.0000,  0, 0, 255
L 445.0000, 598.0000, -49.0000,  524.0000, 599.0000, -46.0000,  0, 0, 255
L 416.0000, 611.0000, -49.0000,  445.0000, 598.0000, -49.0000,  0, 0, 255
L 393.0000, 598.0000, -49.0000,  416.0000, 611.0000, -49.0000,  0, 0, 255
L 285.0000, 591.0000, -49.0000,  393.0000, 598.0000, -49.0000,  0, 0, 255
L 245.0000, 600.0000, -48.0000,  285.0000, 591.0000, -49.0000,  0, 0, 255
L 204.0000, 623.0000, -48.0000,  245.0000, 600.0000, -48.0000,  0, 0, 255
L 177.0000, 622.0000, -49.0000,  204.0000, 623.0000, -48.0000,  0, 0, 255
L 124.0000, 601.0000, -47.0000,  177.0000, 622.0000, -49.0000,  0, 0, 255
L 55.0000, 583.0000, -48.0000,  124.0000, 601.0000, -47.0000,  0, 0, 255
L 44.0000, 584.0000, -49.0000,  55.0000, 583.0000, -48.0000,  0, 0, 255
L -31.0000, 599.0000, -49.0000,  44.0000, 584.0000, -49.0000,  0, 0, 255
L -47.0000, 608.0000, -48.0000,  -31.0000, 599.0000, -49.0000,  0, 0, 255
L -85.0000, 601.0000, -48.0000,  -47.0000, 608.0000, -48.0000,  0, 0, 255
L -169.0000, 591.0000, -47.0000,  -85.0000, 601.0000, -48.0000,  0, 0, 255
L -294.0000, 576.0000, -48.0000,  -169.0000, 591.0000, -47.0000,  0, 0, 255
L -376.0000, 509.0000, -48.0000,  -294.0000, 576.0000, -48.0000,  0, 0, 255
L -401.0000, 505.0000, -49.0000,  -376.0000, 509.0000, -48.0000,  0, 0, 255
L -410.0000, 500.0000, -47.0000,  -401.0000, 505.0000, -49.0000,  0, 0, 255
L -419.0000, 479.0000, -48.0000,  -410.0000, 500.0000, -47.0000,  0, 0, 255
L -419.0000, 465.0000, -48.0000,  -419.0000, 479.0000, -48.0000,  0, 0, 255
L -405.0000, 450.0000, -48.0000,  -419.0000, 465.0000, -48.0000,  0, 0, 255
L -384.0000, 385.0000, -49.0000,  -405.0000, 450.0000, -48.0000,  0, 0, 255
L -327.0000, 359.0000, -49.0000,  -384.0000, 385.0000, -49.0000,  0, 0, 255
L -290.0000, 320.0000, -49.0000,  -327.0000, 359.0000, -49.0000,  0, 0, 255
L -271.0000, 263.0000, -47.0000,  -290.0000, 320.0000, -49.0000,  0, 0, 255
L -232.0000, 240.0000, -48.0000,  -271.0000, 263.0000, -47.0000,  0, 0, 255
L -207.0000, 207.0000, -48.0000,  -232.0000, 240.0000, -48.0000,  0, 0, 255
L -177.0000, 199.0000, -50.0000,  -207.0000, 207.0000, -48.0000,  0, 0, 255
L -141.0000, 158.0000, -50.0000,  -177.0000, 199.0000, -50.0000,  0, 0, 255
L -67.0000, 140.0000, -49.0000,  -141.0000, 158.0000, -50.0000,  0, 0, 255
L 66.0000, 128.0000, -48.0000,  -67.0000, 140.0000, -49.0000,  0, 0, 255
L 99.0000, 118.0000, -48.0000,  66.0000, 128.0000, -48.0000,  0, 0, 255
L 132.0000, 83.0000, -46.0000,  99.0000, 118.0000, -48.0000,  0, 0, 255
L 274.0000, 104.0000, -49.0000,  132.0000, 83.0000, -46.0000,  0, 0, 255
L 288.0000, 98.0000, -49.0000,  274.0000, 104.0000, -49.0000,  0, 0, 255
L 354.0000, 118.0000, -48.0000,  288.0000, 98.0000, -49.0000,  0, 0, 255
L 409.0000, 124.0000, -46.0000,  354.0000, 118.0000, -48.0000,  0, 0, 255
L 521.0000, 130.0000, -49.0000,  409.0000, 124.0000, -46.0000,  0, 0, 255
L 633.0000, 241.0000, -49.0000,  521.0000, 130.0000, -49.0000,  0, 0, 255
L 728.0000, 355.0000, -48.0000,  633.0000, 241.0000, -49.0000,  0, 0, 255
L 737.0000, 461.0000, -49.0000,  728.0000, 355.0000, -48.0000,  0, 0, 255
L 637.0000, 467.0000, -50.0000,  737.0000, 461.0000, -49.0000,  0, 0, 255
L 638.0000, 502.0000, -49.0000,  637.0000, 467.0000, -50.0000,  0, 0, 255
L 686.0000, 598.0000, -49.0000,  638.0000, 502.0000, -49.0000,  0, 0, 255
L 908.0000, -1166.0000, 3.0000,  931.0000, 882.0000, 135.0000,  0, 0, 0
L 897.0000, -1197.0000, -27.0000,  908.0000, -1166.0000, 3.0000,  0, 0, 0
L 983.0000, -1265.0000, -15.0000,  897.0000, -1197.0000, -27.0000,  0, 0, 0
L 1005.0000, -1277.0000, -1.0000,  983.0000, -1265.0000, -15.0000,  0, 0, 0
L 1030.0000, -1335.0000, -51.0000,  1017.0000, -1306.0000, -26.0000,  0, 0, 0
L 1058.0000, -1307.0000, -51.0000,  1030.0000, -1335.0000, -51.0000,  0, 0, 0
L 1086.0000, -1290.0000, -51.0000,  1058.0000, -1307.0000, -51.0000,  0, 0, 0
L 1119.0000, -1294.0000, -51.0000,  1086.0000, -1290.0000, -51.0000,  0, 0, 0
L 1155.0000, -1354.0000, -51.0000,  1119.0000, -1294.0000, -51.0000,  0, 0, 0
L 1150.0000, -1418.0000, -51.0000,  1155.0000, -1354.0000, -51.0000,  0, 0, 0
L 1118.0000, -1431.0000, -51.0000,  1150.0000, -1418.0000, -51.0000,  0, 0, 0
L 1099.0000, -1447.0000, -51.0000,  1118.0000, -1431.0000, -51.0000,  0, 0, 0
L 1098.0000, -1466.0000, -51.0000,  1099.0000, -1447.0000, -51.0000,  0, 0, 0
L 1079.0000, -1466.0000, -51.0000,  1076.0000, -1441.0000, -51.0000,  0, 0, 0
L 1098.0000, -1467.0000, -51.0000,  1079.0000, -1466.0000, -51.0000,  199, 21, 133
L 931.0000, 882.0000, 135.0000,  -4702.0000, 906.0000, 768.0000,  0, 0, 0
L -4702.0000, 906.0000, 768.0000,  -4702.0000, 154.0000, 674.0000,  0, 0, 0
L -4702.0000, 154.0000, 674.0000,  -4702.0000, -79.0000, 750.0000,  0, 0, 0
L -4702.0000, -79.0000, 750.0000,  -4822.0000, -358.0000, 691.0000,  0, 0, 0
L -4822.0000, -358.0000, 691.0000,  -4878.0000, -390.0000, 686.0000,  0, 0, 0
L -4934.0000, -423.0000, 681.0000,  -4981.0000, -474.0000, 686.0000,  0, 0, 0
L -4981.0000, -474.0000, 686.0000,  -4982.0000, -509.0000, 690.0000,  0, 0, 0
L -4982.0000, -509.0000, 690.0000,  -4954.0000, -537.0000, 690.0000,  0, 0, 0
L -4954.0000, -537.0000, 690.0000,  -4912.0000, -537.0000, 690.0000,  0, 0, 0
L -4912.0000, -537.0000, 690.0000,  -4899.0000, -551.0000, 690.0000,  0, 0, 0
L -4899.0000, -551.0000, 690.0000,  -4899.0000, -561.0000, 690.0000,  0, 0, 0
L -4899.0000, -565.0000, 690.0000,  -4913.0000, -579.0000, 690.0000,  0, 0, 0
L -4899.0000, -593.0000, 690.0000,  -4885.0000, -578.0000, 690.0000,  0, 0, 0
L -4885.0000, -578.0000, 690.0000,  -4885.0000, -561.0000, 690.0000,  0, 0, 0
L -4885.0000, -538.0000, 690.0000,  -4900.0000, -524.0000, 690.0000,  0, 0, 0
L -4900.0000, -524.0000, 690.0000,  -4942.0000, -524.0000, 690.0000,  0, 0, 0
L -4942.0000, -524.0000, 690.0000,  -4955.0000, -510.0000, 690.0000,  0, 0, 0
