P 100, 1600, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 1800, 0, 0, 0, 0, 2, www.eqmaps.info
P 100, 2000, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -1165, 93, 0, -1172, 97, 0, 0, 0, 0
L -1172, 97, 0, -1175, 88, 0, 0, 0, 0
L -1175, 88, 0, -1167, 87, 0, 0, 0, 0
L -1167, 87, 0, -1137, 76, 1, 0, 0, 0
L -1137, 76, 1, -1150, 44, 0, 0, 0, 0
L -1170, 64, 2, -1166, 75, 0, 0, 0, 0
L -1166, 75, 0, -1146, 68, 0, 0, 0, 0
L -1146, 68, 0, -1150, 57, 0, 0, 0, 0
L -1150, 57, 0, -1170, 64, 0, 0, 0, 0
L -722, -550, 0, -642, -479, 0, 255, 0, 0
L -642, -479, 0, -610, -466, 0, 255, 0, 0
L -610, -466, 0, -565, -442, 0, 255, 0, 0
L -565, -442, 0, -452, -406, 0, 255, 0, 0
L -452, -406, 0, -333, -409, 0, 255, 0, 0
L -333, -409, 0, -272, -431, 0, 255, 0, 0
L -272, -431, 0, -232, -441, 0, 255, 0, 0
L -232, -441, 0, -162, -488, 0, 255, 0, 0
L -162, -488, 0, -151, -499, 0, 255, 0, 0
L -151, -499, 0, -119, -533, 0, 255, 0, 0
L -119, -533, 0, -78, -578, 0, 255, 0, 0
L -78, -578, 0, -60, -613, 0, 255, 0, 0
L -60, -613, 0, -44, -639, 0, 255, 0, 0
L -44, -639, 0, -33, -665, 0, 255, 0, 0
L -33, -665, 0, -22, -734, 0, 255, 0, 0
L -22, -734, 0, -16, -752, 0, 255, 0, 0
L -16, -752, 0, -10, -817, 0, 255, 0, 0
L -10, -817, 0, -12, -868, 0, 255, 0, 0
L -12, -868, 0, -16, -885, 0, 255, 0, 0
L -16, -885, 0, -22, -903, 0, 255, 0, 0
L -22, -903, 0, -34, -947, 0, 255, 0, 0
L -34, -947, 0, -45, -983, 0, 255, 0, 0
L -45, -983, 0, -52, -996, 0, 255, 0, 0
L -52, -996, 0, -103, -1069, 0, 255, 0, 0
L -103, -1069, 0, -138, -1104, 0, 255, 0, 0
L -138, -1104, 0, -141, -1106, 0, 255, 0, 0
L -141, -1106, 0, -173, -1132, 0, 255, 0, 0
L -173, -1132, 0, -182, -1139, 0, 255, 0, 0
L -182, -1139, 0, -195, -1148, 0, 255, 0, 0
L -195, -1148, 0, -272, -1186, 0, 255, 0, 0
L -272, -1186, 0, -284, -1189, 0, 255, 0, 0
L -284, -1189, 0, -304, -1193, 0, 255, 0, 0
L -304, -1193, 0, -363, -1207, 0, 255, 0, 0
L -363, -1207, 0, -399, -1215, 0, 255, 0, 0
L -399, -1215, 0, -422, -1212, 0, 255, 0, 0
L -422, -1212, 0, -470, -1208, 0, 255, 0, 0
L -470, -1208, 0, -486, -1205, 0, 255, 0, 0
L -486, -1205, 0, -493, -1204, 0, 255, 0, 0
L -493, -1204, 0, -589, -1171, 0, 255, 0, 0
L -589, -1171, 0, -594, -1168, 0, 255, 0, 0
L -594, -1168, 0, -633, -1141, 0, 255, 0, 0
L -633, -1141, 0, -682, -1112, 0, 255, 0, 0
L -682, -1112, 0, -701, -1090, 0, 255, 0, 0
L -701, -1090, 0, -737, -1047, 0, 255, 0, 0
L -737, -1047, 0, -739, -1044, 0, 255, 0, 0
L -739, -1044, 0, -745, -1037, 0, 255, 0, 0
L -745, -1037, 0, -762, -1003, 0, 255, 0, 0
L -762, -1003, 0, -791, -949, 0, 255, 0, 0
L -791, -949, 0, -801, -910, 0, 255, 0, 0
L -801, -910, 0, -814, -850, 0, 255, 0, 0
L -814, -850, 0, -816, -836, 0, 255, 0, 0
L -816, -836, 0, -816, -832, 0, 255, 0, 0
L -816, -832, 0, -812, -746, 0, 255, 0, 0
L -812, -746, 0, -811, -738, 0, 255, 0, 0
L -811, -738, 0, -807, -722, 0, 255, 0, 0
L -807, -722, 0, -795, -682, 0, 255, 0, 0
L -795, -682, 0, -742, -576, 0, 255, 0, 0
L -742, -576, 0, -734, -565, 0, 255, 0, 0
L -734, -565, 0, -722, -550, 0, 255, 0, 0
L -699, -577, 0, -743, -644, 0, 255, 0, 0
L -743, -644, 0, -745, -649, 0, 255, 0, 0
L -745, -649, 0, -755, -673, 0, 255, 0, 0
L -755, -673, 0, -767, -719, 0, 255, 0, 0
L -767, -719, 0, -781, -820, 0, 255, 0, 0
L -781, -820, 0, -783, -844, 0, 255, 0, 0
L -783, -844, 0, -773, -900, 0, 255, 0, 0
L -773, -900, 0, -755, -935, 0, 255, 0, 0
L -755, -935, 0, -732, -984, 0, 255, 0, 0
L -732, -984, 0, -722, -1004, 0, 255, 0, 0
L -722, -1004, 0, -711, -1019, 0, 255, 0, 0
L -711, -1019, 0, -673, -1064, 0, 255, 0, 0
L -673, -1064, 0, -649, -1084, 0, 255, 0, 0
L -649, -1084, 0, -591, -1126, 0, 255, 0, 0
L -591, -1126, 0, -550, -1148, 0, 255, 0, 0
L -550, -1148, 0, -504, -1163, 0, 255, 0, 0
L -504, -1163, 0, -457, -1175, 0, 255, 0, 0
L -457, -1175, 0, -421, -1175, 0, 255, 0, 0
L -421, -1175, 0, -388, -1177, 0, 255, 0, 0
L -388, -1177, 0, -347, -1171, 0, 255, 0, 0
L -347, -1171, 0, -298, -1156, 0, 255, 0, 0
L -298, -1156, 0, -219, -1118, 0, 255, 0, 0
L -219, -1118, 0, -186, -1099, 0, 255, 0, 0
L -186, -1099, 0, -122, -1031, 0, 255, 0, 0
L -122, -1031, 0, -105, -1007, 0, 255, 0, 0
L -105, -1007, 0, -83, -972, 0, 255, 0, 0
L -83, -972, 0, -79, -963, 0, 255, 0, 0
L -79, -963, 0, -69, -923, 0, 255, 0, 0
L -69, -923, 0, -56, -874, 0, 255, 0, 0
L -56, -874, 0, -47, -835, 0, 255, 0, 0
L -47, -835, 0, -46, -812, 0, 255, 0, 0
L -46, -812, 0, -47, -796, 0, 255, 0, 0
L -47, -796, 0, -48, -752, 0, 255, 0, 0
L -48, -752, 0, -55, -720, 0, 255, 0, 0
L -55, -720, 0, -75, -661, 0, 255, 0, 0
L -75, -661, 0, -82, -646, 0, 255, 0, 0
L -82, -646, 0, -90, -633, 0, 255, 0, 0
L -90, -633, 0, -131, -575, 0, 255, 0, 0
L -131, -575, 0, -154, -549, 0, 255, 0, 0
L -154, -549, 0, -170, -532, 0, 255, 0, 0
L -170, -532, 0, -176, -526, 0, 255, 0, 0
L -176, -526, 0, -195, -512, 0, 255, 0, 0
L -195, -512, 0, -239, -484, 0, 255, 0, 0
L -239, -484, 0, -258, -473, 0, 255, 0, 0
L -258, -473, 0, -340, -452, 0, 255, 0, 0
L -340, -452, 0, -428, -440, 0, 255, 0, 0
L -428, -440, 0, -441, -439, 0, 255, 0, 0
L -441, -439, 0, -481, -448, 0, 255, 0, 0
L -481, -448, 0, -509, -455, 0, 255, 0, 0
L -509, -455, 0, -525, -458, 0, 255, 0, 0
L -525, -458, 0, -590, -489, 0, 255, 0, 0
L -590, -489, 0, -612, -497, 0, 255, 0, 0
L -612, -497, 0, -648, -526, 0, 255, 0, 0
L -648, -526, 0, -691, -566, 0, 255, 0, 0
L -691, -566, 0, -745, -649, 0, 255, 0, 0
L -563, -960, 0, -562, -657, 0, 150, 150, 150
L -562, -657, 0, -253, -659, 0, 150, 150, 150
L -253, -659, 0, -269, -710, 0, 150, 150, 150
L -269, -710, 0, -269, -727, 0, 150, 150, 150
L -269, -727, 0, -260, -757, 0, 150, 150, 150
L -260, -757, 0, -259, -769, 0, 150, 150, 150
L -259, -769, 0, -263, -786, 0, 150, 150, 150
L -269, -828, 0, -259, -860, 0, 150, 150, 150
L -259, -860, 0, -263, -917, 0, 150, 150, 150
L -251, -961, 0, -563, -960, 0, 150, 150, 150
L -183, -693, 0, -148, -693, 0, 0, 0, 0
L -243, -1049, 0, -243, -1084, 0, 0, 0, 0
L -627, -1061, 0, -663, -1061, 0, 0, 0, 0
L -663, -1061, 0, -663, -1026, 0, 0, 0, 0
L 353, -179, 0, 333, -179, 0, 0, 0, 0
L 333, -179, 0, 332, -242, 0, 0, 0, 0
L 332, -242, 0, 395, -242, 0, 0, 0, 0
L 395, -242, 0, 395, -178, 0, 0, 0, 0
L 395, -178, 0, 375, -179, 0, 0, 0, 0
L 375, -167, 0, 353, -169, 0, 0, 0, 0
L 353, -169, 0, 353, -189, 0, 0, 0, 0
L 356, -219, 0, 360, -226, 0, 0, 0, 0
L 360, -226, 0, 368, -226, 0, 0, 0, 0
L 368, -226, 0, 372, -219, 0, 0, 0, 0
L 372, -219, 0, 368, -212, 0, 0, 0, 0
L 368, -212, 0, 366, -209, 0, 0, 0, 0
L 366, -209, 0, 370, -207, 0, 0, 0, 0
L 370, -207, 0, 377, -219, 0, 0, 0, 0
L 377, -219, 0, 370, -231, 0, 0, 0, 0
L 370, -231, 0, 356, -230, 0, 0, 0, 0
L 356, -230, 0, 350, -219, 0, 0, 0, 0
L 350, -219, 0, 357, -208, 0, 0, 0, 0
L 357, -208, 0, 361, -207, 0, 0, 0, 0
L 361, -207, 0, 360, -212, 0, 0, 0, 0
L 360, -212, 0, 356, -219, 0, 0, 0, 0
L 353, -189, 0, 343, -189, 0, 0, 0, 0
L 343, -189, 0, 343, -231, 0, 0, 0, 0
L 343, -231, 0, 385, -231, 0, 0, 0, 0
L 385, -231, 0, 385, -188, 0, 0, 0, 0
L 385, -188, 0, 375, -189, 0, 0, 0, 0
L 375, -189, 0, 375, -167, 0, 0, 0, 0
L 822, -307, 0, 774, -347, 0, 0, 0, 0
L 774, -347, 0, 709, -268, 0, 0, 0, 0
L 709, -268, 0, 787, -203, 0, 0, 0, 0
L 787, -203, 0, 832, -256, 0, 0, 0, 0
L 832, -256, 0, 813, -269, 0, 0, 0, 0
L 813, -269, 0, 784, -235, 0, 0, 0, 0
L 784, -235, 0, 741, -271, 0, 0, 0, 0
L 741, -271, 0, 777, -315, 0, 0, 0, 0
L 777, -315, 0, 810, -290, 0, 0, 0, 0
L 809, -263, 0, 895, -365, 0, 0, 0, 0
L 895, -365, 0, 915, -402, 0, 0, 0, 0
L 915, -402, 0, 926, -451, 0, 0, 0, 0
L 926, -451, 0, 971, -471, 0, 0, 0, 0
L 971, -471, 0, 1007, -498, 0, 0, 0, 0
L 1007, -498, 0, 1093, -600, 0, 0, 0, 0
L 1088, -552, 0, 1143, -504, 0, 0, 0, 0
L 1143, -504, 0, 1210, -582, 0, 0, 0, 0
L 1210, -582, 0, 1131, -648, 0, 0, 0, 0
L 1131, -648, 0, 1085, -594, 0, 0, 0, 0
L 1085, -594, 0, 1105, -581, 0, 0, 0, 0
L 1105, -581, 0, 1134, -616, 0, 0, 0, 0
L 1134, -616, 0, 1178, -579, 0, 0, 0, 0
L 1178, -579, 0, 1141, -536, 0, 0, 0, 0
L 1141, -536, 0, 1103, -566, 0, 0, 0, 0
L 1108, -587, 0, 1023, -487, 0, 0, 0, 0
L 1023, -487, 0, 1002, -446, 0, 0, 0, 0
L 1002, -446, 0, 992, -398, 0, 0, 0, 0
L 992, -398, 0, 947, -380, 0, 0, 0, 0
L 947, -380, 0, 910, -353, 0, 0, 0, 0
L 910, -353, 0, 824, -249, 0, 0, 0, 0
L 950, -410, 0, 964, -407, 0, 0, 255, 0
L 964, -407, 0, 975, -420, 0, 0, 255, 0
L 975, -420, 0, 970, -434, 0, 0, 255, 0
L 970, -434, 0, 953, -436, 0, 0, 255, 0
L 953, -436, 0, 944, -425, 0, 0, 255, 0
L 944, -425, 0, 949, -411, 0, 0, 255, 0
L 949, -411, 0, 964, -407, 0, 0, 255, 0
L 1060, 300, 0, 1142, 308, 0, 0, 0, 0
L 1142, 308, 0, 1137, 370, 0, 0, 0, 0
L 1137, 370, 0, 1054, 363, 0, 0, 0, 0
L 1054, 363, 0, 1054, 358, 0, 0, 0, 0
L 1054, 358, 0, 1050, 358, 0, 0, 0, 0
L 1050, 358, 0, 1050, 368, 0, 0, 0, 0
L 1050, 368, 0, 1140, 376, 0, 0, 0, 0
L 1140, 376, 0, 1147, 303, 0, 0, 0, 0
L 1147, 303, 0, 1056, 295, 0, 0, 0, 0
L 1056, 295, 0, 1052, 340, 0, 0, 0, 0
L 1052, 340, 0, 1056, 339, 0, 0, 0, 0
L 1056, 339, 0, 1060, 300, 0, 0, 0, 0
L -379, 1011, 0, -461, 1009, 0, 0, 0, 0
L -461, 1009, 0, -460, 946, 0, 0, 0, 0
L -460, 946, 0, -377, 948, 0, 0, 0, 0
L -377, 948, 0, -377, 954, 0, 0, 0, 0
L -377, 954, 0, -372, 953, 0, 0, 0, 0
L -372, 953, 0, -372, 944, 0, 0, 0, 0
L -372, 944, 0, -464, 941, 0, 0, 0, 0
L -464, 941, 0, -466, 1014, 0, 0, 0, 0
L -466, 1014, 0, -374, 1016, 0, 0, 0, 0
L -374, 1016, 0, -372, 973, 0, 0, 0, 0
L -372, 973, 0, -376, 971, 0, 0, 0, 0
L -376, 971, 0, -379, 1011, 0, 0, 0, 0
L 390, 645, 0, 390, 676, 0, 150, 150, 150
L 390, 676, 0, 308, 675, 0, 150, 150, 150
L 308, 675, 0, 309, 593, 0, 150, 150, 150
L 309, 593, 0, 390, 593, 0, 150, 150, 150
L 390, 593, 0, 388, 623, 0, 150, 150, 150
L 388, 623, 0, 392, 624, 0, 150, 150, 150
L 392, 624, 0, 392, 647, 0, 150, 150, 150
L 392, 647, 0, 389, 646, 0, 150, 150, 150
L 389, 646, 0, 381, 646, 0, 150, 150, 150
L 381, 646, 0, 381, 665, 0, 150, 150, 150
L 381, 665, 0, 318, 666, 0, 150, 150, 150
L 318, 666, 0, 318, 604, 0, 150, 150, 150
L 318, 604, 0, 380, 603, 0, 150, 150, 150
L 380, 603, 0, 381, 623, 0, 150, 150, 150
L 381, 623, 0, 371, 623, 0, 150, 150, 150
L 371, 623, 0, 391, 624, 0, 150, 150, 150
L 371, 623, 0, 370, 613, 0, 150, 150, 150
L 370, 613, 0, 329, 613, 0, 150, 150, 150
L 329, 613, 0, 328, 656, 0, 150, 150, 150
L 328, 656, 0, 370, 656, 0, 150, 150, 150
L 370, 656, 0, 371, 646, 0, 150, 150, 150
L 371, 646, 0, 379, 645, 0, 150, 150, 150
L 341, 623, 0, 347, 623, 0, 150, 150, 150
L 347, 623, 0, 351, 632, 0, 150, 150, 150
L 351, 632, 0, 350, 619, 0, 150, 150, 150
L 350, 619, 0, 338, 619, 0, 150, 150, 150
L 338, 619, 0, 337, 649, 0, 150, 150, 150
L 337, 649, 0, 351, 648, 0, 150, 150, 150
L 351, 648, 0, 351, 637, 0, 150, 150, 150
L 351, 637, 0, 348, 636, 0, 150, 150, 150
L 348, 636, 0, 347, 645, 0, 150, 150, 150
L 347, 645, 0, 341, 645, 0, 150, 150, 150
L 341, 645, 0, 341, 623, 0, 150, 150, 150
L 1190, 582, 0, 1189, 589, 0, 150, 150, 150
L 1189, 589, 0, 1148, 589, 0, 150, 150, 150
L 1148, 589, 0, 1149, 691, 0, 150, 150, 150
L 1149, 691, 0, 1251, 692, 0, 150, 150, 150
L 1251, 692, 0, 1251, 590, 0, 150, 150, 150
L 1251, 590, 0, 1211, 589, 0, 150, 150, 150
L 1211, 589, 0, 1209, 581, 0, 150, 150, 150
L 1209, 581, 0, 1211, 609, 0, 150, 150, 150
L 1211, 609, 0, 1231, 609, 0, 150, 150, 150
L 1231, 609, 0, 1231, 672, 0, 150, 150, 150
L 1231, 672, 0, 1168, 671, 0, 150, 150, 150
L 1168, 671, 0, 1169, 609, 0, 150, 150, 150
L 1169, 609, 0, 1189, 609, 0, 150, 150, 150
L 1189, 589, 0, 1189, 599, 0, 150, 150, 150
L 1189, 599, 0, 1158, 599, 0, 150, 150, 150
L 1158, 599, 0, 1159, 682, 0, 150, 150, 150
L 1159, 682, 0, 1241, 682, 0, 150, 150, 150
L 1241, 682, 0, 1241, 600, 0, 150, 150, 150
L 1241, 600, 0, 1211, 599, 0, 150, 150, 150
L 1211, 599, 0, 1211, 619, 0, 150, 150, 150
L 1211, 619, 0, 1222, 619, 0, 150, 150, 150
L 1222, 619, 0, 1221, 662, 0, 150, 150, 150
L 1221, 662, 0, 1179, 662, 0, 150, 150, 150
L 1179, 662, 0, 1179, 619, 0, 150, 150, 150
L 1179, 619, 0, 1189, 619, 0, 150, 150, 150
L 1189, 619, 0, 1189, 589, 0, 150, 150, 150
L 1211, 649, 0, 1189, 649, 0, 150, 150, 150
L 1189, 649, 0, 1189, 643, 0, 150, 150, 150
L 1189, 643, 0, 1197, 643, 0, 150, 150, 150
L 1197, 643, 0, 1198, 639, 0, 150, 150, 150
L 1198, 639, 0, 1186, 639, 0, 150, 150, 150
L 1186, 639, 0, 1185, 653, 0, 150, 150, 150
L 1185, 653, 0, 1214, 653, 0, 150, 150, 150
L 1214, 653, 0, 1214, 640, 0, 150, 150, 150
L 1214, 640, 0, 1201, 639, 0, 150, 150, 150
L 1201, 639, 0, 1201, 642, 0, 150, 150, 150
L 1201, 642, 0, 1211, 643, 0, 150, 150, 150
L 1211, 643, 0, 1211, 649, 0, 150, 150, 150
L -665, 13, 0, -583, 14, 0, 0, 0, 0
L -583, 14, 0, -583, -87, 0, 0, 0, 0
L -583, -87, 0, -687, -86, 0, 0, 0, 0
L -687, -86, 0, -686, -26, 0, 0, 0, 0
L -686, -26, 0, -683, -24, 0, 0, 0, 0
L -663, -24, 0, -663, -62, 0, 0, 0, 0
L -663, -62, 0, -606, -64, 0, 0, 0, 0
L -606, -64, 0, -606, -7, 0, 0, 0, 0
L -606, -7, 0, -665, -6, 0, 0, 0, 0
L -766, 372, 0, -766, 474, 0, 0, 0, 0
L -766, 474, 0, -664, 474, 0, 0, 0, 0
L -686, 409, 0, -686, 452, 0, 0, 0, 0
L -686, 452, 0, -743, 452, 0, 0, 0, 0
L -743, 452, 0, -743, 395, 0, 0, 0, 0
L -684, 283, 0, -694, 238, 0, 0, 0, 0
L -694, 238, 0, -717, 194, 0, 0, 0, 0
L -717, 194, 0, -695, 151, 0, 0, 0, 0
L -695, 151, 0, -685, 106, 0, 0, 0, 0
L -685, 106, 0, -683, -24, 0, 0, 0, 0
L -665, 106, 0, -655, 150, 0, 0, 0, 0
L -655, 150, 0, -632, 194, 0, 0, 0, 0
L -632, 194, 0, -655, 235, 0, 0, 0, 0
L -655, 235, 0, -665, 281, 0, 0, 0, 0
L -675, 209, 0, -662, 202, 0, 0, 255, 0
L -662, 202, 0, -662, 185, 0, 0, 255, 0
L -662, 185, 0, -674, 178, 0, 0, 255, 0
L -674, 178, 0, -688, 185, 0, 0, 255, 0
L -688, 185, 0, -688, 202, 0, 0, 255, 0
L -688, 202, 0, -676, 209, 0, 0, 255, 0
L 140, -301, 12, 164, -328, 15, 0, 0, 0
L 164, -328, 15, 153, -364, 13, 0, 0, 0
L 153, -364, 13, 117, -371, 15, 0, 0, 0
L 117, -371, 15, 96, -345, 17, 0, 0, 0
L 96, -345, 17, 104, -309, 15, 0, 0, 0
L 104, -309, 15, 140, -301, 12, 0, 0, 0
L 473, -967, 11, 453, -970, 17, 0, 0, 0
L 453, -970, 17, 449, -949, 14, 0, 0, 0
L 449, -949, 14, 469, -946, 10, 0, 0, 0
L 469, -946, 10, 473, -967, 11, 0, 0, 0
L 694, -1315, 7, 710, -1329, 12, 0, 0, 0
L 710, -1329, 12, 697, -1345, 15, 0, 0, 0
L 697, -1345, 15, 680, -1332, 11, 0, 0, 0
L 680, -1332, 11, 694, -1315, 7, 0, 0, 0
L 862, -1003, 77, 861, -966, 75, 0, 0, 0
L 861, -966, 75, 897, -966, 87, 0, 0, 0
L 897, -966, 87, 898, -1002, 88, 0, 0, 0
L 898, -1002, 88, 862, -1003, 77, 0, 0, 0
L 737, -393, 2, 692, -391, 1, 0, 0, 0
L 692, -391, 1, 687, -386, 2, 0, 0, 0
L 687, -386, 2, 695, -376, 1, 0, 0, 0
L 695, -376, 1, 699, -369, 0, 0, 0, 0
L 699, -369, 0, 710, -333, -1, 0, 0, 0
L 710, -333, -1, 727, -336, 0, 0, 0, 0
L 727, -336, 0, 730, -371, 0, 0, 0, 0
L 730, -371, 0, 737, -393, 2, 0, 0, 0
L 737, -393, 2, 733, -395, 2, 0, 0, 0
L 756, -489, 26, 804, -465, 29, 0, 0, 0
L 804, -465, 29, 829, -514, 31, 0, 0, 0
L 829, -514, 31, 779, -538, 29, 0, 0, 0
L 779, -538, 29, 756, -489, 26, 0, 0, 0
L 675, 318, 0, 631, 279, 2, 0, 0, 0
L 631, 279, 2, 614, 300, 6, 0, 0, 0
L 614, 300, 6, 656, 338, 0, 0, 0, 0
L 656, 338, 0, 675, 318, 0, 0, 0, 0
L 615, 476, 0, 610, 467, 0, 0, 0, 0
L 610, 467, 0, 595, 475, 0, 0, 0, 0
L 595, 475, 0, 601, 482, 0, 0, 0, 0
L 601, 482, 0, 615, 476, 0, 0, 0, 0
L 615, 476, 0, 611, 468, 0, 0, 0, 0
L 614, 432, 0, 620, 425, 0, 0, 0, 0
L 620, 425, 0, 611, 417, 0, 0, 0, 0
L 611, 417, 0, 604, 424, 0, 0, 0, 0
L 604, 424, 0, 614, 432, 0, 0, 0, 0
L 590, 453, 0, 584, 459, 0, 0, 0, 0
L 584, 459, 0, 590, 465, 0, 0, 0, 0
L 590, 465, 0, 597, 459, 0, 0, 0, 0
L 597, 459, 0, 590, 453, 0, 0, 0, 0
L 611, 418, 26, 615, 451, 29, 0, 0, 0
L 615, 451, 29, 614, 463, 31, 0, 0, 0
L 614, 463, 31, 612, 470, 31, 0, 0, 0
L 612, 470, 31, 606, 477, 32, 0, 0, 0
L 606, 477, 32, 597, 478, 33, 0, 0, 0
L 597, 478, 33, 589, 465, 31, 0, 0, 0
L 589, 465, 31, 588, 454, 30, 0, 0, 0
L 588, 454, 30, 592, 442, 29, 0, 0, 0
L 592, 442, 29, 607, 421, 27, 0, 0, 0
L 607, 421, 27, 611, 418, 26, 0, 0, 0
L -281, 1241, -13, -281, 1281, -13, 0, 0, 0
L -281, 1281, -13, -240, 1282, -15, 0, 0, 0
L -240, 1282, -15, -240, 1241, -18, 0, 0, 0
L -240, 1241, -18, -256, 1241, -19, 0, 0, 0
L -256, 1241, -19, -256, 1234, -18, 0, 0, 0
L -256, 1234, -18, -234, 1234, -17, 0, 0, 0
L -234, 1234, -17, -235, 1289, -14, 0, 0, 0
L -235, 1289, -14, -288, 1287, -12, 0, 0, 0
L -288, 1287, -12, -287, 1234, -15, 0, 0, 0
L -287, 1234, -15, -266, 1235, -17, 0, 0, 0
L -266, 1235, -17, -266, 1240, -18, 0, 0, 0
L -266, 1240, -18, -281, 1241, -16, 0, 0, 0
L -633, 1376, -2, -601, 1376, -5, 0, 0, 0
L -601, 1376, -5, -601, 1343, -7, 0, 0, 0
L -601, 1343, -7, -614, 1343, -6, 0, 0, 0
L -614, 1343, -6, -615, 1340, -5, 0, 0, 0
L -615, 1340, -5, -596, 1340, -8, 0, 0, 0
L -596, 1340, -8, -597, 1380, -5, 0, 0, 0
L -597, 1380, -5, -637, 1380, -1, 0, 0, 0
L -637, 1380, -1, -638, 1339, -3, 0, 0, 0
L -638, 1339, -3, -620, 1339, -5, 0, 0, 0
L -620, 1339, -5, -621, 1343, -5, 0, 0, 0
L -621, 1343, -5, -633, 1343, -4, 0, 0, 0
L -633, 1343, -4, -633, 1376, -2, 0, 0, 0
L -698, 573, 19, -691, 566, 19, 0, 0, 0
L -691, 566, 19, -704, 556, 20, 0, 0, 0
L -704, 556, 20, -709, 563, 19, 0, 0, 0
L -709, 563, 19, -698, 573, 19, 0, 0, 0
L -658, 553, 17, -649, 553, 17, 0, 0, 0
L -649, 553, 17, -647, 545, 17, 0, 0, 0
L -647, 545, 17, -655, 540, 18, 0, 0, 0
L -655, 540, 18, -658, 553, 17, 0, 0, 0
L -688, 541, 21, -697, 539, 22, 0, 0, 0
L -697, 539, 22, -699, 547, 22, 0, 0, 0
L -699, 547, 22, -690, 550, 21, 0, 0, 0
L -690, 550, 21, -688, 541, 21, 0, 0, 0
L -398, 704, 104, -398, 741, 107, 0, 0, 0
L -398, 741, 107, -362, 741, 106, 0, 0, 0
L -362, 741, 106, -361, 705, 101, 0, 0, 0
L -361, 705, 101, -398, 704, 104, 0, 0, 0
L -27, 724, 22, 30, 724, 23, 0, 0, 0
L 30, 724, 23, 31, 665, 23, 0, 0, 0
L 31, 665, 23, -26, 665, 27, 0, 0, 0
L -26, 665, 27, -27, 724, 22, 0, 0, 0
L -375, 472, 2, -382, 466, 2, 0, 0, 0
L -382, 466, 2, -393, 479, 1, 0, 0, 0
L -393, 479, 1, -386, 484, 1, 0, 0, 0
L -386, 484, 1, -375, 472, 2, 0, 0, 0
L -386, 426, 6, -392, 417, 8, 0, 0, 0
L -392, 417, 8, -408, 425, 4, 0, 0, 0
L -408, 425, 4, -403, 435, 3, 0, 0, 0
L -403, 435, 3, -386, 426, 6, 0, 0, 0
L -415, 446, 1, -415, 454, 1, 0, 0, 0
L -415, 454, 1, -405, 454, 2, 0, 0, 0
L -405, 454, 2, -406, 445, 2, 0, 0, 0
L -406, 445, 2, -415, 446, 1, 0, 0, 0
L -458, 234, -1, -454, 226, -1, 0, 0, 0
L -454, 226, -1, -470, 219, -2, 0, 0, 0
L -470, 219, -2, -473, 228, -3, 0, 0, 0
L -473, 228, -3, -458, 234, -1, 0, 0, 0
L -428, 203, -2, -419, 202, -3, 0, 0, 0
L -419, 202, -3, -419, 191, -4, 0, 0, 0
L -419, 191, -4, -429, 191, -3, 0, 0, 0
