P -1100, 1400, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -1100, 1600, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -1100, 1800, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 727.0, 414.0, -59.0, 686.0, 414.0, -59.0, 0, 0, 0
L 626.0, 414.0, -59.0, 625.0, 303.0, -59.0, 0, 0, 0
L 625.0, 303.0, -59.0, 593.0, 299.0, -58.0, 0, 0, 0
L 593.0, 299.0, -58.0, 560.0, 289.0, -56.0, 0, 0, 0
L 560.0, 289.0, -56.0, 545.0, 294.0, -53.0, 0, 0, 0
L 545.0, 294.0, -53.0, 539.0, 283.0, -54.0, 0, 0, 0
L 539.0, 283.0, -54.0, 529.0, 278.0, -56.0, 0, 0, 0
L 529.0, 278.0, -56.0, 521.0, 282.0, -56.0, 0, 0, 0
L 521.0, 282.0, -56.0, 526.0, 299.0, -55.0, 0, 0, 0
L 526.0, 299.0, -55.0, 509.0, 301.0, -57.0, 0, 0, 0
L 509.0, 301.0, -57.0, 499.0, 303.0, -56.0, 0, 0, 0
L 499.0, 303.0, -56.0, 476.0, 316.0, -53.0, 0, 0, 0
L 476.0, 316.0, -53.0, 471.0, 317.0, -53.0, 0, 0, 0
L 471.0, 317.0, -53.0, 446.0, 327.0, -52.0, 0, 0, 0
L 446.0, 327.0, -52.0, 388.0, 348.0, -56.0, 0, 0, 0
L 388.0, 348.0, -56.0, 365.0, 352.0, -55.0, 0, 0, 0
L 366.0, 351.0, -57.0, 353.0, 380.0, -53.0, 0, 0, 0
L 353.0, 380.0, -53.0, 341.0, 401.0, -55.0, 0, 0, 0
L 341.0, 401.0, -55.0, 324.0, 422.0, -58.0, 0, 0, 0
L 324.0, 422.0, -58.0, 321.0, 429.0, -60.0, 0, 0, 0
L 321.0, 429.0, -60.0, 314.0, 476.0, -70.0, 0, 0, 0
L 314.0, 476.0, -70.0, 312.0, 496.0, -73.0, 0, 0, 0
L 312.0, 496.0, -73.0, 322.0, 535.0, -83.0, 0, 0, 0
L 322.0, 535.0, -83.0, 323.0, 549.0, -89.0, 0, 0, 0
L 323.0, 549.0, -89.0, 329.0, 586.0, -91.0, 0, 0, 0
L 329.0, 586.0, -91.0, 328.0, 620.0, -91.0, 0, 0, 0
L 328.0, 620.0, -91.0, 324.0, 680.0, -88.0, 0, 0, 0
L 324.0, 680.0, -88.0, 355.0, 697.0, -84.0, 0, 0, 0
L 355.0, 697.0, -84.0, 377.0, 706.0, -86.0, 0, 0, 0
L 377.0, 706.0, -86.0, 388.0, 719.0, -89.0, 0, 0, 0
L 388.0, 719.0, -89.0, 398.0, 721.0, -86.0, 0, 0, 0
L 398.0, 721.0, -86.0, 416.0, 718.0, -87.0, 0, 0, 0
L 416.0, 718.0, -87.0, 444.0, 713.0, -89.0, 0, 0, 0
L 444.0, 713.0, -89.0, 459.0, 709.0, -84.0, 0, 0, 0
L 459.0, 709.0, -84.0, 464.0, 689.0, -85.0, 0, 0, 0
L 464.0, 689.0, -85.0, 472.0, 667.0, -86.0, 0, 0, 0
L 472.0, 667.0, -86.0, 484.0, 654.0, -91.0, 0, 0, 0
L 484.0, 654.0, -91.0, 493.0, 648.0, -91.0, 0, 0, 0
L 493.0, 648.0, -91.0, 513.0, 651.0, -91.0, 0, 0, 0
L 513.0, 651.0, -91.0, 514.0, 668.0, -89.0, 0, 0, 0
L 514.0, 668.0, -89.0, 499.0, 669.0, -89.0, 0, 0, 0
L 499.0, 669.0, -89.0, 489.0, 678.0, -87.0, 0, 0, 0
L 489.0, 678.0, -87.0, 500.0, 716.0, -87.0, 0, 0, 0
L 500.0, 716.0, -87.0, 466.0, 742.0, -87.0, 0, 0, 0
L 466.0, 742.0, -87.0, 452.0, 754.0, -87.0, 0, 0, 0
L 452.0, 754.0, -87.0, 408.0, 764.0, -88.0, 0, 0, 0
L 408.0, 764.0, -88.0, 376.0, 752.0, -88.0, 0, 0, 0
L 376.0, 752.0, -88.0, 354.0, 741.0, -91.0, 0, 0, 0
L 354.0, 741.0, -91.0, 320.0, 732.0, -88.0, 0, 0, 0
L 320.0, 732.0, -88.0, 292.0, 732.0, -87.0, 0, 0, 0
L 292.0, 732.0, -87.0, 279.0, 732.0, -88.0, 0, 0, 0
L 279.0, 732.0, -88.0, 249.0, 747.0, -86.0, 0, 0, 0
L 249.0, 747.0, -86.0, 226.0, 758.0, -84.0, 0, 0, 0
L 226.0, 758.0, -84.0, 197.0, 764.0, -89.0, 0, 0, 0
L 197.0, 764.0, -89.0, 189.0, 761.0, -91.0, 0, 0, 0
L 189.0, 761.0, -91.0, 185.0, 759.0, -91.0, 0, 0, 0
L 185.0, 759.0, -91.0, 167.0, 756.0, -90.0, 0, 0, 0
L 167.0, 756.0, -90.0, 158.0, 748.0, -91.0, 0, 0, 0
L 158.0, 748.0, -91.0, 155.0, 747.0, -91.0, 0, 0, 0
L 155.0, 747.0, -91.0, 128.0, 722.0, -91.0, 0, 0, 0
L 128.0, 722.0, -91.0, 110.0, 700.0, -90.0, 0, 0, 0
L 110.0, 700.0, -90.0, 100.0, 685.0, -90.0, 0, 0, 0
L 100.0, 685.0, -90.0, 100.0, 681.0, -90.0, 0, 0, 0
L 100.0, 681.0, -90.0, 98.0, 645.0, -83.0, 0, 0, 0
L 98.0, 645.0, -83.0, 78.0, 610.0, -84.0, 0, 0, 0
L 78.0, 610.0, -84.0, 69.0, 591.0, -86.0, 0, 0, 0
L 69.0, 591.0, -86.0, 58.0, 569.0, -89.0, 0, 0, 0
L 58.0, 569.0, -89.0, 26.0, 575.0, -89.0, 0, 0, 0
L 26.0, 575.0, -89.0, 1.0, 576.0, -88.0, 0, 0, 0
L 1.0, 576.0, -88.0, -43.0, 576.0, -88.0, 0, 0, 0
L -43.0, 576.0, -88.0, -66.0, 569.0, -91.0, 0, 0, 0
L -66.0, 569.0, -91.0, -77.0, 577.0, -83.0, 0, 0, 0
L -77.0, 577.0, -83.0, -89.0, 576.0, -87.0, 0, 0, 0
L -89.0, 576.0, -87.0, -100.0, 579.0, -88.0, 0, 0, 0
L -100.0, 579.0, -88.0, -128.0, 579.0, -89.0, 0, 0, 0
L -128.0, 579.0, -89.0, -137.0, 590.0, -89.0, 0, 0, 0
L -137.0, 590.0, -89.0, -135.0, 603.0, -88.0, 0, 0, 0
L -135.0, 603.0, -88.0, -143.0, 626.0, -89.0, 0, 0, 0
L -143.0, 626.0, -89.0, -146.0, 651.0, -88.0, 0, 0, 0
L -146.0, 651.0, -88.0, -138.0, 665.0, -85.0, 0, 0, 0
L -138.0, 665.0, -85.0, -126.0, 707.0, -76.0, 0, 0, 0
L -126.0, 707.0, -76.0, -124.0, 716.0, -73.0, 0, 0, 0
L -124.0, 716.0, -73.0, -122.0, 728.0, -69.0, 0, 0, 0
L -122.0, 728.0, -69.0, -112.0, 757.0, -62.0, 0, 0, 0
L -112.0, 757.0, -62.0, -109.0, 780.0, -56.0, 0, 0, 0
L -109.0, 780.0, -56.0, -108.0, 809.0, -56.0, 0, 0, 0
L -108.0, 809.0, -56.0, -119.0, 832.0, -55.0, 0, 0, 0
L -119.0, 832.0, -55.0, -127.0, 850.0, -55.0, 0, 0, 0
L -127.0, 850.0, -55.0, -158.0, 880.0, -55.0, 0, 0, 0
L -158.0, 880.0, -55.0, -182.0, 893.0, -56.0, 0, 0, 0
L -182.0, 893.0, -56.0, -215.0, 894.0, -59.0, 0, 0, 0
L -215.0, 894.0, -59.0, -257.0, 896.0, -58.0, 0, 0, 0
L -257.0, 896.0, -58.0, -287.0, 899.0, -57.0, 0, 0, 0
L -287.0, 899.0, -57.0, -295.0, 897.0, -56.0, 0, 0, 0
L -295.0, 897.0, -56.0, -323.0, 887.0, -55.0, 0, 0, 0
L -323.0, 887.0, -55.0, -357.0, 868.0, -58.0, 0, 0, 0
L -357.0, 868.0, -58.0, -373.0, 864.0, -54.0, 0, 0, 0
L -373.0, 864.0, -54.0, -409.0, 866.0, -57.0, 0, 0, 0
L -409.0, 866.0, -57.0, -445.0, 863.0, -56.0, 0, 0, 0
L -445.0, 863.0, -56.0, -442.0, 850.0, -55.0, 0, 0, 0
L -442.0, 850.0, -55.0, -446.0, 819.0, -55.0, 0, 0, 0
L -446.0, 819.0, -55.0, -416.0, 820.0, -55.0, 0, 0, 0
L -416.0, 820.0, -55.0, -378.0, 829.0, -58.0, 0, 0, 0
L -378.0, 829.0, -58.0, -342.0, 836.0, -59.0, 0, 0, 0
L -342.0, 836.0, -59.0, -327.0, 845.0, -58.0, 0, 0, 0
L -327.0, 845.0, -58.0, -317.0, 858.0, -56.0, 0, 0, 0
L -317.0, 858.0, -56.0, -299.0, 855.0, -56.0, 0, 0, 0
L -299.0, 855.0, -56.0, -262.0, 854.0, -55.0, 0, 0, 0
L -262.0, 854.0, -55.0, -231.0, 850.0, -51.0, 0, 0, 0
L -231.0, 850.0, -51.0, -199.0, 846.0, -50.0, 0, 0, 0
L -199.0, 846.0, -50.0, -164.0, 836.0, -48.0, 0, 0, 0
L -164.0, 836.0, -48.0, -157.0, 820.0, -56.0, 0, 0, 0
L -157.0, 820.0, -56.0, -156.0, 816.0, -55.0, 0, 0, 0
L -156.0, 816.0, -55.0, -149.0, 769.0, -55.0, 0, 0, 0
L -149.0, 769.0, -55.0, -154.0, 753.0, -64.0, 0, 0, 0
L -154.0, 753.0, -64.0, -165.0, 721.0, -71.0, 0, 0, 0
L -165.0, 721.0, -71.0, -185.0, 661.0, -81.0, 0, 0, 0
L -185.0, 661.0, -81.0, -189.0, 637.0, -86.0, 0, 0, 0
L -189.0, 637.0, -86.0, -178.0, 590.0, -83.0, 0, 0, 0
L -178.0, 590.0, -83.0, -171.0, 580.0, -84.0, 0, 0, 0
L -171.0, 580.0, -84.0, -133.0, 543.0, -83.0, 0, 0, 0
L -133.0, 543.0, -83.0, -118.0, 532.0, -82.0, 0, 0, 0
L -118.0, 532.0, -82.0, -81.0, 529.0, -89.0, 0, 0, 0
L -81.0, 529.0, -89.0, -26.0, 532.0, -89.0, 0, 0, 0
L -26.0, 532.0, -89.0, 14.0, 530.0, -88.0, 0, 0, 0
L 14.0, 530.0, -88.0, 40.0, 530.0, -87.0, 0, 0, 0
L 40.0, 530.0, -87.0, 74.0, 528.0, -88.0, 0, 0, 0
L 109.0, 525.0, -89.0, 110.0, 530.0, -88.0, 0, 0, 0
L 110.0, 530.0, -88.0, 112.0, 581.0, -81.0, 0, 0, 0
L 112.0, 581.0, -81.0, 118.0, 595.0, -80.0, 0, 0, 0
L 118.0, 595.0, -80.0, 133.0, 626.0, -86.0, 0, 0, 0
L 133.0, 626.0, -86.0, 134.0, 632.0, -87.0, 0, 0, 0
L 134.0, 632.0, -87.0, 140.0, 664.0, -91.0, 0, 0, 0
L 140.0, 664.0, -91.0, 149.0, 705.0, -85.0, 0, 0, 0
L 149.0, 705.0, -85.0, 157.0, 717.0, -90.0, 0, 0, 0
L 157.0, 717.0, -90.0, 173.0, 712.0, -88.0, 0, 0, 0
L 173.0, 712.0, -88.0, 179.0, 715.0, -88.0, 0, 0, 0
L 179.0, 715.0, -88.0, 210.0, 718.0, -86.0, 0, 0, 0
L 210.0, 718.0, -86.0, 239.0, 706.0, -89.0, 0, 0, 0
L 239.0, 706.0, -89.0, 286.0, 684.0, -89.0, 0, 0, 0
L 286.0, 684.0, -89.0, 284.0, 658.0, -88.0, 0, 0, 0
L 284.0, 658.0, -88.0, 284.0, 639.0, -91.0, 0, 0, 0
L 284.0, 639.0, -91.0, 287.0, 592.0, -91.0, 0, 0, 0
L 287.0, 592.0, -91.0, 287.0, 566.0, -90.0, 0, 0, 0
L 287.0, 566.0, -90.0, 285.0, 550.0, -84.0, 0, 0, 0
L 285.0, 550.0, -84.0, 278.0, 524.0, -82.0, 0, 0, 0
L 278.0, 524.0, -82.0, 268.0, 490.0, -73.0, 0, 0, 0
L 268.0, 490.0, -73.0, 279.0, 448.0, -62.0, 0, 0, 0
L 279.0, 448.0, -62.0, 288.0, 426.0, -55.0, 0, 0, 0
L 288.0, 426.0, -55.0, 296.0, 404.0, -58.0, 0, 0, 0
L 296.0, 404.0, -58.0, 315.0, 365.0, -56.0, 0, 0, 0
L 315.0, 365.0, -56.0, 316.0, 342.0, -55.0, 0, 0, 0
L 316.0, 342.0, -55.0, 318.0, 307.0, -55.0, 0, 0, 0
L -1.0, 93.0, -55.0, -3.0, 35.0, -55.0, 0, 0, 0
L -3.0, 35.0, -55.0, -22.0, -1.0, -58.0, 0, 0, 0
L -22.0, -1.0, -58.0, -32.0, -28.0, -55.0, 0, 0, 0
L -32.0, -28.0, -55.0, -36.0, -49.0, -59.0, 0, 0, 0
L -36.0, -49.0, -59.0, -37.0, -77.0, -59.0, 0, 0, 0
L -37.0, -77.0, -59.0, -40.0, -123.0, -52.0, 0, 0, 0
L -40.0, -123.0, -52.0, -39.0, -153.0, -55.0, 0, 0, 0
L -39.0, -153.0, -55.0, -38.0, -177.0, -58.0, 0, 0, 0
L -38.0, -177.0, -58.0, -39.0, -222.0, -49.0, 0, 0, 0
L 2.0, -212.0, -57.0, 4.0, -199.0, -56.0, 0, 0, 0
L 4.0, -199.0, -56.0, 6.0, -160.0, -55.0, 0, 0, 0
L 6.0, -160.0, -55.0, 6.0, -136.0, -55.0, 0, 0, 0
L 6.0, -136.0, -55.0, 6.0, -99.0, -50.0, 0, 0, 0
L 6.0, -99.0, -50.0, 7.0, -66.0, -59.0, 0, 0, 0
L 7.0, -66.0, -59.0, 28.0, 10.0, -57.0, 0, 0, 0
L 28.0, 10.0, -57.0, 41.0, 36.0, -56.0, 0, 0, 0
L 41.0, 36.0, -56.0, 48.0, 44.0, -53.0, 0, 0, 0
L -39.0, -222.0, -49.0, -86.0, -227.0, -59.0, 0, 0, 0
L -86.0, -227.0, -59.0, -114.0, -230.0, -60.0, 0, 0, 0
L -114.0, -230.0, -60.0, -129.0, -218.0, -56.0, 0, 0, 0
L -129.0, -218.0, -56.0, -169.0, -205.0, -55.0, 0, 0, 0
L -169.0, -205.0, -55.0, -207.0, -191.0, -58.0, 0, 0, 0
L -207.0, -191.0, -58.0, -231.0, -183.0, -56.0, 0, 0, 0
L -231.0, -183.0, -56.0, -256.0, -141.0, -56.0, 0, 0, 0
L -256.0, -141.0, -56.0, -271.0, -116.0, -54.0, 0, 0, 0
L -271.0, -116.0, -54.0, -288.0, -84.0, -61.0, 0, 0, 0
L -288.0, -84.0, -61.0, -305.0, -47.0, -57.0, 0, 0, 0
L -356.0, 1.0, -54.0, -375.0, 15.0, -58.0, 0, 0, 0
L -375.0, 15.0, -58.0, -402.0, 32.0, -58.0, 0, 0, 0
L -402.0, 32.0, -58.0, -439.0, 56.0, -59.0, 0, 0, 0
L -439.0, 56.0, -59.0, -461.0, 74.0, -60.0, 0, 0, 0
L -461.0, 74.0, -60.0, -477.0, 83.0, -60.0, 0, 0, 0
L -1160.0, -335.0, -59.0, -1158.0, -293.0, -60.0, 0, 0, 0
L -1158.0, -293.0, -60.0, -1177.0, -275.0, -60.0, 0, 0, 0
L -1177.0, -275.0, -60.0, -1175.0, -187.0, -60.0, 0, 0, 0
L -1175.0, -187.0, -60.0, -1156.0, -118.0, -60.0, 0, 0, 0
L -1156.0, -118.0, -60.0, -1175.0, -51.0, -60.0, 0, 0, 0
L -1175.0, -51.0, -60.0, -1194.0, -10.0, -60.0, 0, 0, 0
L -1176.0, 83.0, -60.0, -1189.0, 131.0, -60.0, 0, 0, 0
L -1189.0, 131.0, -60.0, -1182.0, 134.0, -60.0, 0, 0, 0
L -1182.0, 134.0, -60.0, -1180.0, 151.0, -60.0, 0, 0, 0
L -1180.0, 151.0, -60.0, -1181.0, 198.0, -60.0, 0, 0, 0
L -1181.0, 198.0, -60.0, -1176.0, 221.0, -60.0, 0, 0, 0
L -1176.0, 221.0, -60.0, -1195.0, 287.0, -60.0, 0, 0, 0
L -1195.0, 287.0, -60.0, -1171.0, 335.0, -60.0, 0, 0, 0
L -1171.0, 335.0, -60.0, -1182.0, 392.0, -60.0, 0, 0, 0
L -1182.0, 392.0, -60.0, -1157.0, 445.0, -60.0, 0, 0, 0
L -1157.0, 445.0, -60.0, -1171.0, 491.0, -60.0, 0, 0, 0
L -1171.0, 491.0, -60.0, -1198.0, 559.0, -51.0, 0, 0, 0
L -1198.0, 559.0, -51.0, -1207.0, 568.0, -52.0, 0, 0, 0
L -1207.0, 568.0, -52.0, -1236.0, 591.0, -60.0, 0, 0, 0
L -1236.0, 591.0, -60.0, -1278.0, 623.0, -58.0, 0, 0, 0
L -1278.0, 623.0, -58.0, -1334.0, 638.0, -57.0, 0, 0, 0
L -1334.0, 638.0, -57.0, -1385.0, 672.0, -51.0, 0, 0, 0
L -1385.0, 672.0, -51.0, -1420.0, 705.0, -38.0, 0, 0, 0
L -1420.0, 705.0, -38.0, -1459.0, 718.0, -26.0, 0, 0, 0
L -1459.0, 718.0, -26.0, -1482.0, 729.0, -14.0, 0, 0, 0
L -1482.0, 729.0, -14.0, -1536.0, 727.0, -17.0, 0, 0, 0
L -1536.0, 727.0, -17.0, -1606.0, 729.0, -15.0, 0, 0, 0
L -1606.0, 729.0, -15.0, -1614.0, 724.0, -10.0, 0, 0, 0
L -1614.0, 724.0, -10.0, -1617.0, 646.0, -24.0, 0, 0, 0
L -1617.0, 646.0, -24.0, -1607.0, 622.0, -32.0, 0, 0, 0
L -1607.0, 622.0, -32.0, -1600.0, 593.0, -40.0, 0, 0, 0
L -1600.0, 593.0, -40.0, -1587.0, 545.0, -55.0, 0, 0, 0
L -1587.0, 545.0, -55.0, -1580.0, 517.0, -59.0, 0, 0, 0
L -1580.0, 517.0, -59.0, -1583.0, 490.0, -57.0, 0, 0, 0
L -1583.0, 490.0, -57.0, -1602.0, 458.0, -57.0, 0, 0, 0
L -1602.0, 458.0, -57.0, -1639.0, 426.0, -56.0, 0, 0, 0
L -1639.0, 426.0, -56.0, -1684.0, 415.0, -61.0, 0, 0, 0
L -1684.0, 415.0, -61.0, -1703.0, 418.0, -60.0, 0, 0, 0
L -1703.0, 418.0, -60.0, -1744.0, 411.0, -59.0, 0, 0, 0
L -1744.0, 411.0, -59.0, -1780.0, 411.0, -58.0, 0, 0, 0
L -1780.0, 411.0, -58.0, -1829.0, 409.0, -48.0, 0, 0, 0
L -1828.0, 453.0, -58.0, -1841.0, 482.0, -54.0, 0, 0, 0
L -1841.0, 482.0, -54.0, -1866.0, 527.0, -52.0, 0, 0, 0
L -1866.0, 527.0, -52.0, -1864.0, 543.0, -59.0, 0, 0, 0
L -1864.0, 543.0, -59.0, -1866.0, 554.0, -59.0, 0, 0, 0
L -1866.0, 554.0, -59.0, -1878.0, 581.0, -60.0, 0, 0, 0
L -1878.0, 581.0, -60.0, -1883.0, 594.0, -59.0, 0, 0, 0
L -1883.0, 594.0, -59.0, -1909.0, 621.0, -59.0, 0, 0, 0
L -1909.0, 621.0, -59.0, -1926.0, 632.0, -58.0, 0, 0, 0
L -1926.0, 632.0, -58.0, -1931.0, 636.0, -58.0, 0, 0, 0
L -1931.0, 636.0, -58.0, -1974.0, 647.0, -58.0, 0, 0, 0
L -1974.0, 647.0, -58.0, -2012.0, 633.0, -56.0, 0, 0, 0
L -2012.0, 633.0, -56.0, -2033.0, 622.0, -57.0, 0, 0, 0
L -2033.0, 622.0, -57.0, -2050.0, 614.0, -57.0, 0, 0, 0
L -2050.0, 614.0, -57.0, -2072.0, 615.0, -57.0, 0, 0, 0
L -2072.0, 615.0, -57.0, -2106.0, 614.0, -59.0, 0, 0, 0
L -2106.0, 614.0, -59.0, -2141.0, 632.0, -61.0, 0, 0, 0
L -2141.0, 632.0, -61.0, -2168.0, 638.0, -61.0, 0, 0, 0
L -2168.0, 638.0, -61.0, -2194.0, 645.0, -59.0, 0, 0, 0
L -2194.0, 645.0, -59.0, -2210.0, 654.0, -55.0, 0, 0, 0
L -2210.0, 654.0, -55.0, -2229.0, 658.0, -51.0, 0, 0, 0
L -2229.0, 658.0, -51.0, -2236.0, 682.0, -58.0, 0, 0, 0
L -2236.0, 682.0, -58.0, -2241.0, 719.0, -51.0, 0, 0, 0
L -2241.0, 719.0, -51.0, -2231.0, 736.0, -57.0, 0, 0, 0
L -2231.0, 736.0, -57.0, -2214.0, 771.0, -59.0, 0, 0, 0
L -2214.0, 771.0, -59.0, -2218.0, 797.0, -58.0, 0, 0, 0
L -2218.0, 797.0, -58.0, -2226.0, 813.0, -58.0, 0, 0, 0
L -2273.0, 846.0, -53.0, -2281.0, 855.0, -47.0, 0, 0, 0
L -2281.0, 855.0, -47.0, -2339.0, 877.0, -23.0, 0, 0, 0
L -2339.0, 877.0, -23.0, -2367.0, 895.0, -30.0, 0, 0, 0
L -2367.0, 895.0, -30.0, -2437.0, 857.0, -21.0, 0, 0, 0
L -2437.0, 857.0, -21.0, -2459.0, 868.0, -28.0, 0, 0, 0
L -2459.0, 868.0, -28.0, -2510.0, 921.0, -17.0, 0, 0, 0
L -2510.0, 921.0, -17.0, -2510.0, 939.0, -23.0, 0, 0, 0
L -2510.0, 939.0, -23.0, -2528.0, 959.0, -37.0, 0, 0, 0
L -2528.0, 959.0, -37.0, -2549.0, 981.0, -57.0, 0, 0, 0
L -2549.0, 981.0, -57.0, -2557.0, 979.0, -54.0, 0, 0, 0
L -2557.0, 979.0, -54.0, -2580.0, 983.0, -58.0, 0, 0, 0
L -2580.0, 983.0, -58.0, -2617.0, 994.0, -58.0, 0, 0, 0
L -2617.0, 994.0, -58.0, -2656.0, 984.0, -61.0, 0, 0, 0
L -2656.0, 984.0, -61.0, -2681.0, 977.0, -53.0, 0, 0, 0
L -2681.0, 977.0, -53.0, -2687.0, 974.0, -55.0, 0, 0, 0
L -2687.0, 974.0, -55.0, -2756.0, 958.0, -88.0, 0, 0, 0
L -2756.0, 958.0, -88.0, -2793.0, 946.0, -96.0, 0, 0, 0
L -2793.0, 946.0, -96.0, -2834.0, 936.0, -108.0, 0, 0, 0
L -2834.0, 936.0, -108.0, -2875.0, 928.0, -116.0, 0, 0, 0
L -2875.0, 928.0, -116.0, -2906.0, 918.0, -119.0, 0, 0, 0
L -2906.0, 918.0, -119.0, -2943.0, 905.0, -112.0, 0, 0, 0
L -2943.0, 905.0, -112.0, -2946.0, 803.0, -123.0, 0, 0, 0
