P 201, 119, 41, 0, 0, 0, 2, Chatterbones
L 24.7, 195.4, 41.8, 24.7, 211.8, 41.8, 0, 0, 0
L 24.7, 231.8, 41.8, 24.7, 237.2, 42.3, 0, 0, 0
L 24.7, 211.8, 41.8, 23.5, 211.8, 41.8, 0, 0, 0
L 24.7, 220.4, 41.8, 24.7, 219.2, 41.8, 0, 0, 0
L 24.7, 219.2, 41.8, 23.5, 219.2, 41.8, 0, 0, 0
L 188.2, 176.7, 27.6, 175.1, 173.5, 27.2, 204, 0, 204
L 175.1, 173.5, 27.2, 175.1, 192.9, 27.2, 204, 0, 204
L 175.1, 192.9, 27.2, 172.7, 192.8, 27.1, 204, 0, 204
L 172.7, 192.8, 27.1, 172.7, 173.1, 27.1, 204, 0, 204
L 172.7, 173.1, 27.1, 146.9, 167.7, 26.2, 204, 0, 204
L 146.9, 167.7, 26.2, 146.9, 172.3, 26.2, 204, 0, 204
L 146.9, 172.3, 26.1, 144.5, 172.3, 26.1, 204, 0, 204
L 144.5, 172.3, 26.1, 144.6, 166.6, 26.1, 204, 0, 204
L 144.6, 166.6, 26.1, 130.1, 163.7, 25.6, 204, 0, 204
L 130.1, 163.7, 25.6, 87.4, 160.9, 25.6, 204, 0, 204
L 87.4, 160.9, 25.6, 87.3, 200.2, 25.6, 204, 0, 204
L 87.3, 200.2, 25.6, 84.1, 200.2, 25.6, 204, 0, 204
L 84.1, 200.2, 25.6, 84.1, 160.7, 25.6, 204, 0, 204
L 84.1, 160.7, 25.6, 72.3, 160.1, 25.6, 204, 0, 204
L 72.3, 160.1, 25.6, 23.9, 162.9, 25.6, 204, 0, 204
L 23.9, 162.9, 25.6, 0.1, 168.5, 25.6, 204, 0, 204
L 0.1, 168.5, 25.6, 0.2, 181.8, 25.6, 204, 0, 204
L 0.2, 181.8, 25.6, 7.2, 181.8, 25.6, 204, 0, 204
L 7.2, 181.8, 25.6, 7.2, 187.5, 25.6, 204, 0, 204
L 7.2, 187.5, 25.6, -2.7, 187.5, 25.6, 204, 0, 204
L -2.7, 187.5, 25.6, -3.0, 169.2, 25.6, 204, 0, 204
L -3.0, 169.2, 25.6, -27.6, 174.9, 25.6, 204, 0, 204
L -27.6, 174.9, 25.6, -27.6, 232.3, 25.6, 204, 0, 204
L -27.6, 232.3, 25.6, -2.8, 238.1, 25.6, 204, 0, 204
L -2.8, 238.1, 25.6, -2.8, 219.5, 25.6, 204, 0, 204
L -2.8, 219.5, 25.6, 7.2, 219.5, 25.6, 204, 0, 204
L 7.2, 219.5, 25.6, 7.2, 225.2, 25.6, 204, 0, 204
L 7.2, 225.2, 25.6, 0.2, 225.2, 25.6, 204, 0, 204
L 0.2, 225.2, 25.6, 0.1, 238.8, 25.6, 204, 0, 204
L 0.1, 238.8, 25.6, 23.8, 244.3, 25.6, 204, 0, 204
L 23.8, 244.3, 25.6, 72.3, 247.2, 25.6, 204, 0, 204
L 72.3, 247.2, 25.6, 84.2, 246.4, 25.6, 204, 0, 204
L 84.2, 246.4, 25.6, 84.1, 206.9, 25.6, 204, 0, 204
L 84.1, 206.9, 25.6, 87.3, 207.0, 25.6, 204, 0, 204
L 87.3, 207.0, 25.6, 87.4, 246.0, 25.6, 204, 0, 204
L 87.4, 246.0, 25.6, 131.0, 243.5, 25.6, 204, 0, 204
L 131.0, 243.5, 25.6, 144.6, 240.5, 26.1, 204, 0, 204
L 144.6, 240.5, 26.1, 144.4, 179.9, 26.1, 204, 0, 204
L 144.4, 179.9, 26.1, 146.9, 179.9, 26.1, 204, 0, 204
L 146.9, 179.9, 26.2, 146.9, 201.8, 26.2, 204, 0, 204
L 146.9, 201.8, 26.2, 172.7, 202.0, 27.1, 204, 0, 204
L 172.7, 202.0, 27.1, 172.7, 199.2, 27.1, 204, 0, 204
L 172.7, 199.2, 27.1, 175.0, 199.2, 27.2, 204, 0, 204
L 175.0, 199.2, 27.2, 175.0, 204.3, 27.2, 204, 0, 204
L 175.0, 204.3, 27.2, 146.9, 204.3, 26.4, 204, 0, 204
L 146.9, 204.3, 26.2, 146.9, 239.8, 26.2, 204, 0, 204
L 146.9, 239.8, 26.2, 173.7, 234.6, 25.6, 204, 0, 204
L 173.7, 234.6, 25.6, 175.6, 234.0, 27.2, 204, 0, 204
L 175.6, 234.0, 27.2, 187.8, 230.9, 27.6, 204, 0, 204
L 24.7, 181.8, 25.6, 24.7, 225.2, 25.6, 204, 0, 204
L 24.7, 225.2, 25.6, 15.7, 225.2, 25.6, 204, 0, 204
L 15.7, 225.2, 25.6, 15.7, 219.5, 25.6, 204, 0, 204
L 15.7, 219.5, 25.6, 21.7, 219.5, 25.6, 204, 0, 204
L 21.7, 219.5, 25.6, 21.7, 187.5, 25.6, 204, 0, 204
L 21.7, 187.5, 25.6, 15.7, 187.5, 25.6, 204, 0, 204
L 15.7, 187.5, 25.6, 15.7, 181.8, 25.6, 204, 0, 204
L 15.7, 181.8, 25.6, 24.7, 181.8, 25.6, 204, 0, 204
L 141.9, 172.4, 11.2, 120.5, 169.8, 10.8, 178, 102, 255
L 120.5, 169.8, 10.8, 95.6, 168.8, 10.6, 178, 102, 255
L 95.6, 168.8, 10.6, 71.5, 167.7, 10.4, 178, 102, 255
L 116.4, 237.5, 10.8, 94.9, 238.6, 10.6, 178, 102, 255
L 94.9, 238.6, 10.6, 63.7, 238.7, 10.4, 178, 102, 255
L -61.2, 59.4, 39.9, -17.2, 53.3, 29.6, 204, 0, 204
L 389.7, 147.7, 11.1, 371.4, 248.1, 11.1, 0, 0, 255
L 56.1, -136.8, 11.1, 151.0, -136.8, 11.1, 0, 0, 255
L -43.6, -102.5, 11.1, 56.1, -136.8, 11.1, 0, 0, 255
L 322.2, 333.4, 11.1, 245.3, 397.9, 11.1, 0, 0, 255
L -170.5, 246.7, 11.1, -187.7, 149.5, 11.1, 0, 0, 255
L -187.7, 149.5, 11.1, -170.8, 49.9, 11.1, 0, 0, 255
L 322.2, -38.0, 11.1, 372.3, 48.9, 11.1, 0, 0, 255
L 245.3, 397.9, 11.1, 151.0, 432.2, 11.1, 0, 0, 255
L 247.9, -100.3, 11.1, 322.2, -38.0, 11.1, 0, 0, 255
L 151.0, -136.8, 11.1, 247.9, -100.3, 11.1, 0, 0, 255
L -170.8, 49.9, 11.1, -120.5, -38.0, 11.1, 0, 0, 255
L -121.4, -36.5, 11.1, -43.6, -102.5, 11.1, 0, 0, 255
L 371.4, 248.1, 11.1, 322.2, 333.4, 11.1, 0, 0, 255
L 372.3, 48.9, 11.1, 389.7, 147.7, 11.1, 0, 0, 255
L -120.5, 333.4, 11.1, -170.5, 246.7, 11.1, 0, 0, 255
L 48.4, 431.4, 11.1, -50.1, 392.4, 11.1, 0, 0, 255
L -50.1, 392.4, 11.1, -120.5, 333.4, 11.1, 0, 0, 255
L 151.0, 432.2, 11.1, 48.4, 431.4, 11.1, 0, 0, 255
L 60.1, 236.7, -5.1, 60.1, 217.8, -5.1, 102, 0, 204
L 50.2, 236.2, -5.1, 60.1, 236.7, -5.1, 102, 0, 204
L 126.1, 234.2, -5.1, 135.1, 232.8, -5.1, 102, 0, 204
L 98.8, 235.8, -5.1, 101.9, 235.3, -5.1, 102, 0, 204
L 101.9, 235.3, -5.1, 126.1, 234.2, -5.1, 102, 0, 204
L 223.0, 193.4, -5.1, 203.3, 191.2, -5.1, 102, 0, 204
L 183.9, 222.3, -5.1, 164.1, 228.1, -5.1, 102, 0, 204
L 209.2, 219.0, -5.1, 223.1, 213.9, -5.1, 102, 0, 204
L 86.4, 171.4, -5.1, 85.3, 189.6, -5.1, 102, 0, 204
L 85.3, 189.6, -5.1, 61.3, 189.9, -5.1, 102, 0, 204
L 203.3, 191.2, -5.1, 189.2, 183.8, -5.1, 102, 0, 204
L 189.2, 183.8, -5.1, 156.5, 180.1, -5.1, 102, 0, 204
L 223.1, 213.9, -5.1, 223.0, 193.4, -5.1, 102, 0, 204
L 202.3, 218.5, -5.1, 209.2, 219.0, -5.1, 102, 0, 204
L 61.3, 189.9, -5.1, 49.1, 191.4, -5.1, 102, 0, 204
L 49.1, 191.4, -5.1, 47.3, 171.2, -5.1, 102, 0, 204
L 9.4, 177.9, -5.1, 9.4, 198.2, -5.1, 102, 0, 204
L 85.1, 217.9, -5.1, 86.4, 235.3, -5.1, 102, 0, 204
L 60.1, 217.8, -5.1, 85.1, 217.9, -5.1, 102, 0, 204
L 46.1, 236.0, -5.1, 50.2, 236.2, -5.1, 102, 0, 204
L 9.4, 229.3, -5.1, 46.1, 236.0, -5.1, 102, 0, 204
L 153.8, 229.8, -5.1, 164.1, 228.1, -5.1, 102, 0, 204
L 86.4, 235.3, -5.1, 98.8, 235.8, -5.1, 102, 0, 204
L 5.9, 208.8, -5.1, 9.4, 208.9, -5.1, 102, 0, 204
L 9.4, 208.9, -5.1, 9.4, 229.3, -5.1, 102, 0, 204
L 135.1, 232.8, -5.1, 153.8, 229.8, -5.1, 102, 0, 204
L 202.3, 218.5, -5.1, 183.9, 222.3, -5.1, 102, 0, 204
L 92.4, 171.0, -5.1, 86.4, 171.4, -5.1, 102, 0, 204
L 122.9, 172.8, -5.1, 106.3, 171.9, -5.1, 102, 0, 204
L 156.5, 180.1, -5.1, 129.6, 174.4, -5.1, 102, 0, 204
L 129.6, 174.4, -5.1, 122.9, 172.8, -5.1, 102, 0, 204
L 106.3, 171.9, -5.1, 92.4, 171.0, -5.1, 102, 0, 204
L 47.3, 171.2, -5.1, 9.4, 177.9, -5.1, 102, 0, 204
L 187.8, 230.9, 27.6, 188.2, 207.4, 27.6, 204, 0, 204
L 188.2, 207.4, 27.6, 190.4, 207.4, 27.6, 204, 0, 204
L 192.7, 199.8, 27.6, 190.4, 199.8, 27.6, 204, 0, 204
L 192.7, 207.4, 27.6, 192.7, 212.0, 27.6, 204, 0, 204
L 188.2, 204.9, 27.6, 188.2, 202.3, 27.6, 205, 133, 63
L 190.4, 207.4, 27.6, 192.7, 207.4, 27.6, 204, 0, 204
L 190.4, 207.4, 27.6, 190.4, 204.9, 27.6, 205, 133, 63
L 188.2, 204.9, 27.6, 192.7, 204.9, 27.6, 205, 133, 63
L 188.2, 202.3, 27.6, 190.4, 202.3, 27.6, 205, 133, 63
L 190.4, 202.3, 27.6, 192.7, 202.3, 27.6, 205, 133, 63
L 190.4, 199.8, 27.6, 188.2, 199.8, 27.6, 204, 0, 204
L 190.4, 202.3, 27.6, 190.4, 199.8, 27.6, 205, 133, 63
L 192.7, 204.9, 27.6, 192.7, 202.3, 27.6, 205, 133, 63
L 22.2, 170.6, 10.4, -7.7, 177.4, 10.4, 178, 102, 255
L 24.7, 238.2, 10.4, 24.7, 223.6, 10.4, 178, 102, 255
L 63.7, 238.7, 10.4, 24.7, 238.2, 10.4, 178, 102, 255
L 71.5, 167.7, 10.4, 24.7, 169.8, 10.4, 178, 102, 255
L 24.7, 169.8, 10.4, 24.7, 200.1, 10.4, 178, 102, 255
L 22.1, 206.8, 10.4, 24.7, 206.8, 10.4, 178, 102, 255
L 24.7, 206.8, 10.4, 24.7, 220.8, 10.4, 178, 102, 255
L 22.1, 237.6, 10.4, 22.1, 206.8, 10.4, 178, 102, 255
L 24.7, 200.1, 10.4, 22.1, 200.1, 10.4, 178, 102, 255
L 22.1, 200.1, 10.4, 22.2, 170.6, 10.4, 178, 102, 255
L -7.7, 229.7, 10.4, 22.1, 237.6, 10.4, 178, 102, 255
L 7.2, 188.3, 10.4, 7.2, 217.1, 10.4, 178, 102, 255
L 24.7, 223.6, 10.4, 100.7, 224.0, 10.4, 178, 102, 255
L 100.7, 220.1, 10.4, 24.7, 220.8, 10.4, 178, 102, 255
L 100.7, 220.1, 10.4, 100.7, 224.0, 10.4, 178, 102, 255
L 173.7, 234.5, 26.2, 173.6, 232.3, 24.4, 178, 102, 255
L 173.6, 216.9, 11.9, 160.5, 216.9, 11.9, 150, 150, 150
L 160.3, 234.5, 26.2, 160.3, 232.3, 24.4, 178, 102, 255
L 173.7, 234.5, 26.2, 160.3, 234.5, 26.2, 150, 150, 150
L 173.6, 225.7, 19.0, 173.6, 223.5, 17.2, 178, 102, 255
L 160.4, 225.7, 19.0, 160.4, 223.5, 17.2, 178, 102, 255
L 173.6, 225.7, 19.0, 160.4, 225.7, 19.0, 150, 150, 150
L 173.6, 230.1, 22.6, 173.6, 227.9, 20.8, 178, 102, 255
L 160.4, 230.0, 22.5, 160.4, 227.9, 20.8, 178, 102, 255
L 173.6, 230.1, 22.6, 160.4, 230.0, 22.5, 150, 150, 150
L 173.6, 232.3, 24.4, 173.6, 230.1, 22.6, 178, 102, 255
L 160.3, 232.3, 24.4, 160.4, 230.0, 22.5, 178, 102, 255
L 173.6, 232.3, 24.4, 160.3, 232.3, 24.4, 150, 150, 150
L 173.6, 227.9, 20.8, 173.6, 225.7, 19.0, 178, 102, 255
L 160.4, 227.9, 20.8, 160.4, 225.7, 19.0, 178, 102, 255
L 173.6, 227.9, 20.8, 160.4, 227.9, 20.8, 150, 150, 150
L 173.6, 221.3, 15.4, 173.6, 219.1, 13.7, 178, 102, 255
L 160.4, 221.3, 15.5, 160.4, 219.1, 13.7, 178, 102, 255
L 173.6, 221.3, 15.4, 160.4, 221.3, 15.5, 150, 150, 150
L 173.6, 223.5, 17.2, 173.6, 221.3, 15.4, 178, 102, 255
L 160.4, 223.5, 17.2, 160.4, 221.3, 15.5, 178, 102, 255
L 173.6, 223.5, 17.2, 160.4, 223.5, 17.2, 150, 150, 150
L 173.6, 219.1, 13.7, 173.6, 216.9, 11.9, 178, 102, 255
L 160.4, 219.1, 13.7, 160.5, 216.9, 11.9, 178, 102, 255
L 173.6, 219.1, 13.7, 160.4, 219.1, 13.7, 150, 150, 150
L -0.8, 219.6, 69.9, -0.7, 219.6, 69.9, 102, 255, 102
L -0.7, 223.0, 69.9, -36.8, 223.0, 69.9, 102, 255, 102
L -36.8, 185.2, 69.9, -36.8, 223.0, 69.9, 102, 255, 102
L -36.8, 185.2, 69.9, -0.7, 185.2, 69.9, 102, 255, 102
L -0.7, 211.0, 69.9, 2.5, 211.0, 66.3, 102, 255, 102
L 12.2, 219.6, 55.6, 9.0, 219.6, 59.2, 102, 255, 102
L -0.7, 223.0, 69.9, -0.7, 219.6, 69.9, 102, 255, 102
L -0.7, 211.0, 69.9, -0.8, 219.6, 69.9, 150, 150, 150
L -0.7, 188.6, 69.9, -0.7, 185.2, 69.9, 102, 255, 102
L 12.2, 188.6, 55.6, 9.0, 188.6, 59.2, 102, 255, 102
L -0.7, 188.6, 69.9, -0.8, 197.2, 69.9, 150, 150, 150
L -0.8, 197.2, 69.9, 2.5, 197.2, 66.3, 102, 255, 102
L -0.7, 211.0, 69.9, -0.8, 197.2, 69.9, 150, 150, 150
L 0.6, 199.3, 55.6, 0.7, 197.5, 55.6, 0, 204, 0
L 0.7, 221.1, 55.6, 0.7, 225.1, 55.6, 0, 204, 0
L 0.7, 225.1, 55.6, -34.5, 225.1, 55.6, 0, 204, 0
L -2.1, 222.4, 55.6, -30.5, 222.5, 55.6, 0, 204, 0
L -30.5, 222.5, 55.6, -30.2, 185.3, 55.6, 0, 204, 0
L -2.1, 199.3, 55.6, -0.7, 199.3, 55.6, 0, 204, 0
L -30.2, 185.3, 55.6, -2.1, 184.7, 55.6, 0, 204, 0
L 0.7, 207.9, 55.6, -0.7, 207.9, 55.6, 0, 204, 0
L -2.1, 199.3, 55.6, -2.1, 184.7, 55.6, 0, 204, 0
L 0.7, 207.9, 55.6, 0.7, 209.7, 55.6, 0, 204, 0
L 12.2, 219.6, 55.6, 12.2, 211.0, 55.6, 150, 150, 150
L 12.2, 188.6, 55.6, 12.2, 197.2, 55.6, 150, 150, 150
L 5.7, 188.6, 62.7, 2.5, 188.6, 66.3, 102, 255, 102
L 5.7, 197.2, 62.7, 9.0, 197.2, 59.2, 102, 255, 102
L 5.7, 188.6, 62.7, 5.7, 197.2, 62.7, 150, 150, 150
L 2.5, 188.6, 66.3, -0.7, 188.6, 69.9, 102, 255, 102
L 2.5, 197.2, 66.3, 5.7, 197.2, 62.7, 102, 255, 102
L 2.5, 188.6, 66.3, 2.5, 197.2, 66.3, 150, 150, 150
L 9.0, 188.6, 59.2, 5.7, 188.6, 62.7, 102, 255, 102
L 9.0, 197.2, 59.2, 12.2, 197.2, 55.6, 102, 255, 102
L 9.0, 188.6, 59.2, 9.0, 197.2, 59.2, 150, 150, 150
L 5.7, 211.0, 62.7, 9.0, 211.0, 59.2, 102, 255, 102
L 5.7, 219.6, 62.7, 2.5, 219.6, 66.3, 102, 255, 102
L 5.7, 211.0, 62.7, 5.7, 219.6, 62.7, 150, 150, 150
L 2.5, 211.0, 66.3, 5.7, 211.0, 62.7, 102, 255, 102
L 2.5, 219.6, 66.3, -0.7, 219.6, 69.9, 102, 255, 102
L 2.5, 211.0, 66.3, 2.5, 219.6, 66.3, 150, 150, 150
L 9.0, 211.0, 59.2, 12.2, 211.0, 55.6, 102, 255, 102
L 9.0, 219.6, 59.2, 5.7, 219.6, 62.7, 102, 255, 102
L 9.0, 211.0, 59.2, 9.0, 219.6, 59.2, 150, 150, 150
L 12.2, 211.0, 55.6, 12.2, 209.7, 55.6, 0, 204, 0
L 0.7, 209.7, 55.6, 12.2, 209.7, 55.6, 0, 204, 0
L 12.2, 219.6, 55.6, 12.2, 221.1, 55.6, 0, 204, 0
L 0.7, 221.1, 55.6, 12.2, 221.1, 55.6, 0, 204, 0
L 12.2, 197.2, 55.6, 12.2, 197.5, 55.6, 0, 204, 0
L 0.7, 197.5, 55.6, 12.2, 197.5, 55.6, 0, 204, 0
L 12.2, 187.2, 55.6, 12.2, 188.6, 55.6, 0, 204, 0
L 0.7, 187.2, 55.6, 12.2, 187.2, 55.6, 0, 204, 0
L 0.7, 183.2, 55.6, 0.7, 187.2, 55.6, 0, 204, 0
L 0.7, 183.2, 55.6, -34.5, 183.2, 55.6, 0, 204, 0
L -34.5, 225.1, 55.6, -34.5, 183.2, 55.6, 0, 204, 0
L 22.3, 193.0, 41.8, 22.3, 190.5, 41.8, 205, 133, 63
L 23.5, 195.4, 41.8, 24.7, 195.4, 41.8, 0, 0, 0
L 23.5, 195.4, 41.8, 23.5, 193.0, 41.8, 205, 133, 63
L 22.3, 193.0, 41.8, 24.7, 193.0, 41.8, 205, 133, 63
L 22.3, 190.5, 41.8, 23.5, 190.5, 41.8, 205, 133, 63
L 23.5, 190.5, 41.8, 24.7, 190.5, 41.8, 205, 133, 63
L 23.5, 188.1, 41.8, 22.3, 188.1, 41.8, 0, 0, 0
L 23.5, 190.5, 41.8, 23.5, 188.1, 41.8, 205, 133, 63
L 24.7, 193.0, 41.8, 24.7, 190.5, 41.8, 205, 133, 63
L 22.3, 216.7, 41.8, 22.3, 214.3, 41.8, 205, 133, 63
L 23.5, 219.2, 41.8, 22.3, 219.2, 41.8, 0, 0, 0
L 23.5, 219.2, 41.8, 23.5, 216.7, 41.8, 205, 133, 63
L 22.3, 216.7, 41.8, 24.7, 216.7, 41.8, 205, 133, 63
L 22.3, 214.3, 41.8, 23.5, 214.3, 41.8, 205, 133, 63
L 23.5, 214.3, 41.8, 24.7, 214.3, 41.8, 205, 133, 63
L 23.5, 211.8, 41.8, 22.3, 211.8, 41.8, 0, 0, 0
L 23.5, 214.3, 41.8, 23.5, 211.8, 41.8, 205, 133, 63
L 24.7, 216.7, 41.8, 24.7, 214.3, 41.8, 205, 133, 63
L -2.1, 205.1, 55.6, -2.1, 202.2, 55.6, 205, 133, 63
L -0.7, 207.9, 55.6, -0.7, 205.1, 55.6, 205, 133, 63
L -2.1, 205.1, 55.6, 0.6, 205.1, 55.6, 205, 133, 63
L -2.1, 202.2, 55.6, -0.7, 202.2, 55.6, 205, 133, 63
L -0.7, 202.2, 55.6, 0.6, 202.2, 55.6, 205, 133, 63
L -0.7, 199.3, 55.6, 0.6, 199.3, 55.6, 0, 204, 0
L -0.7, 202.2, 55.6, -0.7, 199.3, 55.6, 205, 133, 63
L 0.6, 205.1, 55.6, 0.6, 202.2, 55.6, 205, 133, 63
L -0.7, 207.9, 55.6, -2.1, 207.9, 55.6, 0, 204, 0
L -2.1, 222.4, 55.6, -2.1, 207.9, 55.6, 0, 204, 0
L 131.8, 237.8, 42.4, 191.2, 228.1, 42.4, 0, 0, 0
L 191.2, 179.2, 42.4, 169.5, 175.6, 42.4, 0, 0, 0
L 188.2, 199.8, 27.6, 188.2, 176.7, 27.6, 204, 0, 204
L 204.0, 183.5, 27.6, 192.7, 181.1, 27.6, 204, 0, 204
L 192.7, 181.1, 27.6, 192.7, 183.9, 27.6, 204, 0, 204
L 192.7, 223.3, 27.6, 192.7, 226.0, 27.6, 204, 0, 204
L 192.7, 226.0, 27.6, 204.3, 223.0, 27.6, 204, 0, 204
L 192.7, 212.0, 27.6, 202.4, 212.0, 27.6, 204, 0, 204
L 202.4, 212.0, 27.6, 202.4, 223.3, 27.6, 150, 150, 150
L 192.7, 223.3, 27.6, 202.4, 223.3, 27.6, 204, 0, 204
L 167.6, 202.0, 11.9, 167.6, 204.3, 11.9, 178, 102, 255
L 173.6, 204.3, 11.9, 173.6, 202.1, 11.9, 178, 102, 255
L 158.9, 174.4, 11.9, 141.9, 172.4, 11.2, 178, 102, 255
L 189.3, 227.0, 11.9, 199.5, 223.5, 11.9, 178, 102, 255
L 161.2, 174.9, 11.9, 161.2, 202.0, 11.9, 178, 102, 255
L 205.2, 185.7, 11.9, 188.1, 180.0, 11.9, 178, 102, 255
L 188.1, 180.0, 11.9, 173.5, 177.0, 11.9, 178, 102, 255
L 199.5, 223.5, 11.9, 205.1, 221.7, 11.9, 178, 102, 255
L 173.5, 177.0, 11.9, 161.2, 174.9, 11.9, 178, 102, 255
L 205.1, 221.7, 11.9, 205.2, 185.7, 11.9, 178, 102, 255
L 182.3, 227.6, 11.9, 189.3, 227.0, 11.9, 178, 102, 255
L 158.9, 204.3, 11.9, 158.9, 174.4, 11.9, 178, 102, 255
L 175.3, 228.4, 11.9, 180.0, 228.0, 11.9, 178, 102, 255
L 182.3, 202.1, 11.9, 182.3, 227.6, 11.9, 178, 102, 255
L 173.6, 202.1, 11.9, 182.3, 202.1, 11.9, 178, 102, 255
L 180.0, 228.0, 11.9, 180.0, 204.3, 11.9, 178, 102, 255
L 161.2, 202.0, 11.9, 167.6, 202.0, 11.9, 178, 102, 255
L 167.6, 204.3, 11.9, 158.9, 204.3, 11.9, 178, 102, 255
L 180.0, 204.3, 11.9, 173.6, 204.3, 11.9, 178, 102, 255
L 143.1, 183.6, 11.9, 143.1, 233.4, 11.9, 178, 102, 255
L 143.1, 233.4, 11.9, 116.4, 237.5, 10.8, 178, 102, 255
L 146.0, 234.4, 11.9, 146.0, 183.6, 11.9, 178, 102, 255
L 146.0, 183.6, 11.9, 143.1, 183.6, 11.9, 178, 102, 255
L 158.0, 233.2, 11.9, 146.0, 234.4, 11.9, 178, 102, 255
L 173.6, 216.9, 11.9, 173.6, 228.4, 11.9, 178, 102, 255
L 175.3, 228.4, 11.9, 173.6, 228.4, 11.9, 178, 102, 255
L 160.5, 216.9, 11.9, 160.5, 233.2, 11.9, 178, 102, 255
L 158.0, 233.2, 11.9, 160.5, 233.2, 11.9, 178, 102, 255
L 192.7, 223.3, 42.4, 192.7, 212.0, 42.4, 150, 150, 150
L 202.4, 212.0, 27.6, 200.0, 212.0, 31.3, 204, 0, 204
L 202.4, 223.3, 27.6, 200.0, 223.3, 31.3, 204, 0, 204
L 192.7, 212.0, 42.4, 191.2, 212.0, 42.4, 150, 150, 150
L 192.7, 223.3, 42.4, 191.2, 223.3, 42.4, 0, 0, 0
L 191.2, 223.3, 42.4, 191.2, 228.1, 42.4, 150, 150, 150
L 197.5, 223.3, 35.0, 195.1, 223.3, 38.7, 204, 0, 204
L 197.5, 212.0, 35.0, 195.1, 212.0, 38.7, 204, 0, 204
L 197.5, 223.3, 35.0, 197.5, 212.0, 35.0, 150, 150, 150
L 195.1, 223.3, 38.7, 192.7, 223.3, 42.4, 204, 0, 204
L 195.1, 212.0, 38.7, 192.7, 212.0, 42.4, 204, 0, 204
L 195.1, 223.3, 38.7, 195.1, 212.0, 38.7, 150, 150, 150
L 200.0, 223.3, 31.3, 197.5, 223.3, 35.0, 204, 0, 204
L 200.0, 212.0, 31.3, 197.5, 212.0, 35.0, 204, 0, 204
