P -643.4314, -1343.8658, 4.7134, 255, 0, 0, 3, to_Sepulcher_of_Order
P -695.0000, -2045.0000, -912.0000, 0, 0, 0, 2, to_J
P -644.5000, -2010.0000, -912.0000, 0, 0, 0, 2, to_G
P -644.5000, -2045.0000, -912.0000, 0, 0, 240, 2, Floor_K
P -644.5000, -2080.0000, -820.0000, 0, 0, 0, 2, to_C
P -595.0000, -2045.0000, -820.0000, 150, 0, 150, 2, to_K
P -695.0000, -2045.0000, -820.0000, 0, 0, 0, 2, to_E
P -644.5000, -2010.0000, -820.0000, 0, 0, 0, 2, to_A
P -644.5000, -2045.0000, -820.0000, 0, 0, 240, 2, Floor_J
P -644.5000, -2080.0000, -728.0000, 0, 0, 0, 2, to_B
P -595.0000, -2045.0000, -728.0000, 0, 0, 0, 2, to_F
P -695.0000, -2045.0000, -728.0000, 150, 0, 150, 2, to_J
P -644.5000, -2010.0000, -728.0000, 0, 0, 0, 2, to_B
P -644.5000, -2045.0000, -728.0000, 0, 0, 240, 2, Floor_I
P -644.5000, -2080.0000, -637.0000, 0, 0, 0, 2, to_G
P -595.0000, -2045.0000, -637.0000, 150, 0, 150, 2, to_I
P -695.0000, -2045.0000, -637.0000, 0, 0, 0, 2, to_F
P -644.5000, -2010.0000, -637.0000, 0, 0, 0, 2, to_D
P -644.5000, -2045.0000, -637.0000, 0, 0, 240, 2, Floor_H
P -644.5000, -2080.0000, -546.0000, 0, 0, 0, 2, to_C
P -595.0000, -2045.0000, -546.0000, 0, 0, 0, 2, to_E
P -695.0000, -2045.0000, -546.0000, 0, 0, 0, 2, to_C
P -644.5000, -2010.0000, -546.0000, 150, 0, 150, 2, to_H
P -644.5000, -2045.0000, -546.0000, 0, 0, 240, 2, Floor_G
P -644.5000, -2080.0000, -455.0000, 150, 0, 150, 2, to_G
P -595.0000, -2045.0000, -455.0000, 0, 0, 0, 2, to_A
P -695.0000, -2045.0000, -455.0000, 0, 0, 0, 2, to_A
P -644.5000, -2010.0000, -455.0000, 0, 0, 0, 2, to_C
P -644.5000, -2045.0000, -455.0000, 0, 0, 240, 2, Floor_F
P -644.5000, -2080.0000, -364.0000, 150, 0, 150, 2, to_F
P -595.0000, -2045.0000, -364.0000, 0, 0, 0, 2, to_D
P -695.0000, -2045.0000, -364.0000, 0, 0, 0, 2, to_A
P -644.5000, -2010.0000, -364.0000, 0, 0, 0, 2, to_D
P -644.5000, -2045.0000, -364.0000, 0, 0, 240, 2, Floor_E
P -644.5000, -2080.0000, -273.0000, 0, 0, 0, 2, to_B
P -595.0000, -2045.0000, -273.0000, 150, 0, 150, 2, to_E
P -695.0000, -2045.0000, -273.0000, 0, 0, 0, 2, to_C
P -644.5000, -2010.0000, -273.0000, 0, 0, 0, 2, to_A
P -644.5000, -2045.0000, -273.0000, 0, 0, 240, 2, Floor_D
P -644.5000, -2080.0000, -182.0000, 0, 0, 0, 2, to_C
P -595.0000, -2045.0000, -182.0000, 0, 0, 0, 2, to_C
P -695.0000, -2045.0000, -182.0000, 150, 0, 150, 2, to_D
P -644.5000, -2010.0000, -182.0000, 0, 0, 0, 2, to_C
P -644.5000, -2045.0000, -182.0000, 0, 0, 240, 2, Floor_C
P -2098.6631, -194.3168, -241.1580, 0, 0, 0, 2, Jordi
P -644.4498, -1878.2666, -0.0438, 0, 0, 0, 2, The_Relic_of_Ladrys
P -2371.7239, -297.3836, -225.6009, 0, 0, 0, 2, The_Relic_of_Oseka
P -644.5645, -1530.9703, 4.2107, 0, 0, 0, 2, The_Relic_of_Ladrys
P -697.7780, -1411.9221, 4.6434, 0, 128, 128, 2, a_thelasa_ereth_of_Illdaera_(Quest)
P -1012.1025, 0.7801, 3.7060, 0, 128, 128, 2, a_thelasa_ereth_of_Lunanyn_(Quest)
P -1970.6132, -841.4818, -1.6293, 0, 0, 0, 2, The_Relic_of_Illdaera
P -1506.5035, 578.1246, -52.6055, 0, 0, 0, 2, The_Relic_of_Sholoth
P -1378.9844, 651.4464, -72.6005, 0, 0, 127, 1, Decayed_Remains
P -1393.5929, 470.8861, -70.3299, 0, 0, 127, 1, Decayed_Remains
P -1421.9319, 484.0614, -68.6661, 0, 0, 127, 1, Decayed_Remains
P -1473.6406, 565.4870, -72.6005, 0, 0, 127, 1, Decayed_Remains
P -1460.1884, 614.8853, -72.6005, 0, 0, 127, 1, Decayed_Remains
P -1540.5874, 640.9137, -67.9108, 0, 0, 127, 1, Decayed_Remains
P -1533.1616, 548.5102, -72.6004, 0, 0, 127, 1, Decayed_Remains
P -1562.1553, 631.9590, -72.6005, 0, 0, 0, 2, Dunia
P -981.0681, -943.7004, 5.7117, 0, 128, 128, 2, a_thelasa_ereth_of_Lunanyn_(Quest)
P -1250.4414, -565.2567, 6.1897, 0, 128, 128, 2, a_thelasa_ereth_of_Illdaera_(Quest)
P -2354.2461, -381.5536, -223.2742, 127, 64, 0, 2, Deepblade_(Hunter)
P -656.9886, -2050.4045, -1004.9221, 127, 64, 0, 2, The_Cleaner_(Hunter)
P -630.2017, -2044.2075, -456.8066, 127, 64, 0, 2, Mindlock_(Hunter)
P -2096.7205, -266.4620, -244.8050, 127, 64, 0, 2, Wavecrasher_(Hunter)
P -1297.5535, 548.7523, -69.4128, 127, 64, 0, 2, The_Digger_(Hunter,Roam)
P -1909.9430, -803.7954, 0.4836, 127, 64, 0, 2, The_Chosen_(Hunter,Roam)
