P 100.0000, 900.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100.0000, 1100.0000, 0.0000,  0, 0, 0,  2,  http://www.eqmaps.info
P 100.0000, 1300.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L 319.0000, 101.0000, 3.0000, 285.0000, 101.0000, 3.0000, 0, 0, 0
L 286.0000, 150.0000, 3.0000, 298.0000, 150.0000, 3.0000, 0, 0, 0
L 298.0000, 144.0000, 3.0000, 334.0000, 144.0000, 3.0000, 0, 0, 0
L 289.0000, 140.0000, 3.0000, 289.0000, 106.0000, 3.0000, 0, 0, 0
L 289.0000, 140.0000, 26.0000, 289.0000, 106.0000, 26.0000, 125, 125, 125
L 289.0000, 106.0000, 3.0000, 324.0000, 106.0000, 3.0000, 0, 0, 0
L 289.0000, 106.0000, 26.0000, 324.0000, 106.0000, 26.0000, 125, 125, 125
L 324.0000, 106.0000, 3.0000, 324.0000, 121.0000, 3.0000, 204, 51, 0
L 324.0000, 121.0000, 3.0000, 358.0000, 121.0000, 3.0000, 204, 51, 0
L 358.0000, 121.0000, 3.0000, 358.0000, 140.0000, 3.0000, 204, 51, 0
L 380.0000, -473.0000, 3.0000, 47.0000, -473.0000, 3.0000, 125, 125, 125
L -368.0000, -473.0000, 3.0000, -367.0000, 425.0000, 3.0000, 125, 125, 125
L -367.0000, 425.0000, 3.0000, -53.0000, 428.0000, 3.0000, 125, 125, 125
L 304.0000, 429.0000, 3.0000, 40.0000, 428.2605, 3.0000, 125, 125, 125
L 367.0000, 429.0000, 3.0000, 371.0215, 428.6344, 3.0000, 0, 0, 0
L 99.0000, 400.0000, 3.0000, 100.0000, 328.0000, 3.0000, 0, 0, 0
L 100.0000, 328.0000, 3.0000, 8.0000, 328.0000, 3.0000, 0, 0, 0
L 13.0000, 333.0000, 3.0000, 48.0000, 333.0000, 3.0000, 0, 0, 0
L 13.0000, 333.0000, 26.0000, 48.0000, 333.0000, 26.0000, 125, 125, 125
L 82.2134, 346.0000, 3.0000, 82.0000, 367.0000, 3.0000, 204, 51, 0
L 95.0000, 367.0000, 3.0000, 95.0000, 395.0000, 3.0000, 0, 0, 0
L 95.0000, 367.0000, 26.0000, 95.0000, 395.0000, 26.0000, 125, 125, 125
L 95.0000, 395.0000, 3.0000, 63.0000, 395.0000, 3.0000, 0, 0, 0
L 95.0000, 395.0000, 26.0000, 63.0000, 395.0000, 26.0000, 125, 125, 125
L 10.0000, 374.0000, 3.0000, 21.0000, 374.0000, 3.0000, 0, 0, 0
L 35.0000, 430.0000, 3.0000, -47.0000, 430.0000, 3.0000, 0, 0, 0
L -47.0000, 430.0000, 3.0000, -47.0000, 367.0000, 3.0000, 0, 0, 0
L -47.0000, 367.0000, 3.0000, -14.0000, 367.0000, 3.0000, 0, 0, 0
L -51.0000, 362.0000, 3.0000, -52.0000, 434.0000, 3.0000, 0, 0, 0
L -52.0000, 434.0000, 3.0000, 40.0000, 434.0000, 3.0000, 0, 0, 0
L 278.0000, 6.0000, 3.0000, 326.0000, 6.0000, 3.0000, 0, 0, 0
L 278.0000, 6.0000, 26.0000, 326.0000, 6.0000, 26.0000, 125, 125, 125
L 346.0000, 20.0000, 3.0000, 346.0000, 54.0000, 3.0000, 204, 51, 0
L 346.0000, 54.0000, 3.0000, 361.0000, 54.0000, 3.0000, 204, 51, 0
L 361.0000, 54.0000, 3.0000, 361.0000, 69.0000, 3.0000, 0, 0, 0
L 361.0000, 54.0000, 26.0000, 361.0000, 69.0000, 26.0000, 125, 125, 125
L 361.0000, 69.0000, 3.0000, 278.0000, 69.0000, 3.0000, 0, 0, 0
L 361.0000, 69.0000, 26.0000, 278.0000, 69.0000, 26.0000, 125, 125, 125
L 196.0000, 34.0000, 3.0000, 215.0000, 56.0000, 3.0000, 0, 0, 0
L 215.0000, 56.0000, 3.0000, 243.0000, 34.0000, 3.0000, 0, 0, 0
L 243.0000, 34.0000, 3.0000, 249.0000, 34.0000, 3.0000, 0, 0, 0
L 243.0000, 22.0000, 3.0000, 202.0000, -25.0000, 3.0000, 0, 0, 0
L 202.0000, -25.0000, 3.0000, 130.4166, 33.4765, 3.0000, 0, 0, 0
L 137.6601, 34.2859, 3.0000, 201.0000, -19.0000, 3.0000, 0, 0, 0
L 201.0000, -19.0000, 3.0000, 241.0000, 28.0000, 3.0000, 0, 0, 0
L 241.0000, 28.0000, 3.0000, 241.0000, 29.0000, 3.0000, 0, 0, 0
L 241.0000, 29.0000, 3.0000, 216.0000, 50.0000, 3.0000, 0, 0, 0
L 216.0000, 50.0000, 3.0000, 197.0000, 27.0000, 3.0000, 0, 0, 0
L 197.0000, 27.0000, 3.0000, 160.0000, 57.0000, 3.0000, 0, 0, 0
L 160.0000, 57.0000, 3.0000, 157.0000, 57.0000, 3.0000, 0, 0, 0
L 164.0000, 61.0000, 3.0000, 196.0000, 34.0000, 3.0000, 0, 0, 0
L -223.0000, 312.0000, 3.0000, -225.0000, 323.0000, 3.0000, 0, 0, 0
L -225.0000, 323.0000, 3.0000, -216.0000, 331.0000, 3.0000, 0, 0, 0
L -216.0000, 331.0000, 3.0000, -204.0000, 327.0000, 3.0000, 0, 0, 0
L -204.0000, 327.0000, 3.0000, -202.0000, 317.0000, 3.0000, 0, 0, 0
L -202.0000, 317.0000, 3.0000, -211.0000, 308.0000, 3.0000, 0, 0, 0
L -211.0000, 308.0000, 3.0000, -223.0000, 312.0000, 3.0000, 0, 0, 0
L 191.0000, -230.0000, 3.0000, 191.0000, -242.0000, 3.0000, 0, 0, 0
L 191.0000, -242.0000, 3.0000, 181.0000, -249.0000, 3.0000, 0, 0, 0
L 181.0000, -249.0000, 3.0000, 170.0000, -242.0000, 3.0000, 0, 0, 0
L 170.0000, -242.0000, 3.0000, 170.0000, -230.0000, 3.0000, 0, 0, 0
L 170.0000, -230.0000, 3.0000, 181.0000, -224.0000, 3.0000, 0, 0, 0
L 181.0000, -224.0000, 3.0000, 191.0000, -230.0000, 3.0000, 0, 0, 0
L -98.0000, -302.0000, 3.0000, -99.0000, -451.0000, 3.0000, 0, 0, 0
L -99.0000, -451.0000, 3.0000, -330.0000, -450.0086, 3.0000, 0, 0, 0
L -252.0000, -198.0000, 3.0000, -252.0000, -102.0000, 3.0000, 0, 0, 0
L -252.0000, -102.0000, 3.0000, -331.0000, -101.0000, 3.0000, 0, 0, 0
L -331.0000, -101.0000, 3.0000, -330.0050, 100.0000, 3.0000, 0, 0, 0
L -258.0000, 100.0000, 3.0000, -258.0000, 1.0000, 3.0000, 0, 0, 0
L -258.0000, 1.0000, 3.0000, -202.0000, 1.0000, 3.0000, 0, 0, 0
L -202.0000, 1.0000, 3.0000, -201.0000, 100.0000, 3.0000, 0, 0, 0
L -149.0000, 100.0000, 3.0000, -148.0000, -19.0000, 3.0000, 0, 0, 0
L -148.0000, -19.0000, 3.0000, -143.0000, -15.0000, 3.0000, 0, 0, 0
L -143.0000, -15.0000, 3.0000, -131.0000, -18.0000, 3.0000, 0, 0, 0
L -131.0000, -18.0000, 3.0000, -128.0000, -30.0000, 3.0000, 0, 0, 0
L -128.0000, -30.0000, 3.0000, -137.0000, -38.0000, 3.0000, 0, 0, 0
L -137.0000, -38.0000, 3.0000, -141.0000, -37.0000, 3.0000, 0, 0, 0
L -141.0000, -37.0000, 3.0000, -124.0000, -55.0000, 3.0000, 0, 0, 0
L -124.0000, -55.0000, 3.0000, -131.0000, -62.0000, 3.0000, 0, 0, 0
L -131.0000, -62.0000, 3.0000, -153.0000, -41.0000, 3.0000, 0, 0, 0
L -91.0000, -103.0000, 26.0000, -153.0000, -41.0000, 26.0000, 125, 125, 125
L -153.0000, -41.0000, 3.0000, -154.0000, 95.0000, 3.0000, 0, 0, 0
L -153.0000, -41.0000, 26.0000, -154.0000, 95.0000, 26.0000, 125, 125, 125
L -154.0000, 95.0000, 3.0000, -196.0000, 95.0000, 3.0000, 0, 0, 0
L -154.0000, 95.0000, 26.0000, -196.0000, 95.0000, 26.0000, 125, 125, 125
L -196.0000, 95.0000, 3.0000, -197.0000, -3.0000, 3.0000, 0, 0, 0
L -196.0000, 95.0000, 26.0000, -197.0000, -3.0000, 26.0000, 125, 125, 125
L -197.0000, -3.0000, 3.0000, -263.0000, -3.0000, 3.0000, 0, 0, 0
L -197.0000, -3.0000, 26.0000, -263.0000, -3.0000, 26.0000, 125, 125, 125
L -263.0000, -3.0000, 3.0000, -264.0000, 95.0000, 3.0000, 0, 0, 0
L -263.0000, -3.0000, 26.0000, -264.0000, 95.0000, 26.0000, 125, 125, 125
L -264.0000, 95.0000, 3.0000, -326.0000, 95.0000, 3.0000, 0, 0, 0
L -264.0000, 95.0000, 26.0000, -326.0000, 95.0000, 26.0000, 125, 125, 125
L -326.0000, 95.0000, 3.0000, -326.0000, -96.0000, 3.0000, 0, 0, 0
L -326.0000, 95.0000, 26.0000, -326.0000, -96.0000, 26.0000, 125, 125, 125
L -326.0000, -96.0000, 3.0000, -247.0000, -97.0000, 3.0000, 0, 0, 0
L -326.0000, -96.0000, 26.0000, -247.0000, -97.0000, 26.0000, 125, 125, 125
L -247.0000, -97.0000, 3.0000, -247.0000, -203.0000, 3.0000, 0, 0, 0
L -247.0000, -97.0000, 26.0000, -247.0000, -203.0000, 26.0000, 125, 125, 125
L -326.0000, -376.0000, 3.0000, -317.0000, -382.0000, 3.0000, 0, 0, 0
L -317.0000, -382.0000, 3.0000, -314.0000, -378.0000, 3.0000, 0, 0, 0
L -314.0000, -378.0000, 3.0000, -312.0000, -381.0000, 3.0000, 0, 0, 0
L -312.0000, -381.0000, 3.0000, -311.0000, -385.0000, 3.0000, 0, 0, 0
L -311.0000, -385.0000, 3.0000, -308.0000, -394.0000, 3.0000, 0, 0, 0
L -308.0000, -394.0000, 3.0000, -306.0000, -399.0000, 3.0000, 0, 0, 0
L -306.0000, -399.0000, 3.0000, -304.0000, -402.0000, 3.0000, 0, 0, 0
L -304.0000, -402.0000, 3.0000, -301.0000, -407.0000, 3.0000, 0, 0, 0
L -301.0000, -407.0000, 3.0000, -294.0000, -414.0000, 3.0000, 0, 0, 0
L -294.0000, -414.0000, 3.0000, -291.0000, -418.0000, 3.0000, 0, 0, 0
L -291.0000, -418.0000, 3.0000, -287.0000, -421.0000, 3.0000, 0, 0, 0
L -287.0000, -421.0000, 3.0000, -283.0000, -423.0000, 3.0000, 0, 0, 0
L -283.0000, -423.0000, 3.0000, -278.0000, -426.0000, 3.0000, 0, 0, 0
L -278.0000, -426.0000, 3.0000, -274.0000, -428.0000, 3.0000, 0, 0, 0
L -274.0000, -428.0000, 3.0000, -269.0000, -430.0000, 3.0000, 0, 0, 0
L -269.0000, -430.0000, 3.0000, -264.0000, -431.0000, 3.0000, 0, 0, 0
L -264.0000, -431.0000, 3.0000, -260.0000, -432.0000, 3.0000, 0, 0, 0
L -260.0000, -432.0000, 3.0000, -254.0000, -432.0000, 3.0000, 0, 0, 0
L -254.0000, -432.0000, 3.0000, -252.0000, -437.0000, 3.0000, 0, 0, 0
L -252.0000, -437.0000, 3.0000, -253.0000, -439.0000, 3.0000, 0, 0, 0
L -253.0000, -439.0000, 3.0000, -247.0000, -443.0000, 3.0000, 0, 0, 0
L -247.0000, -443.0000, 3.0000, -246.0000, -446.0000, 3.0000, 0, 0, 0
L -104.0000, -446.0000, 3.0000, -103.0000, -297.0000, 3.0000, 0, 0, 0
L -104.0000, -446.0000, 26.0000, -103.0000, -297.0000, 26.0000, 125, 125, 125
L -4.0000, -296.0000, 3.0000, -3.1433, -195.7701, 3.0000, 0, 0, 0
L -4.0000, -296.0000, 26.0000, -3.1433, -195.7701, 26.0000, 125, 125, 125
L -3.0000, -179.0000, 3.0000, 78.0000, -179.0000, 3.0000, 204, 51, 0
L 78.0000, -179.0000, 3.0000, 78.0000, -122.0000, 3.0000, 204, 51, 0
L 78.0000, -122.0000, 3.0000, -1.0000, -121.0000, 3.0000, 204, 51, 0
L -1.0000, -121.0000, 3.0000, -1.0000, -104.0000, 3.0000, 204, 51, 0
L -1.0000, -104.0000, 3.0000, -91.0000, -103.0000, 3.0000, 0, 0, 0
L -1.0000, -104.0000, 26.0000, -91.0000, -103.0000, 26.0000, 125, 125, 125
L -91.0000, -103.0000, 3.0000, -112.0000, -81.0000, 3.0000, 0, 0, 0
L -112.0000, -81.0000, 3.0000, -104.0000, -74.0000, 3.0000, 0, 0, 0
L -104.0000, -74.0000, 3.0000, -86.0000, -92.0000, 3.0000, 0, 0, 0
L -86.0000, -92.0000, 3.0000, -86.0000, -83.0000, 3.0000, 0, 0, 0
L -86.0000, -83.0000, 3.0000, -75.0000, -77.0000, 3.0000, 0, 0, 0
L -75.0000, -77.0000, 3.0000, -65.0000, -83.0000, 3.0000, 0, 0, 0
L -65.0000, -83.0000, 3.0000, -65.0000, -94.0000, 3.0000, 0, 0, 0
L -65.0000, -94.0000, 3.0000, -71.0000, -98.0000, 3.0000, 0, 0, 0
L -71.0000, -98.0000, 3.0000, 100.0000, -99.0000, 3.0000, 0, 0, 0
L 100.0000, -99.0000, 3.0000, 100.0000, -201.0000, 3.0000, 0, 0, 0
L 100.0000, -201.0000, 3.0000, 1.0000, -202.0000, 3.0000, 0, 0, 0
L 1.0000, -202.0000, 3.0000, 0.0000, -300.0000, 3.0000, 0, 0, 0
L -83.0000, 116.0000, 3.0000, -83.0000, 74.0000, 3.0000, 0, 0, 0
L 9.0000, 101.0000, 3.0000, 9.0000, 136.0000, 3.0000, 0, 0, 0
L 14.0000, 147.0000, 3.0000, -32.0000, 147.0000, 3.0000, 0, 0, 0
L -28.0000, 142.0000, 3.0000, 4.0000, 142.0000, 3.0000, 0, 0, 0
L -28.0000, 142.0000, 26.0000, 4.0000, 142.0000, 26.0000, 125, 125, 125
L 4.0000, 142.0000, 3.0000, 4.0000, 115.0000, 3.0000, 0, 0, 0
L 4.0000, 142.0000, 26.0000, 4.0000, 115.0000, 26.0000, 125, 125, 125
L -9.0000, 115.0000, 3.0000, -9.0000, 94.0000, 3.0000, 204, 51, 0
L -78.0000, 79.0000, 3.0000, -78.0000, 112.0000, 3.0000, 0, 0, 0
L -78.0000, 79.0000, 26.0000, -78.0000, 112.0000, 26.0000, 125, 125, 125
L -78.0000, 112.0000, 3.0000, -28.0000, 112.0000, 3.0000, 0, 0, 0
L -78.0000, 112.0000, 26.0000, -28.0000, 112.0000, 26.0000, 125, 125, 125
L -28.0000, 122.0000, 3.0000, -32.0000, 122.0000, 3.0000, 0, 0, 0
L 95.0000, 242.0000, 3.0000, 12.0000, 242.0000, 3.0000, 0, 0, 0
L 95.0000, 242.0000, 26.0000, 12.0000, 242.0000, 26.0000, 125, 125, 125
L 100.0000, 174.0000, 3.0000, 43.0000, 174.0000, 3.0000, 0, 0, 0
L 32.0000, 174.0000, 3.0000, 7.0000, 174.0000, 3.0000, 0, 0, 0
L 7.0000, 219.0000, 3.0000, 12.0000, 219.0000, 3.0000, 0, 0, 0
L 12.0000, 219.0000, 3.0000, 12.0000, 179.0000, 3.0000, 0, 0, 0
L 12.0000, 242.2992, 26.0000, 12.0000, 179.0000, 26.0000, 125, 125, 125
L 61.0000, 179.0000, 3.0000, 61.0000, 193.0000, 3.0000, 204, 51, 0
L 95.0000, 227.0000, 3.0000, 95.0000, 242.0000, 3.0000, 0, 0, 0
L 95.0000, 227.0000, 26.0000, 95.0000, 242.0000, 26.0000, 125, 125, 125
L 7.0000, -7.0000, 3.0000, -2.0000, -11.0000, 3.0000, 0, 0, 0
L -2.0000, -11.0000, 3.0000, -12.0000, -3.0000, 3.0000, 0, 0, 0
L -12.0000, -3.0000, 3.0000, -11.0000, 6.0000, 3.0000, 0, 0, 0
L -11.0000, 6.0000, 3.0000, -1.0000, 12.0000, 3.0000, 0, 0, 0
L -1.0000, 12.0000, 3.0000, 10.0000, 3.0000, 3.0000, 0, 0, 0
L 10.0000, 3.0000, 3.0000, 7.0000, -7.0000, 3.0000, 0, 0, 0
L -276.0000, -118.0000, 3.0000, -325.0000, -118.0000, 3.0000, 0, 0, 0
L -276.0000, -118.0000, 26.0000, -325.0000, -118.0000, 26.0000, 125, 125, 125
L -325.0000, -133.0000, 3.0000, -345.0000, -133.0000, 3.0000, 204, 51, 0
L -359.0000, -168.0000, 3.0000, -359.0000, -181.0000, 3.0000, 0, 0, 0
L -359.0000, -168.0000, 26.0000, -359.0000, -181.0000, 26.0000, 125, 125, 125
L -359.0000, -181.0000, 3.0000, -276.0000, -181.0000, 3.0000, 0, 0, 0
L -359.0000, -181.0000, 26.0000, -276.0000, -181.0000, 26.0000, 125, 125, 125
L -271.0000, -158.0000, 3.0000, -276.0000, -158.0000, 3.0000, 0, 0, 0
L -335.0000, 120.0000, 3.0000, -286.0000, 120.0000, 3.0000, 0, 0, 0
L -335.0000, 120.0000, 26.0000, -286.0000, 120.0000, 26.0000, 125, 125, 125
L -286.0000, 120.0000, 3.0000, -286.0000, 134.0000, 3.0000, 204, 51, 0
L -286.0000, 134.0000, 3.0000, -267.0000, 134.0000, 3.0000, 204, 51, 0
L -267.0000, 134.0000, 3.0000, -266.0000, 169.0000, 3.0000, 204, 51, 0
L -252.0000, 169.0000, 3.0000, -252.0000, 183.0000, 3.0000, 0, 0, 0
L -252.0000, 169.0000, 26.0000, -252.0000, 183.0000, 26.0000, 125, 125, 125
L -252.0000, 183.0000, 3.0000, -335.0000, 183.0000, 3.0000, 0, 0, 0
