P -900, -400, -259, 102, 0, 204, 2, Basement
P -900, -300, -7, 0, 0, 0, 2, First_Floor
P -900, -200, 129, 0, 204, 204, 2, Second_Floor
P -900, -100, 256, 0, 204, 0, 2, Third_Floor
L 128.0, -151.0, -225.0, 267.0, -150.0, -225.0, 178, 102, 255
L 267.0, 169.0, -225.0, 128.0, 169.0, -225.0, 178, 102, 255
L 128.0, 169.0, -225.0, 128.0, 190.0, -225.0, 178, 102, 255
L 128.0, 190.0, -225.0, 188.0, 190.0, -225.0, 178, 102, 255
L 188.0, 190.0, -225.0, 188.0, 261.0, -225.0, 178, 102, 255
L 76.0, 261.0, -225.0, 76.0, 227.0, -225.0, 150, 150, 150
L 170.0, -203.0, -222.0, 65.0, -203.0, -255.0, 150, 150, 150
L 65.0, -203.0, -255.0, 65.0, -240.0, -255.0, 150, 150, 150
L 170.0, -187.0, -225.0, 21.0, -187.0, -225.0, 150, 150, 150
L 21.0, -187.0, -225.0, 21.0, -3.0, -225.0, 150, 150, 150
L 14.0, 27.0, -254.0, -8.0, 27.0, -258.0, 150, 150, 150
L -8.0, 27.0, -258.0, -5.0, 27.0, -258.0, 150, 150, 150
L -5.0, 27.0, -258.0, -71.0, 27.0, -258.0, 150, 150, 150
L -71.0, 27.0, -258.0, -71.0, 23.0, -258.0, 150, 150, 150
L -71.0, 23.0, -258.0, 22.0, 23.0, -225.0, 150, 150, 150
L -274.0, 586.0, -258.0, -289.0, 586.0, -258.0, 102, 0, 204
L -289.0, 586.0, -258.0, -293.0, 591.0, -258.0, 102, 0, 204
L -293.0, 591.0, -258.0, -289.0, 604.0, -258.0, 102, 0, 204
L -289.0, 604.0, -258.0, -294.0, 615.0, -258.0, 102, 0, 204
L -294.0, 615.0, -258.0, -292.0, 642.0, -257.0, 102, 0, 204
L -292.0, 642.0, -257.0, -272.0, 661.0, -258.0, 102, 0, 204
L -272.0, 661.0, -258.0, -261.0, 664.0, -258.0, 102, 0, 204
L -261.0, 664.0, -258.0, -226.0, 661.0, -257.0, 102, 0, 204
L -226.0, 661.0, -257.0, -214.0, 650.0, -258.0, 102, 0, 204
L -214.0, 650.0, -258.0, -181.0, 672.0, -257.0, 102, 0, 204
L -181.0, 672.0, -257.0, -165.0, 686.0, -258.0, 102, 0, 204
L -165.0, 686.0, -258.0, -154.0, 714.0, -258.0, 102, 0, 204
L -154.0, 714.0, -258.0, -165.0, 741.0, -258.0, 102, 0, 204
L -165.0, 741.0, -258.0, -162.0, 758.0, -257.0, 102, 0, 204
L -162.0, 758.0, -257.0, -146.0, 775.0, -257.0, 102, 0, 204
L -146.0, 775.0, -257.0, -129.0, 780.0, -257.0, 102, 0, 204
L -129.0, 780.0, -257.0, -117.0, 776.0, -258.0, 102, 0, 204
L -117.0, 776.0, -258.0, -104.0, 780.0, -258.0, 102, 0, 204
L -104.0, 780.0, -258.0, -87.0, 762.0, -258.0, 102, 0, 204
L -87.0, 762.0, -258.0, -83.0, 749.0, -256.0, 102, 0, 204
L -83.0, 749.0, -256.0, -93.0, 730.0, -258.0, 102, 0, 204
L -93.0, 730.0, -258.0, -92.0, 717.0, -258.0, 102, 0, 204
L -92.0, 717.0, -258.0, -89.0, 701.0, -258.0, 102, 0, 204
L -89.0, 701.0, -258.0, -80.0, 690.0, -258.0, 102, 0, 204
L -80.0, 690.0, -258.0, -55.0, 680.0, -257.0, 102, 0, 204
L -55.0, 680.0, -257.0, -46.0, 688.0, -258.0, 102, 0, 204
L -46.0, 688.0, -258.0, -21.0, 691.0, -258.0, 102, 0, 204
L -21.0, 691.0, -258.0, -6.0, 684.0, -258.0, 102, 0, 204
L -6.0, 684.0, -258.0, 5.0, 694.0, -258.0, 102, 0, 204
L 5.0, 694.0, -258.0, 9.0, 708.0, -258.0, 102, 0, 204
L 9.0, 708.0, -258.0, 6.0, 719.0, -258.0, 102, 0, 204
L 6.0, 719.0, -258.0, 16.0, 751.0, -258.0, 102, 0, 204
L 16.0, 751.0, -258.0, 13.0, 762.0, -257.0, 102, 0, 204
L 13.0, 762.0, -257.0, 23.0, 793.0, -256.0, 102, 0, 204
L 23.0, 793.0, -256.0, 3.0, 820.0, -258.0, 102, 0, 204
L 3.0, 820.0, -258.0, -7.0, 849.0, -258.0, 102, 0, 204
L -7.0, 849.0, -258.0, -18.0, 860.0, -258.0, 102, 0, 204
L -18.0, 860.0, -258.0, -30.0, 864.0, -258.0, 102, 0, 204
L -30.0, 864.0, -258.0, -48.0, 871.0, -258.0, 102, 0, 204
L -48.0, 871.0, -258.0, -74.0, 860.0, -258.0, 102, 0, 204
L -74.0, 860.0, -258.0, -89.0, 864.0, -258.0, 102, 0, 204
L -89.0, 864.0, -258.0, -108.0, 881.0, -258.0, 102, 0, 204
L -108.0, 881.0, -258.0, -111.0, 894.0, -258.0, 102, 0, 204
L -111.0, 894.0, -258.0, -107.0, 907.0, -258.0, 102, 0, 204
L -107.0, 907.0, -258.0, -111.0, 920.0, -258.0, 102, 0, 204
L -111.0, 920.0, -258.0, -92.0, 937.0, -258.0, 102, 0, 204
L -92.0, 937.0, -258.0, -78.0, 941.0, -258.0, 102, 0, 204
L -78.0, 941.0, -258.0, -61.0, 932.0, -257.0, 102, 0, 204
L -61.0, 932.0, -257.0, -33.0, 935.0, -258.0, 102, 0, 204
L -33.0, 935.0, -258.0, -22.0, 946.0, -258.0, 102, 0, 204
L -22.0, 946.0, -258.0, -17.0, 960.0, -258.0, 102, 0, 204
L -17.0, 960.0, -258.0, -21.0, 970.0, -258.0, 102, 0, 204
L -21.0, 970.0, -258.0, -18.0, 1001.0, -258.0, 102, 0, 204
L -18.0, 1001.0, -258.0, -1.0, 1018.0, -258.0, 102, 0, 204
L -1.0, 1018.0, -258.0, 12.0, 1022.0, -258.0, 102, 0, 204
L 12.0, 1022.0, -258.0, 26.0, 1021.0, -258.0, 102, 0, 204
L 26.0, 1021.0, -258.0, 44.0, 1019.0, -258.0, 102, 0, 204
L 44.0, 1019.0, -258.0, 58.0, 1010.0, -258.0, 102, 0, 204
L 58.0, 1010.0, -258.0, 83.0, 1021.0, -258.0, 102, 0, 204
L 83.0, 1021.0, -258.0, 92.0, 1031.0, -258.0, 102, 0, 204
L 92.0, 1031.0, -258.0, 96.0, 1046.0, -258.0, 102, 0, 204
L 96.0, 1046.0, -258.0, 91.0, 1062.0, -258.0, 102, 0, 204
L 91.0, 1062.0, -258.0, 82.0, 1071.0, -258.0, 102, 0, 204
L 82.0, 1071.0, -258.0, 69.0, 1063.0, -258.0, 102, 0, 204
L 69.0, 1063.0, -258.0, 42.0, 1068.0, -258.0, 102, 0, 204
L 42.0, 1068.0, -258.0, 26.0, 1083.0, -258.0, 102, 0, 204
L 26.0, 1083.0, -258.0, 20.0, 1104.0, -258.0, 102, 0, 204
L 20.0, 1104.0, -258.0, 23.0, 1120.0, -258.0, 102, 0, 204
L 23.0, 1120.0, -258.0, 12.0, 1132.0, -258.0, 102, 0, 204
L 12.0, 1132.0, -258.0, -15.0, 1135.0, -257.0, 102, 0, 204
L -15.0, 1135.0, -257.0, -44.0, 1133.0, -258.0, 102, 0, 204
L -44.0, 1133.0, -258.0, -56.0, 1118.0, -258.0, 102, 0, 204
L -56.0, 1118.0, -258.0, -65.0, 1094.0, -258.0, 102, 0, 204
L -65.0, 1094.0, -258.0, -55.0, 1066.0, -258.0, 102, 0, 204
L -55.0, 1066.0, -258.0, -59.0, 1048.0, -258.0, 102, 0, 204
L -59.0, 1048.0, -258.0, -76.0, 1031.0, -258.0, 102, 0, 204
L -76.0, 1031.0, -258.0, -88.0, 1027.0, -258.0, 102, 0, 204
L -88.0, 1027.0, -258.0, -101.0, 1031.0, -258.0, 102, 0, 204
L -101.0, 1031.0, -258.0, -115.0, 1028.0, -258.0, 102, 0, 204
L -115.0, 1028.0, -258.0, -132.0, 1044.0, -258.0, 102, 0, 204
L -132.0, 1044.0, -258.0, -135.0, 1061.0, -258.0, 102, 0, 204
L -135.0, 1061.0, -258.0, -127.0, 1079.0, -258.0, 102, 0, 204
L -127.0, 1079.0, -258.0, -130.0, 1104.0, -258.0, 102, 0, 204
L -130.0, 1104.0, -258.0, -126.0, 1119.0, -258.0, 102, 0, 204
L -126.0, 1119.0, -258.0, -130.0, 1133.0, -258.0, 102, 0, 204
L -130.0, 1133.0, -258.0, -126.0, 1145.0, -258.0, 102, 0, 204
L -126.0, 1145.0, -258.0, -119.0, 1151.0, -258.0, 102, 0, 204
L -119.0, 1151.0, -258.0, -109.0, 1163.0, -258.0, 102, 0, 204
L -109.0, 1163.0, -258.0, -93.0, 1169.0, -258.0, 102, 0, 204
L -93.0, 1169.0, -258.0, -78.0, 1174.0, -258.0, 102, 0, 204
L -78.0, 1174.0, -258.0, -65.0, 1170.0, -257.0, 102, 0, 204
L -65.0, 1170.0, -257.0, -37.0, 1173.0, -258.0, 102, 0, 204
L -37.0, 1173.0, -258.0, -27.0, 1181.0, -257.0, 102, 0, 204
L -27.0, 1181.0, -257.0, 0.0, 1171.0, -258.0, 102, 0, 204
L 0.0, 1171.0, -258.0, 14.0, 1174.0, -258.0, 102, 0, 204
L 14.0, 1174.0, -258.0, 46.0, 1161.0, -258.0, 102, 0, 204
L 46.0, 1161.0, -258.0, 62.0, 1144.0, -258.0, 102, 0, 204
L 62.0, 1144.0, -258.0, 67.0, 1134.0, -257.0, 102, 0, 204
L 67.0, 1134.0, -257.0, 62.0, 1118.0, -258.0, 102, 0, 204
L 62.0, 1118.0, -258.0, 68.0, 1105.0, -257.0, 102, 0, 204
L 68.0, 1105.0, -257.0, 80.0, 1095.0, -257.0, 102, 0, 204
L 80.0, 1095.0, -257.0, 91.0, 1102.0, -257.0, 102, 0, 204
L 91.0, 1102.0, -257.0, 104.0, 1103.0, -258.0, 102, 0, 204
L 104.0, 1103.0, -258.0, 126.0, 1105.0, -258.0, 102, 0, 204
L 126.0, 1105.0, -258.0, 140.0, 1099.0, -258.0, 102, 0, 204
L 140.0, 1099.0, -258.0, 154.0, 1087.0, -258.0, 102, 0, 204
L 154.0, 1087.0, -258.0, 156.0, 1066.0, -258.0, 102, 0, 204
L 156.0, 1066.0, -258.0, 158.0, 1058.0, -258.0, 102, 0, 204
L 158.0, 1058.0, -258.0, 155.0, 1046.0, -258.0, 102, 0, 204
L 155.0, 1046.0, -258.0, 161.0, 1028.0, -258.0, 102, 0, 204
L 161.0, 1028.0, -258.0, 170.0, 1018.0, -258.0, 102, 0, 204
L 170.0, 1018.0, -258.0, 183.0, 1014.0, -258.0, 102, 0, 204
L 183.0, 1014.0, -258.0, 194.0, 1009.0, -258.0, 102, 0, 204
L 194.0, 1009.0, -258.0, 199.0, 1015.0, -258.0, 102, 0, 204
L 199.0, 1015.0, -258.0, 207.0, 1019.0, -258.0, 102, 0, 204
L 207.0, 1019.0, -258.0, 217.0, 1020.0, -258.0, 102, 0, 204
L 217.0, 1020.0, -258.0, 228.0, 1022.0, -258.0, 102, 0, 204
L 228.0, 1022.0, -258.0, 234.0, 1024.0, -258.0, 102, 0, 204
L 234.0, 1024.0, -258.0, 240.0, 1029.0, -258.0, 102, 0, 204
L 240.0, 1029.0, -258.0, 256.0, 1025.0, -258.0, 102, 0, 204
L 256.0, 1025.0, -258.0, 266.0, 1019.0, -258.0, 102, 0, 204
L 266.0, 1019.0, -258.0, 279.0, 1006.0, -258.0, 102, 0, 204
L 279.0, 1006.0, -258.0, 291.0, 995.0, -258.0, 102, 0, 204
L 291.0, 995.0, -258.0, 298.0, 987.0, -258.0, 102, 0, 204
L 298.0, 987.0, -258.0, 311.0, 982.0, -258.0, 102, 0, 204
L 311.0, 982.0, -258.0, 321.0, 977.0, -258.0, 102, 0, 204
L 321.0, 977.0, -258.0, 324.0, 974.0, -258.0, 102, 0, 204
L 324.0, 974.0, -258.0, 329.0, 977.0, -257.0, 102, 0, 204
L 329.0, 977.0, -257.0, 351.0, 986.0, -258.0, 102, 0, 204
L 351.0, 986.0, -258.0, 366.0, 982.0, -258.0, 102, 0, 204
L 366.0, 982.0, -258.0, 376.0, 974.0, -258.0, 102, 0, 204
L 376.0, 974.0, -258.0, 382.0, 967.0, -258.0, 102, 0, 204
L 382.0, 967.0, -258.0, 391.0, 955.0, -258.0, 102, 0, 204
L 391.0, 955.0, -258.0, 393.0, 950.0, -258.0, 102, 0, 204
L 392.0, 951.0, -258.0, 405.0, 951.0, -258.0, 102, 0, 204
L 405.0, 951.0, -258.0, 413.0, 965.0, -258.0, 102, 0, 204
L 413.0, 965.0, -258.0, 421.0, 969.0, -258.0, 102, 0, 204
L 421.0, 969.0, -258.0, 433.0, 972.0, -258.0, 102, 0, 204
L 433.0, 972.0, -258.0, 442.0, 969.0, -258.0, 102, 0, 204
L 442.0, 969.0, -258.0, 445.0, 965.0, -258.0, 102, 0, 204
L 445.0, 965.0, -258.0, 447.0, 958.0, -258.0, 102, 0, 204
L 447.0, 958.0, -258.0, 444.0, 944.0, -258.0, 102, 0, 204
L 449.0, 935.0, -254.0, 452.0, 933.0, -254.0, 102, 0, 204
L 452.0, 933.0, -254.0, 457.0, 919.0, -257.0, 102, 0, 204
L 457.0, 919.0, -257.0, 457.0, 906.0, -254.0, 102, 0, 204
L 457.0, 906.0, -254.0, 465.0, 899.0, -253.0, 102, 0, 204
L 465.0, 899.0, -253.0, 471.0, 896.0, -253.0, 102, 0, 204
L 471.0, 896.0, -253.0, 484.0, 892.0, -258.0, 102, 0, 204
L 484.0, 892.0, -258.0, 498.0, 898.0, -253.0, 102, 0, 204
L 498.0, 898.0, -253.0, 512.0, 901.0, -255.0, 102, 0, 204
L 512.0, 901.0, -255.0, 521.0, 889.0, -258.0, 102, 0, 204
L 521.0, 889.0, -258.0, 518.0, 881.0, -258.0, 102, 0, 204
L -250.0, 585.0, -258.0, -234.0, 586.0, -258.0, 102, 0, 204
L -234.0, 586.0, -258.0, -230.0, 591.0, -258.0, 102, 0, 204
L -230.0, 591.0, -258.0, -232.0, 609.0, -258.0, 102, 0, 204
L -232.0, 609.0, -258.0, -229.0, 626.0, -258.0, 102, 0, 204
L -229.0, 626.0, -258.0, -217.0, 627.0, -258.0, 102, 0, 204
L -217.0, 627.0, -258.0, -204.0, 621.0, -258.0, 102, 0, 204
L -204.0, 621.0, -258.0, -190.0, 621.0, -254.0, 102, 0, 204
L -190.0, 621.0, -254.0, -177.0, 628.0, -258.0, 102, 0, 204
L -177.0, 628.0, -258.0, -168.0, 633.0, -257.0, 102, 0, 204
L -168.0, 633.0, -257.0, -133.0, 634.0, -256.0, 102, 0, 204
L -133.0, 634.0, -256.0, -114.0, 638.0, -258.0, 102, 0, 204
L -114.0, 638.0, -258.0, -99.0, 626.0, -256.0, 102, 0, 204
L -99.0, 626.0, -256.0, -95.0, 627.0, -256.0, 102, 0, 204
L -95.0, 627.0, -256.0, -82.0, 631.0, -254.0, 102, 0, 204
L -82.0, 631.0, -254.0, -70.0, 632.0, -258.0, 102, 0, 204
L -70.0, 632.0, -258.0, -63.0, 642.0, -258.0, 102, 0, 204
L -63.0, 642.0, -258.0, -48.0, 647.0, -257.0, 102, 0, 204
L -48.0, 647.0, -257.0, -32.0, 647.0, -258.0, 102, 0, 204
L -32.0, 647.0, -258.0, -18.0, 654.0, -255.0, 102, 0, 204
L -18.0, 654.0, -255.0, -5.0, 659.0, -258.0, 102, 0, 204
L -5.0, 659.0, -258.0, 12.0, 655.0, -258.0, 102, 0, 204
L 12.0, 655.0, -258.0, 23.0, 652.0, -258.0, 102, 0, 204
L 23.0, 652.0, -258.0, 38.0, 652.0, -258.0, 102, 0, 204
L 38.0, 652.0, -258.0, 55.0, 658.0, -258.0, 102, 0, 204
L 55.0, 658.0, -258.0, 69.0, 669.0, -258.0, 102, 0, 204
L 69.0, 669.0, -258.0, 66.0, 686.0, -258.0, 102, 0, 204
L 66.0, 686.0, -258.0, 75.0, 704.0, -258.0, 102, 0, 204
L 75.0, 704.0, -258.0, 89.0, 712.0, -258.0, 102, 0, 204
L 89.0, 712.0, -258.0, 110.0, 712.0, -258.0, 102, 0, 204
L 110.0, 712.0, -258.0, 134.0, 703.0, -258.0, 102, 0, 204
L 134.0, 703.0, -258.0, 160.0, 721.0, -258.0, 102, 0, 204
L 160.0, 721.0, -258.0, 156.0, 730.0, -258.0, 102, 0, 204
L 156.0, 730.0, -258.0, 160.0, 742.0, -258.0, 102, 0, 204
L 160.0, 742.0, -258.0, 158.0, 752.0, -258.0, 102, 0, 204
L 158.0, 752.0, -258.0, 152.0, 771.0, -257.0, 102, 0, 204
L 152.0, 771.0, -257.0, 143.0, 776.0, -258.0, 102, 0, 204
L 143.0, 776.0, -258.0, 126.0, 773.0, -258.0, 102, 0, 204
L 126.0, 773.0, -258.0, 112.0, 769.0, -258.0, 102, 0, 204
L 112.0, 769.0, -258.0, 100.0, 771.0, -258.0, 102, 0, 204
L 100.0, 771.0, -258.0, 76.0, 780.0, -258.0, 102, 0, 204
L 76.0, 780.0, -258.0, 61.0, 788.0, -258.0, 102, 0, 204
L 61.0, 788.0, -258.0, 55.0, 808.0, -258.0, 102, 0, 204
L 55.0, 808.0, -258.0, 53.0, 822.0, -257.0, 102, 0, 204
L 53.0, 822.0, -257.0, 50.0, 835.0, -258.0, 102, 0, 204
L 50.0, 835.0, -258.0, 46.0, 844.0, -256.0, 102, 0, 204
L 46.0, 844.0, -256.0, 34.0, 857.0, -258.0, 102, 0, 204
L 34.0, 857.0, -258.0, 28.0, 868.0, -258.0, 102, 0, 204
L 28.0, 868.0, -258.0, 25.0, 882.0, -258.0, 102, 0, 204
L 25.0, 882.0, -258.0, 14.0, 899.0, -258.0, 102, 0, 204
L 14.0, 899.0, -258.0, 13.0, 904.0, -258.0, 102, 0, 204
L 13.0, 904.0, -258.0, 17.0, 914.0, -258.0, 102, 0, 204
L 17.0, 914.0, -258.0, 27.0, 932.0, -258.0, 102, 0, 204
L 27.0, 932.0, -258.0, 29.0, 944.0, -258.0, 102, 0, 204
L 29.0, 944.0, -258.0, 28.0, 954.0, -258.0, 102, 0, 204
L 28.0, 954.0, -258.0, 38.0, 963.0, -258.0, 102, 0, 204
L 38.0, 963.0, -258.0, 40.0, 974.0, -258.0, 102, 0, 204
L 40.0, 974.0, -258.0, 46.0, 981.0, -258.0, 102, 0, 204
L 46.0, 981.0, -258.0, 50.0, 986.0, -258.0, 102, 0, 204
L 50.0, 986.0, -258.0, 54.0, 985.0, -258.0, 102, 0, 204
L 54.0, 985.0, -258.0, 66.0, 980.0, -258.0, 102, 0, 204
L 66.0, 980.0, -258.0, 82.0, 983.0, -258.0, 102, 0, 204
L 82.0, 983.0, -258.0, 104.0, 993.0, -258.0, 102, 0, 204
L 104.0, 993.0, -258.0, 124.0, 997.0, -258.0, 102, 0, 204
L 124.0, 997.0, -258.0, 127.0, 998.0, -258.0, 102, 0, 204
L 127.0, 998.0, -258.0, 135.0, 990.0, -258.0, 102, 0, 204
L 135.0, 990.0, -258.0, 144.0, 976.0, -258.0, 102, 0, 204
L 144.0, 976.0, -258.0, 146.0, 969.0, -258.0, 102, 0, 204
L 146.0, 969.0, -258.0, 144.0, 957.0, -254.0, 102, 0, 204
L 144.0, 957.0, -254.0, 136.0, 945.0, -258.0, 102, 0, 204
L 136.0, 945.0, -258.0, 137.0, 935.0, -258.0, 102, 0, 204
L 137.0, 935.0, -258.0, 143.0, 922.0, -258.0, 102, 0, 204
L 143.0, 922.0, -258.0, 155.0, 906.0, -258.0, 102, 0, 204
L 155.0, 906.0, -258.0, 168.0, 910.0, -258.0, 102, 0, 204
L 168.0, 910.0, -258.0, 181.0, 907.0, -258.0, 102, 0, 204
L 181.0, 907.0, -258.0, 195.0, 909.0, -258.0, 102, 0, 204
L 195.0, 909.0, -258.0, 205.0, 920.0, -258.0, 102, 0, 204
L 205.0, 920.0, -258.0, 214.0, 925.0, -258.0, 102, 0, 204
L 214.0, 925.0, -258.0, 217.0, 934.0, -257.0, 102, 0, 204
L 217.0, 934.0, -257.0, 216.0, 946.0, -258.0, 102, 0, 204
L 216.0, 946.0, -258.0, 208.0, 962.0, -258.0, 102, 0, 204
L 208.0, 962.0, -258.0, 207.0, 971.0, -258.0, 102, 0, 204
L 207.0, 971.0, -258.0, 213.0, 980.0, -258.0, 102, 0, 204
L 213.0, 980.0, -258.0, 223.0, 985.0, -258.0, 102, 0, 204
L 223.0, 985.0, -258.0, 230.0, 986.0, -258.0, 102, 0, 204
L 230.0, 986.0, -258.0, 253.0, 983.0, -256.0, 102, 0, 204
L 253.0, 983.0, -256.0, 260.0, 974.0, -256.0, 102, 0, 204
L 260.0, 974.0, -256.0, 262.0, 959.0, -257.0, 102, 0, 204
L 262.0, 959.0, -257.0, 262.0, 949.0, -258.0, 102, 0, 204
L 262.0, 949.0, -258.0, 266.0, 924.0, -258.0, 102, 0, 204
L 266.0, 924.0, -258.0, 280.0, 909.0, -258.0, 102, 0, 204
L 280.0, 909.0, -258.0, 299.0, 903.0, -257.0, 102, 0, 204
L 299.0, 903.0, -257.0, 312.0, 911.0, -258.0, 102, 0, 204
L 312.0, 911.0, -258.0, 323.0, 915.0, -258.0, 102, 0, 204
L 323.0, 915.0, -258.0, 336.0, 914.0, -258.0, 102, 0, 204
L 336.0, 914.0, -258.0, 356.0, 905.0, -258.0, 102, 0, 204
L 356.0, 905.0, -258.0, 362.0, 907.0, -258.0, 102, 0, 204
L 362.0, 907.0, -258.0, 373.0, 910.0, -258.0, 102, 0, 204
L 373.0, 910.0, -258.0, 375.0, 914.0, -258.0, 102, 0, 204
L 375.0, 914.0, -258.0, 388.0, 925.0, -258.0, 102, 0, 204
L 388.0, 925.0, -258.0, 393.0, 939.0, -258.0, 102, 0, 204
L 393.0, 939.0, -258.0, 406.0, 938.0, -257.0, 102, 0, 204
L 406.0, 938.0, -257.0, 409.0, 935.0, -258.0, 102, 0, 204
L 409.0, 935.0, -258.0, 419.0, 923.0, -258.0, 102, 0, 204
L 419.0, 923.0, -258.0, 428.0, 929.0, -258.0, 102, 0, 204
L 428.0, 929.0, -258.0, 437.0, 921.0, -258.0, 102, 0, 204
L 437.0, 921.0, -258.0, 437.0, 907.0, -257.0, 102, 0, 204
L 437.0, 907.0, -257.0, 439.0, 899.0, -254.0, 102, 0, 204
L 439.0, 899.0, -254.0, 440.0, 891.0, -254.0, 102, 0, 204
L 440.0, 891.0, -254.0, 449.0, 879.0, -258.0, 102, 0, 204
L 449.0, 879.0, -258.0, 453.0, 875.0, -258.0, 102, 0, 204
L 453.0, 875.0, -258.0, 462.0, 875.0, -257.0, 102, 0, 204
