P -400, 2600, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P -400, 2800, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -400, 3000, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -400, 3200, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 1199.2, -772.7, -308.9, 1269.0, -696.9, -307.8, 0, 0, 0
L 1269.0, -696.9, -307.8, 1270.8, -691.4, -304.2, 0, 0, 0
L 1270.8, -691.4, -304.2, 1271.4, -617.8, -324.7, 0, 0, 0
L 1271.4, -617.8, -324.7, 1367.2, -617.3, -326.2, 0, 0, 0
L 1367.2, -617.3, -326.2, 1465.6, -617.5, -374.2, 0, 0, 0
L 1465.6, -617.5, -374.2, 1511.6, -626.5, -373.9, 0, 0, 0
L 1511.6, -626.5, -373.9, 1546.9, -626.7, -373.6, 0, 0, 0
L 1546.9, -626.7, -373.6, 1595.3, -615.9, -374.2, 0, 0, 0
L 1595.3, -615.9, -374.2, 1595.3, -605.5, -383.8, 0, 0, 0
L 1595.3, -605.5, -383.8, 1595.3, -581.2, -383.2, 0, 0, 0
L 1595.3, -581.2, -383.2, 1595.3, -572.1, -374.2, 0, 0, 0
L 1595.3, -572.1, -374.2, 1548.0, -563.4, -373.5, 0, 0, 0
L 1548.0, -563.4, -373.5, 1512.0, -563.3, -373.8, 0, 0, 0
L 1512.0, -563.3, -373.8, 1472.6, -571.9, -374.2, 0, 0, 0
L 1472.6, -571.9, -374.2, 1467.7, -573.0, -374.3, 0, 0, 0
L 1467.7, -573.0, -374.3, 1323.7, -573.3, -327.6, 0, 0, 0
L 1323.7, -573.3, -327.6, 1271.3, -573.7, -325.8, 0, 0, 0
L 1271.3, -573.7, -325.8, 1271.3, -565.5, -307.0, 0, 0, 0
L 1271.3, -565.5, -307.0, 1271.2, -554.4, -307.3, 0, 0, 0
L 1271.2, -554.4, -307.3, 1199.7, -475.9, -308.9, 0, 0, 0
L 1199.7, -475.9, -308.9, 1180.0, -474.9, -324.6, 0, 0, 0
L 1180.0, -474.9, -324.6, 1179.7, -377.7, -326.3, 0, 0, 0
L 1179.7, -377.7, -326.3, 1180.4, -278.6, -372.5, 0, 0, 0
L 1180.4, -278.6, -372.5, 1189.5, -232.5, -373.7, 0, 0, 0
L 1189.5, -232.5, -373.7, 1189.2, -198.6, -373.6, 0, 0, 0
L 1189.2, -198.6, -373.6, 1178.4, -151.0, -374.2, 0, 0, 0
L 1178.4, -151.0, -374.2, 1168.0, -151.0, -383.8, 0, 0, 0
L 1168.0, -151.0, -383.8, 1145.3, -151.0, -383.8, 0, 0, 0
L 1145.3, -151.0, -383.8, 1134.7, -151.0, -374.2, 0, 0, 0
L 1134.7, -151.0, -374.2, 1125.9, -197.9, -373.5, 0, 0, 0
L 1125.9, -197.9, -373.5, 1125.6, -234.3, -373.8, 0, 0, 0
L 1125.6, -234.3, -373.8, 1135.5, -277.8, -367.4, 0, 0, 0
L 1135.5, -277.8, -367.4, 1135.6, -381.3, -326.2, 0, 0, 0
L 1135.6, -381.3, -326.2, 1135.5, -475.0, -326.6, 0, 0, 0
L 1135.5, -475.0, -326.6, 1127.9, -475.0, -307.2, 0, 0, 0
L 1127.9, -475.0, -307.2, 1056.3, -476.4, -308.7, 0, 0, 0
L 1056.3, -476.4, -308.7, 980.2, -547.4, -307.8, 0, 0, 0
L 980.2, -547.4, -307.8, 932.0, -517.2, -311.7, 0, 0, 0
L 932.0, -517.2, -311.7, 882.9, -480.7, -284.2, 0, 0, 0
L 882.9, -480.7, -284.2, 836.6, -465.9, -279.1, 0, 0, 0
L 836.6, -465.9, -279.1, 787.5, -433.6, -283.8, 0, 0, 0
L 787.5, -433.6, -283.8, 739.7, -420.7, -253.0, 0, 0, 0
L 739.7, -420.7, -253.0, 689.4, -409.7, -236.5, 0, 0, 0
L 689.4, -409.7, -236.5, 643.8, -409.4, -243.7, 0, 0, 0
L 643.8, -409.4, -243.7, 596.3, -409.7, -237.7, 0, 0, 0
L 596.3, -409.7, -237.7, 596.3, -380.9, -237.5, 0, 0, 0
L 596.3, -380.9, -237.5, 594.6, -379.4, -239.6, 0, 0, 0
L 594.6, -379.4, -239.6, 596.3, -185.8, -226.5, 0, 0, 0
L 596.3, -185.8, -226.5, 595.5, -183.5, -220.8, 0, 0, 0
L 595.5, -183.5, -220.8, 578.4, -165.8, -182.8, 0, 0, 0
L 578.4, -165.8, -182.8, 549.4, -142.5, -152.9, 0, 0, 0
L 549.4, -142.5, -152.9, 546.1, -137.1, -149.0, 0, 0, 0
L 546.1, -137.1, -149.0, 550.4, -94.9, -142.7, 0, 0, 0
L 550.4, -94.9, -142.7, 550.1, -66.5, -132.0, 0, 0, 0
L 550.1, -66.5, -132.0, 548.2, -60.6, -132.2, 0, 0, 0
L 548.2, -60.6, -132.2, 542.7, -41.6, -129.8, 0, 0, 0
L 542.7, -41.6, -129.8, 549.2, -34.9, -135.5, 0, 0, 0
L 549.2, -34.9, -135.5, 564.6, -30.4, -139.6, 0, 0, 0
L 564.6, -30.4, -139.6, 576.9, -22.2, -152.9, 0, 0, 0
L 576.9, -22.2, -152.9, 588.6, -20.7, -158.6, 0, 0, 0
L 588.6, -20.7, -158.6, 602.6, -21.7, -163.2, 0, 0, 0
L 602.6, -21.7, -163.2, 612.1, -21.3, -169.5, 0, 0, 0
L 612.1, -21.3, -169.5, 626.5, -10.8, -181.1, 0, 0, 0
L 626.5, -10.8, -181.1, 637.0, -3.6, -189.1, 0, 0, 0
L 637.0, -3.6, -189.1, 646.3, 1.9, -196.5, 0, 0, 0
L 646.3, 1.9, -196.5, 647.3, 2.5, -197.7, 0, 0, 0
L 647.3, 2.5, -197.7, 675.2, 24.4, -238.5, 0, 0, 0
L 675.2, 24.4, -238.5, 719.4, 133.1, -210.1, 0, 0, 0
L 719.4, 133.1, -210.1, 730.4, 158.5, -213.8, 0, 0, 0
L 730.4, 158.5, -213.8, 726.9, 164.9, -205.8, 0, 0, 0
L 726.9, 164.9, -205.8, 727.6, 180.2, -198.0, 0, 0, 0
L 727.6, 180.2, -198.0, 728.2, 193.9, -189.6, 0, 0, 0
L 728.2, 193.9, -189.6, 719.7, 203.0, -195.6, 0, 0, 0
L 719.7, 203.0, -195.6, 712.4, 220.7, -212.0, 0, 0, 0
L 712.4, 220.7, -212.0, 695.6, 232.4, -210.3, 0, 0, 0
L 695.6, 232.4, -210.3, 617.9, 285.9, -238.7, 0, 0, 0
L 617.9, 285.9, -238.7, 461.7, 395.3, -226.9, 0, 0, 0
L 461.7, 395.3, -226.9, 414.3, 395.3, -225.7, 0, 0, 0
L 416.8, 402.6, -224.7, 410.5, 397.8, -225.1, 0, 0, 0
L 410.5, 397.8, -225.1, 406.4, 393.3, -227.3, 0, 0, 0
L 406.4, 393.3, -227.3, 393.5, 398.2, -230.2, 0, 0, 0
L 393.5, 398.2, -230.2, 393.4, 416.1, -236.8, 0, 0, 0
L 393.4, 416.1, -236.8, 403.1, 430.3, -234.0, 0, 0, 0
L 403.1, 430.3, -234.0, 408.7, 425.6, -228.1, 0, 0, 0
L 408.7, 425.6, -228.1, 416.8, 419.0, -223.7, 0, 0, 0
L 416.8, 419.0, -223.7, 420.7, 427.3, -230.2, 0, 0, 0
L 420.7, 427.3, -230.2, 411.8, 491.9, -237.3, 0, 0, 0
L 411.8, 491.9, -237.3, 404.5, 539.3, -243.6, 0, 0, 0
L 404.5, 539.3, -243.6, 394.2, 588.1, -236.7, 0, 0, 0
L 394.2, 588.1, -236.6, 419.5, 637.3, -244.4, 0, 0, 0
L 419.5, 637.3, -244.4, 441.6, 683.3, -236.9, 0, 0, 0
L 441.6, 683.3, -236.9, 484.1, 731.3, -255.7, 0, 0, 0
L 484.1, 731.3, -255.7, 526.9, 780.5, -260.9, 0, 0, 0
L 526.9, 780.5, -260.9, 580.4, 876.8, -261.1, 0, 0, 0
L 580.4, 876.8, -261.1, 616.0, 911.4, -266.4, 0, 0, 0
L 616.0, 911.4, -266.4, 613.0, 911.3, -269.9, 0, 0, 0
L 613.0, 909.5, -269.9, 609.5, 909.5, -272.6, 0, 0, 0
L 609.5, 909.5, -272.6, 609.6, 923.0, -272.8, 0, 0, 0
L 609.5, 911.3, -272.9, 592.7, 911.3, -284.5, 0, 0, 0
L 592.7, 926.5, -285.0, 592.7, 925.0, -284.9, 0, 0, 0
L 592.7, 909.5, -284.3, 589.3, 909.5, -284.6, 0, 0, 0
L 589.3, 926.5, -284.5, 589.3, 925.0, -284.5, 0, 0, 0
L 589.3, 911.3, -284.5, 571.0, 911.3, -285.2, 0, 0, 0
L 567.5, 926.5, -281.8, 567.5, 924.8, -282.2, 0, 0, 0
L 571.0, 909.5, -285.6, 567.5, 909.5, -285.6, 0, 0, 0
L 567.5, 911.3, -285.7, 567.5, 909.5, -285.7, 0, 0, 0
L 567.5, 911.3, -285.7, 550.7, 911.3, -284.4, 0, 0, 0
L 550.7, 926.5, -284.4, 550.7, 925.0, -284.4, 0, 0, 0
L 550.7, 909.5, -284.4, 547.3, 909.5, -284.5, 0, 0, 0
L 547.3, 926.5, -284.5, 547.3, 911.3, -284.5, 0, 0, 0
L 547.3, 911.3, -284.5, 529.0, 911.3, -286.3, 0, 0, 0
L 529.0, 909.5, -286.3, 524.3, 909.5, -287.8, 0, 0, 0
L 524.3, 909.5, -287.8, 524.3, 926.5, -287.8, 0, 0, 0
L 524.3, 926.5, -287.8, 529.0, 926.5, -286.3, 0, 0, 0
L 529.0, 926.5, -286.3, 529.0, 925.0, -286.3, 0, 0, 0
L 529.0, 925.0, -286.3, 529.0, 909.5, -286.3, 0, 0, 0
L 529.0, 925.0, -286.3, 537.9, 925.0, -286.3, 0, 0, 0
L 550.7, 925.0, -284.4, 567.5, 924.8, -282.2, 0, 0, 0
L 567.5, 926.5, -281.8, 571.0, 926.5, -281.8, 0, 0, 0
L 570.7, 925.0, -281.8, 589.3, 925.0, -284.5, 0, 0, 0
L 589.3, 926.5, -284.5, 592.7, 926.5, -285.0, 0, 0, 0
L 592.7, 925.0, -284.9, 609.6, 923.0, -272.8, 0, 0, 0
L 613.0, 922.8, -270.2, 629.6, 925.0, -265.4, 0, 0, 0
L 625.3, 920.4, -265.4, 652.0, 948.7, -260.7, 0, 0, 0
L 652.0, 948.7, -260.7, 649.2, 996.5, -275.2, 0, 0, 0
L 649.2, 996.5, -275.2, 652.0, 1044.3, -260.9, 0, 0, 0
L 652.0, 1044.3, -260.9, 678.3, 1088.5, -256.9, 0, 0, 0
L 678.3, 1088.5, -256.9, 700.9, 1130.5, -260.4, 0, 0, 0
L 765.5, 1112.8, -270.6, 765.5, 1116.2, -275.8, 0, 0, 0
L 765.5, 1133.1, -287.1, 765.5, 1136.4, -286.3, 0, 0, 0
L 765.5, 1153.3, -284.4, 765.5, 1156.7, -284.5, 0, 0, 0
L 765.5, 1180.0, -287.8, 782.5, 1180.0, -287.8, 0, 0, 0
L 782.5, 1180.0, -287.8, 782.5, 1175.3, -286.4, 0, 0, 0
L 765.5, 1175.3, -286.3, 765.5, 1180.0, -287.8, 0, 0, 0
L 782.5, 1175.3, -286.4, 765.5, 1175.3, -286.3, 0, 0, 0
L 765.5, 1156.7, -284.5, 767.3, 1156.7, -284.5, 0, 0, 0
L 782.5, 1156.7, -284.5, 782.5, 1153.3, -284.4, 0, 0, 0
L 765.5, 1153.3, -284.4, 767.1, 1153.3, -284.4, 0, 0, 0
L 765.5, 1136.4, -286.3, 781.0, 1136.5, -286.3, 0, 0, 0
L 782.5, 1136.5, -286.3, 782.5, 1133.2, -286.3, 0, 0, 0
L 782.5, 1133.2, -286.3, 765.5, 1133.1, -287.1, 0, 0, 0
L 782.5, 1116.2, -275.8, 782.5, 1112.8, -270.8, 0, 0, 0
L 765.5, 1116.2, -275.8, 767.1, 1116.2, -275.8, 0, 0, 0
L 782.5, 1112.8, -270.8, 780.8, 1112.8, -270.8, 0, 0, 0
L 739.9, 1118.4, -258.2, 766.9, 1109.1, -259.4, 0, 0, 0
L 793.9, 1099.8, -260.5, 915.2, 1099.9, -270.5, 0, 0, 0
L 915.2, 1099.9, -270.5, 1019.3, 1128.7, -270.9, 0, 0, 0
L 1019.3, 1128.7, -270.9, 1019.3, 1169.9, -285.4, 0, 0, 0
L 1019.3, 1169.9, -285.4, 1019.3, 1224.1, -271.1, 0, 0, 0
L 1019.3, 1224.1, -271.1, 1031.2, 1272.6, -279.3, 0, 0, 0
L 1031.2, 1272.6, -279.3, 1042.0, 1320.2, -260.8, 0, 0, 0
L 1042.0, 1320.2, -260.9, 1042.7, 1357.0, -258.8, 0, 0, 0
L 1042.7, 1357.0, -258.8, 1033.7, 1355.3, -271.6, 0, 0, 0
L 1033.7, 1370.5, -271.6, 1033.7, 1369.0, -271.6, 0, 0, 0
L 1033.7, 1353.5, -271.7, 1030.3, 1353.5, -275.8, 0, 0, 0
L 1030.3, 1353.5, -275.8, 1030.3, 1355.3, -275.8, 0, 0, 0
L 1030.3, 1355.3, -275.8, 1030.3, 1369.0, -275.8, 0, 0, 0
L 1030.3, 1355.3, -275.8, 1012.0, 1355.3, -286.3, 0, 0, 0
L 1011.9, 1370.5, -286.3, 1012.0, 1353.5, -286.3, 0, 0, 0
L 1012.0, 1353.5, -286.3, 1008.5, 1353.5, -286.4, 0, 0, 0
L 1008.5, 1353.5, -286.4, 1008.6, 1370.5, -286.3, 0, 0, 0
L 1008.5, 1355.3, -286.3, 991.7, 1355.4, -284.4, 0, 0, 0
L 991.7, 1370.5, -284.4, 991.7, 1369.0, -284.4, 0, 0, 0
L 991.7, 1353.5, -284.4, 988.3, 1353.5, -284.5, 0, 0, 0
L 988.3, 1353.5, -284.5, 988.3, 1355.3, -284.5, 0, 0, 0
L 988.3, 1355.3, -284.5, 988.3, 1369.0, -284.5, 0, 0, 0
L 988.3, 1355.3, -284.5, 970.0, 1355.3, -285.2, 0, 0, 0
L 970.0, 1370.5, -285.2, 970.0, 1369.0, -285.2, 0, 0, 0
L 970.0, 1353.5, -285.2, 966.5, 1353.5, -284.9, 0, 0, 0
L 966.5, 1353.5, -284.7, 966.5, 1355.3, -284.7, 0, 0, 0
L 966.5, 1355.3, -284.7, 966.6, 1368.9, -284.7, 0, 0, 0
L 966.5, 1355.3, -284.7, 949.7, 1355.3, -283.2, 0, 0, 0
L 949.7, 1370.5, -283.2, 949.7, 1369.0, -283.2, 0, 0, 0
L 949.7, 1353.5, -283.2, 946.3, 1353.5, -283.2, 0, 0, 0
L 946.3, 1353.5, -283.2, 946.3, 1355.3, -283.2, 0, 0, 0
L 946.3, 1355.3, -283.2, 946.3, 1369.0, -283.2, 0, 0, 0
L 946.3, 1355.3, -283.2, 928.0, 1355.3, -284.2, 0, 0, 0
L 928.0, 1370.5, -284.9, 928.0, 1369.0, -284.8, 0, 0, 0
L 928.0, 1353.5, -284.2, 923.3, 1353.5, -284.3, 0, 0, 0
L 923.3, 1353.5, -284.2, 923.3, 1370.5, -285.1, 0, 0, 0
L 923.3, 1370.5, -285.1, 928.0, 1370.5, -284.9, 0, 0, 0
L 928.0, 1369.0, -284.8, 946.3, 1369.0, -283.2, 0, 0, 0
L 946.3, 1370.5, -283.2, 949.7, 1370.5, -283.2, 0, 0, 0
L 949.7, 1369.0, -283.2, 966.6, 1368.9, -284.7, 0, 0, 0
L 966.6, 1370.5, -284.7, 970.0, 1370.5, -285.2, 0, 0, 0
L 988.3, 1369.0, -284.5, 988.3, 1370.5, -284.5, 0, 0, 0
L 970.0, 1369.0, -285.2, 988.3, 1369.0, -284.5, 0, 0, 0
L 988.3, 1370.5, -284.5, 991.7, 1370.5, -284.4, 0, 0, 0
L 991.7, 1369.0, -284.4, 991.7, 1355.4, -284.4, 0, 0, 0
L 991.7, 1369.0, -284.4, 1008.5, 1369.0, -286.3, 0, 0, 0
L 1008.6, 1370.5, -286.3, 1011.9, 1370.5, -286.3, 0, 0, 0
L 1030.3, 1369.0, -275.8, 1030.3, 1370.5, -275.8, 0, 0, 0
L 1012.0, 1369.0, -286.3, 1030.3, 1369.0, -275.8, 0, 0, 0
L 1030.3, 1370.5, -275.8, 1033.7, 1370.5, -271.6, 0, 0, 0
L 1033.7, 1369.0, -271.6, 1043.0, 1368.8, -258.1, 0, 0, 0
L 1043.3, 1386.7, -257.4, 1042.3, 1463.7, -258.7, 0, 0, 0
L 1042.3, 1463.7, -260.6, 1002.0, 1535.1, -275.1, 0, 0, 0
L 1002.0, 1535.1, -275.1, 967.2, 1607.4, -260.9, 0, 0, 0
L 967.2, 1607.4, -260.9, 952.3, 1691.3, -275.7, 0, 0, 0
L 952.3, 1691.3, -275.7, 947.5, 1691.3, -275.8, 0, 0, 0
L 947.5, 1706.5, -275.8, 947.5, 1705.0, -275.8, 0, 0, 0
L 947.5, 1689.5, -275.8, 944.3, 1689.5, -275.8, 0, 0, 0
L 944.3, 1689.5, -275.8, 944.7, 1705.6, -275.8, 0, 0, 0
L 944.3, 1691.3, -275.8, 937.0, 1691.3, -282.7, 0, 0, 0
L 937.0, 1691.3, -282.7, 937.0, 1644.5, -287.6, 0, 0, 0
L 937.0, 1644.5, -287.8, 901.3, 1644.5, -287.8, 0, 0, 0
L 901.3, 1644.5, -287.8, 901.3, 1672.0, -287.8, 0, 0, 0
L 901.3, 1672.0, -287.8, 905.5, 1672.0, -287.8, 0, 0, 0
L 905.5, 1672.0, -287.8, 905.5, 1648.7, -287.8, 0, 0, 0
L 905.5, 1648.7, -287.8, 932.3, 1648.7, -287.8, 0, 0, 0
L 932.3, 1648.7, -287.8, 932.3, 1687.3, -284.7, 0, 0, 0
L 932.3, 1687.3, -284.7, 927.2, 1687.3, -285.1, 0, 0, 0
L 906.1, 1706.5, -286.6, 906.2, 1680.5, -286.9, 0, 0, 0
L 906.2, 1680.5, -286.9, 900.5, 1680.5, -287.8, 0, 0, 0
L 900.5, 1680.5, -287.8, 900.5, 1706.5, -287.8, 0, 0, 0
L 900.5, 1706.5, -287.7, 906.1, 1706.5, -286.5, 0, 0, 0
L 906.1, 1705.0, -286.8, 923.8, 1705.0, -284.5, 0, 0, 0
L 923.8, 1687.3, -285.3, 923.8, 1705.1, -284.5, 0, 0, 0
L 923.8, 1705.1, -284.5, 923.8, 1706.5, -284.5, 0, 0, 0
L 923.8, 1706.5, -284.5, 927.2, 1706.5, -284.4, 0, 0, 0
L 927.2, 1706.5, -284.4, 927.2, 1705.0, -284.4, 0, 0, 0
L 927.2, 1705.0, -284.4, 927.2, 1687.3, -285.1, 0, 0, 0
L 927.2, 1705.0, -284.4, 944.7, 1705.6, -275.8, 0, 0, 0
L 944.7, 1706.5, -275.8, 947.5, 1706.5, -275.8, 0, 0, 0
L 947.5, 1705.0, -275.8, 947.5, 1689.5, -275.8, 0, 0, 0
L 947.5, 1705.0, -275.8, 952.1, 1705.0, -274.8, 0, 0, 0
L 952.1, 1705.0, -274.8, 943.2, 1775.6, -260.8, 0, 0, 0
L 943.2, 1775.6, -260.8, 1012.7, 1897.6, -260.8, 0, 0, 0
L 1012.7, 1897.6, -260.8, 1028.4, 1957.2, -267.4, 0, 0, 0
L 1028.4, 1957.2, -267.4, 1051.4, 2015.5, -285.0, 0, 0, 0
L 1051.4, 2015.5, -285.0, 1044.5, 2015.3, -307.4, 0, 0, 0
L 1028.4, 2104.0, -310.9, 1028.3, 2045.9, -311.7, 0, 0, 255
L 1041.8, 2148.2, -310.9, 1038.2, 2152.6, -310.9, 0, 0, 255
L 1038.2, 2152.6, -310.9, 1049.5, 2177.9, -310.9, 0, 0, 255
L 1049.5, 2177.9, -310.9, 1061.4, 2183.3, -311.3, 0, 0, 255
L 1061.4, 2183.3, -311.3, 1072.9, 2207.9, -311.3, 0, 0, 255
L 1072.9, 2207.9, -311.3, 1073.1, 2280.9, -311.3, 0, 0, 255
L 1073.1, 2280.9, -311.3, 1082.3, 2298.8, -311.3, 0, 0, 255
L 1082.3, 2298.8, -311.3, 1090.8, 2304.4, -311.3, 0, 0, 255
L 1090.8, 2304.4, -311.3, 1130.4, 2311.4, -311.3, 0, 0, 255
L 1130.4, 2311.4, -311.3, 1150.5, 2311.0, -311.3, 0, 0, 255
L 1150.5, 2311.0, -311.8, 1150.2, 2345.3, -311.8, 199, 21, 133
L 1150.2, 2345.3, -311.8, 1083.7, 2342.0, -311.8, 0, 0, 255
L 1083.2, 2342.5, -311.8, 1035.9, 2321.3, -311.8, 0, 0, 255
L 1035.9, 2321.3, -311.8, 1033.0, 2280.2, -311.8, 0, 0, 255
L 1033.0, 2280.2, -311.8, 1033.0, 2207.8, -311.8, 0, 0, 255
L 1033.0, 2207.8, -311.8, 988.0, 2111.8, -311.8, 0, 0, 255
L 988.0, 2111.8, -311.8, 988.0, 2050.5, -310.2, 0, 0, 255
L 988.0, 2050.5, -310.2, 976.9, 2022.7, -298.3, 0, 0, 0
L 976.9, 2022.7, -298.3, 972.8, 2015.5, -298.4, 0, 0, 0
L 972.8, 2015.5, -298.4, 963.8, 2015.1, -285.3, 0, 0, 0
L 963.8, 2015.1, -285.3, 894.5, 1872.3, -261.2, 0, 0, 0
L 988.0, 2028.4, -309.6, 984.8, 2024.9, -308.7, 0, 0, 255
L 984.8, 2024.9, -308.7, 988.5, 2015.9, -311.0, 0, 0, 255
L 988.5, 2015.9, -311.0, 982.9, 2003.6, -308.4, 0, 0, 255
L 982.9, 2003.6, -308.4, 979.6, 2000.3, -308.3, 0, 0, 255
L 979.6, 2000.3, -308.3, 984.1, 2000.8, -308.7, 0, 0, 255
L 984.1, 2000.8, -308.7, 990.1, 2005.8, -308.9, 0, 0, 255
L 990.1, 2005.8, -308.9, 1002.4, 2005.8, -309.2, 0, 0, 255
L 1002.4, 2005.8, -309.2, 1001.9, 2001.4, -308.8, 0, 0, 255
L 1001.9, 2001.4, -308.8, 1005.7, 1997.5, -308.8, 0, 0, 255
L 1005.7, 1997.5, -308.8, 1016.7, 1998.3, -308.8, 0, 0, 255
L 1016.7, 1998.3, -308.8, 1020.4, 2000.7, -308.8, 0, 0, 255
L 1020.4, 2000.7, -308.8, 1024.6, 2000.4, -308.7, 0, 0, 255
L 1024.6, 2000.4, -308.7, 1044.5, 2015.3, -307.4, 0, 0, 255
L 1044.5, 2015.3, -307.4, 1037.5, 2022.9, -309.7, 0, 0, 255
L 1037.5, 2022.9, -309.7, 1031.5, 2030.3, -310.9, 0, 0, 255
L 1031.5, 2030.3, -310.9, 1028.3, 2045.9, -310.9, 0, 0, 255
L 1028.4, 2104.0, -311.6, 1041.5, 2148.2, -311.8, 0, 0, 255
L 894.5, 1872.3, -261.2, 839.2, 1776.2, -260.8, 0, 0, 0
L 839.2, 1776.2, -260.8, 826.6, 1706.4, -248.2, 0, 0, 0
L 826.6, 1706.4, -248.2, 812.1, 1638.2, -260.8, 0, 0, 0
L 812.1, 1638.2, -260.8, 782.7, 1590.3, -275.1, 0, 0, 0
L 782.7, 1590.3, -275.1, 746.9, 1541.8, -260.7, 0, 0, 0
L 746.9, 1541.8, -260.7, 753.2, 1488.9, -248.2, 0, 0, 0
L 753.2, 1488.9, -248.2, 759.0, 1434.2, -260.8, 0, 0, 0
L 759.0, 1434.2, -260.8, 775.0, 1380.2, -248.6, 0, 0, 0
L 775.0, 1380.2, -248.6, 776.8, 1372.6, -250.3, 0, 0, 0
L 788.1, 1325.9, -260.9, 781.5, 1322.4, -260.7, 0, 0, 0
L 781.5, 1322.4, -260.7, 781.0, 1309.0, -275.8, 0, 0, 0
L 765.5, 1309.0, -275.8, 767.3, 1309.0, -275.8, 0, 0, 0
L 782.5, 1309.0, -275.8, 782.5, 1305.5, -275.8, 0, 0, 0
L 782.5, 1305.5, -275.8, 781.0, 1305.5, -275.8, 0, 0, 0
L 781.0, 1305.5, -275.8, 767.3, 1305.5, -275.8, 0, 0, 0
L 781.0, 1305.5, -275.8, 781.0, 1288.7, -275.8, 0, 0, 0
L 765.5, 1288.7, -275.8, 767.3, 1288.7, -275.8, 0, 0, 0
L 782.5, 1288.7, -275.8, 782.5, 1285.3, -275.8, 0, 0, 0
L 782.5, 1285.3, -275.8, 781.0, 1285.3, -275.8, 0, 0, 0
L 781.0, 1285.3, -275.8, 767.3, 1285.3, -275.8, 0, 0, 0
L 781.0, 1285.3, -275.8, 781.0, 1267.0, -275.8, 0, 0, 0
L 765.5, 1266.9, -275.8, 768.1, 1266.9, -275.8, 0, 0, 0
L 782.5, 1267.0, -275.8, 782.5, 1263.9, -280.4, 0, 0, 0
L 479.3, 927.2, -286.7, 460.7, 927.2, -285.4, 0, 0, 0
L 479.3, 934.0, -286.6, 484.0, 934.0, -287.0, 0, 0, 0
L 484.0, 909.5, -287.3, 479.3, 909.5, -286.8, 0, 0, 0
L 484.0, 909.5, -287.2, 484.0, 934.0, -287.0, 0, 0, 0
L 479.3, 911.3, -286.8, 460.7, 911.3, -284.5, 0, 0, 0
L 460.7, 927.2, -285.4, 460.7, 909.5, -284.5, 0, 0, 0
L 460.7, 909.5, -284.5, 457.3, 909.5, -284.4, 0, 0, 0
L 457.3, 909.5, -284.4, 457.3, 911.3, -284.4, 0, 0, 0
L 457.3, 911.3, -284.4, 457.3, 927.2, -285.0, 0, 0, 0
L 457.3, 911.3, -284.4, 440.5, 911.3, -274.7, 0, 0, 0
L 440.5, 909.5, -274.7, 437.6, 909.5, -269.5, 0, 0, 0
L 437.5, 913.0, -269.5, 433.9, 887.4, -260.7, 0, 0, 0
L 433.9, 887.4, -260.7, 422.9, 780.6, -260.7, 0, 0, 0
