P 0, 300, 0, 0, 0, 0, 2, Original_Map:_Goodurden_<RoI>
P 0, 500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule/Fennin_Ro)
P 0, 700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P 0, 1100, 0, 0, 0, 0, 2, Height_Filter:_12/13
P 100, -550, 51, 0, 127, 0, 2, 4th_Floor
P 100, -525, 43, 0, 255, 255, 2, 3rd_Floor
P 100, -500, 16, 0, 255, 0, 2, 2nd_Floor
P 100, -475, 2, 0, 0, 0, 2, 1st_Floor
P 100, -450, -16, 127, 0, 0, 2, Basement
L 118.0, -320.0, 0.0, 99.0, -320.0, 0.0, 0, 127, 0
L 99.0, -320.0, 0.0, 99.0, -308.0, 0.0, 0, 127, 0
L 99.0, -308.0, 0.0, 200.0, -308.0, 0.0, 0, 127, 0
L 200.0, -308.0, 0.0, 280.0, -389.0, 0.0, 0, 127, 0
L 280.0, -389.0, 0.0, 280.0, -400.0, 0.0, 0, 127, 0
L 280.0, -400.0, 0.0, 59.0, -400.0, 0.0, 0, 127, 0
L 59.0, -400.0, 0.0, 59.0, -388.0, 0.0, 0, 127, 0
L 59.0, -388.0, 0.0, 69.0, -388.0, 0.0, 0, 127, 0
L 69.0, -388.0, 0.0, 69.0, -368.0, 0.0, 0, 127, 0
L 69.0, -368.0, 0.0, 80.0, -368.0, 0.0, 0, 127, 0
L 80.0, -368.0, 0.0, 80.0, -388.0, 0.0, 0, 127, 0
L 80.0, -388.0, 0.0, 128.0, -388.0, 0.0, 0, 127, 0
L 128.0, -388.0, 0.0, 128.0, -360.0, 0.0, 0, 127, 0
L 128.0, -360.0, 0.0, 110.0, -360.0, 0.0, 0, 127, 0
L 110.0, -360.0, 0.0, 110.0, -368.0, 0.0, 0, 127, 0
L 110.0, -368.0, 0.0, 120.0, -368.0, 0.0, 0, 127, 0
L 120.0, -368.0, 0.0, 120.0, -380.0, 0.0, 0, 127, 0
L 120.0, -380.0, 0.0, 89.0, -380.0, 0.0, 0, 127, 0
L 89.0, -368.0, 0.0, 99.0, -368.0, 0.0, 0, 127, 0
L 99.0, -368.0, 0.0, 99.0, -348.0, 0.0, 0, 127, 0
L 99.0, -348.0, 0.0, 140.0, -348.0, 0.0, 0, 127, 0
L 140.0, -348.0, 0.0, 140.0, -388.0, 0.0, 0, 127, 0
L 140.0, -388.0, 0.0, 168.0, -388.0, 0.0, 0, 127, 0
L 168.0, -388.0, 0.0, 168.0, -368.0, 0.0, 0, 127, 0
L 168.0, -368.0, 0.0, 180.0, -368.0, 0.0, 0, 127, 0
L 180.0, -368.0, 0.0, 180.0, -388.0, 0.0, 0, 127, 0
L 180.0, -388.0, 0.0, 188.0, -388.0, 0.0, 0, 127, 0
L 188.0, -388.0, 0.0, 188.0, -338.0, 0.0, 0, 127, 0
L 188.0, -338.0, 0.0, 200.0, -338.0, 0.0, 0, 127, 0
L 200.0, -338.0, 0.0, 200.0, -358.0, 0.0, 0, 127, 0
L 200.0, -358.0, 0.0, 220.0, -358.0, 0.0, 0, 127, 0
L 220.0, -358.0, 0.0, 220.0, -370.0, 0.0, 0, 127, 0
L 220.0, -370.0, 0.0, 201.0, -370.0, 0.0, 0, 127, 0
L 201.0, -370.0, 0.0, 200.0, -388.0, 0.0, 0, 127, 0
L 200.0, -388.0, 0.0, 208.0, -388.0, 0.0, 0, 127, 0
L 208.0, -388.0, 0.0, 208.0, -378.0, 0.0, 0, 127, 0
L 208.0, -378.0, 0.0, 220.0, -378.0, 0.0, 0, 127, 0
L 220.0, -378.0, 0.0, 220.0, -388.0, 0.0, 0, 127, 0
L 220.0, -388.0, 0.0, 267.0, -388.0, 0.0, 0, 127, 0
L 267.0, -388.0, 0.0, 220.0, -342.0, 0.0, 0, 127, 0
L 220.0, -342.0, 0.0, 220.0, -350.0, 0.0, 0, 127, 0
L 220.0, -350.0, 0.0, 208.0, -350.0, 0.0, 0, 127, 0
L 208.0, -350.0, 0.0, 208.0, -330.0, 0.0, 0, 127, 0
L 208.0, -330.0, 0.0, 188.0, -330.0, 0.0, 0, 127, 0
L 188.0, -330.0, 0.0, 188.0, -320.0, 0.0, 0, 127, 0
L 188.0, -320.0, 0.0, 160.0, -320.0, 0.0, 0, 127, 0
L 160.0, -320.0, 0.0, 160.0, -348.0, 0.0, 0, 127, 0
L 160.0, -348.0, 0.0, 168.0, -348.0, 0.0, 0, 127, 0
L 168.0, -348.0, 0.0, 168.0, -328.0, 0.0, 0, 127, 0
L 168.0, -328.0, 0.0, 180.0, -328.0, 0.0, 0, 127, 0
L 180.0, -328.0, 0.0, 180.0, -360.0, 0.0, 0, 127, 0
L 180.0, -360.0, 0.0, 160.0, -360.0, 0.0, 0, 127, 0
L 160.0, -360.0, 0.0, 160.0, -380.0, 0.0, 0, 127, 0
L 160.0, -380.0, 0.0, 148.0, -380.0, 0.0, 0, 127, 0
L 148.0, -380.0, 0.0, 148.0, -340.0, 0.0, 0, 127, 0
L 148.0, -340.0, 0.0, 138.0, -340.0, 0.0, 0, 127, 0
L 138.0, -340.0, 0.0, 138.0, -328.0, 0.0, 0, 127, 0
L 138.0, -328.0, 0.0, 148.0, -328.0, 0.0, 0, 127, 0
L 148.0, -328.0, 0.0, 148.0, -320.0, 0.0, 0, 127, 0
L 148.0, -320.0, 0.0, 130.0, -320.0, 0.0, 0, 127, 0
L 130.0, -320.0, 0.0, 130.0, -340.0, 0.0, 0, 127, 0
L 130.0, -340.0, 0.0, 118.0, -340.0, 0.0, 0, 127, 0
L 118.0, -340.0, 0.0, 118.0, -320.0, 0.0, 0, 127, 0
L 89.0, -368.0, 0.0, 89.0, -380.0, 0.0, 0, 127, 0
L 50.0, -348.0, 0.0, 50.0, -360.0, 0.0, 0, 127, 0
L 50.0, -360.0, 0.0, 30.0, -360.0, 0.0, 0, 127, 0
L 30.0, -360.0, 0.0, 30.0, -370.0, 0.0, 0, 127, 0
L 30.0, -370.0, 0.0, 19.0, -370.0, 0.0, 0, 127, 0
L 19.0, -370.0, 0.0, 19.0, -328.0, 0.0, 0, 127, 0
L 19.0, -328.0, 0.0, 40.0, -328.0, 0.0, 0, 127, 0
L 40.0, -328.0, 0.0, 40.0, -340.0, 0.0, 0, 127, 0
L 40.0, -340.0, 0.0, 30.0, -340.0, 0.0, 0, 127, 0
L 30.0, -340.0, 0.0, 30.0, -348.0, 0.0, 0, 127, 0
L 30.0, -348.0, 0.0, 50.0, -348.0, 0.0, 0, 127, 0
L 19.0, -378.0, 0.0, 19.0, -400.0, 0.0, 0, 127, 0
L 19.0, -400.0, 0.0, 30.0, -400.0, 0.0, 0, 127, 0
L 30.0, -400.0, 0.0, 30.0, -390.0, 0.0, 0, 127, 0
L 30.0, -390.0, 0.0, 50.0, -390.0, 0.0, 0, 127, 0
L 50.0, -380.0, 0.0, 60.0, -380.0, 0.0, 0, 127, 0
L 60.0, -368.0, 0.0, 60.0, -380.0, 0.0, 0, 127, 0
L 60.0, -368.0, 0.0, 39.0, -368.0, 0.0, 0, 127, 0
L 39.0, -378.0, 0.0, 19.0, -378.0, 0.0, 0, 127, 0
L 39.0, -378.0, 0.0, 39.0, -368.0, 0.0, 0, 127, 0
L 50.0, -380.0, 0.0, 50.0, -390.0, 0.0, 0, 127, 0
L -19.0, -400.0, 0.0, -19.0, -358.0, 0.0, 0, 127, 0
L -19.0, -358.0, 0.0, -30.0, -358.0, 0.0, 0, 127, 0
L -30.0, -358.0, 0.0, -30.0, -368.0, 0.0, 0, 127, 0
L -30.0, -368.0, 0.0, -40.0, -368.0, 0.0, 0, 127, 0
L -40.0, -368.0, 0.0, -40.0, -380.0, 0.0, 0, 127, 0
L -40.0, -380.0, 0.0, -30.0, -380.0, 0.0, 0, 127, 0
L -30.0, -380.0, 0.0, -30.0, -388.0, 0.0, 0, 127, 0
L -30.0, -388.0, 0.0, -48.0, -388.0, 0.0, 0, 127, 0
L -48.0, -388.0, 0.0, -49.0, -368.0, 0.0, 0, 127, 0
L -49.0, -368.0, 0.0, -69.0, -368.0, 0.0, 0, 127, 0
L -69.0, -368.0, 0.0, -69.0, -328.0, 0.0, 0, 127, 0
L -69.0, -328.0, 0.0, -90.0, -328.0, 0.0, 0, 127, 0
L -90.0, -340.0, 0.0, -80.0, -340.0, 0.0, 0, 127, 0
L -80.0, -340.0, 0.0, -80.0, -380.0, 0.0, 0, 127, 0
L -80.0, -380.0, 0.0, -61.0, -380.0, 0.0, 0, 127, 0
L -60.0, -400.0, 0.0, -19.0, -400.0, 0.0, 0, 127, 0
L -60.0, -380.0, 0.0, -60.0, -400.0, 0.0, 0, 127, 0
L -38.0, -350.0, 0.0, -39.0, -360.0, 0.0, 0, 127, 0
L -39.0, -360.0, 0.0, -60.0, -360.0, 0.0, 0, 127, 0
L -60.0, -360.0, 0.0, -60.0, -338.0, 0.0, 0, 127, 0
L -90.0, -328.0, 0.0, -90.0, -340.0, 0.0, 0, 127, 0
L -60.0, -308.0, 0.0, -60.0, -330.0, 0.0, 0, 127, 0
L -60.0, -330.0, 0.0, -49.0, -330.0, 0.0, 0, 127, 0
L -49.0, -320.0, 0.0, -49.0, -330.0, 0.0, 0, 127, 0
L -49.0, -320.0, 0.0, -19.0, -320.0, 0.0, 0, 127, 0
L -19.0, -320.0, 0.0, -19.0, -308.0, 0.0, 0, 127, 0
L -19.0, -308.0, 0.0, -60.0, -308.0, 0.0, 0, 127, 0
L -60.0, -338.0, 0.0, -40.0, -338.0, 0.0, 0, 127, 0
L -40.0, -338.0, 0.0, -40.0, -328.0, 0.0, 0, 127, 0
L -40.0, -328.0, 0.0, -19.0, -328.0, 0.0, 0, 127, 0
L -19.0, -328.0, 0.0, -19.0, -350.0, 0.0, 0, 127, 0
L -19.0, -350.0, 0.0, -39.0, -350.0, 0.0, 0, 127, 0
L -68.0, -320.0, 0.0, -99.0, -320.0, 0.0, 0, 127, 0
L -99.0, -320.0, 0.0, -98.0, -340.0, 0.0, 0, 127, 0
L -98.0, -340.0, 0.0, -120.0, -340.0, 0.0, 0, 127, 0
L -120.0, -340.0, 0.0, -120.0, -328.0, 0.0, 0, 127, 0
L -120.0, -328.0, 0.0, -110.0, -328.0, 0.0, 0, 127, 0
L -110.0, -328.0, 0.0, -110.0, -308.0, 0.0, 0, 127, 0
L -110.0, -308.0, 0.0, -69.0, -308.0, 0.0, 0, 127, 0
L -69.0, -308.0, 0.0, -68.0, -320.0, 0.0, 0, 127, 0
L -89.0, -348.0, 0.0, -130.0, -348.0, 0.0, 0, 127, 0
L -130.0, -348.0, 0.0, -130.0, -358.0, 0.0, 0, 127, 0
L -130.0, -358.0, 0.0, -140.0, -358.0, 0.0, 0, 127, 0
L -140.0, -358.0, 0.0, -140.0, -370.0, 0.0, 0, 127, 0
L -140.0, -370.0, 0.0, -130.0, -370.0, 0.0, 0, 127, 0
L -130.0, -370.0, 0.0, -130.0, -380.0, 0.0, 0, 127, 0
L -130.0, -380.0, 0.0, -120.0, -380.0, 0.0, 0, 127, 0
L -120.0, -380.0, 0.0, -120.0, -388.0, 0.0, 0, 127, 0
L -120.0, -388.0, 0.0, -138.0, -388.0, 0.0, 0, 127, 0
L -138.0, -388.0, 0.0, -138.0, -378.0, 0.0, 0, 127, 0
L -138.0, -378.0, 0.0, -150.0, -378.0, 0.0, 0, 127, 0
L -150.0, -378.0, 0.0, -150.0, -400.0, 0.0, 0, 127, 0
L -150.0, -400.0, 0.0, -99.0, -400.0, 0.0, 0, 127, 0
L -99.0, -400.0, 0.0, -99.0, -390.0, 0.0, 0, 127, 0
L -99.0, -390.0, 0.0, -90.0, -390.0, 0.0, 0, 127, 0
L -90.0, -390.0, 0.0, -90.0, -400.0, 0.0, 0, 127, 0
L -90.0, -400.0, 0.0, -69.0, -400.0, 0.0, 0, 127, 0
L -69.0, -400.0, 0.0, -69.0, -388.0, 0.0, 0, 127, 0
L -69.0, -388.0, 0.0, -89.0, -388.0, 0.0, 0, 127, 0
L -89.0, -388.0, 0.0, -89.0, -368.0, 0.0, 0, 127, 0
L -89.0, -368.0, 0.0, -100.0, -368.0, 0.0, 0, 127, 0
L -100.0, -368.0, 0.0, -100.0, -378.0, 0.0, 0, 127, 0
L -100.0, -378.0, 0.0, -118.0, -378.0, 0.0, 0, 127, 0
L -118.0, -378.0, 0.0, -118.0, -360.0, 0.0, 0, 127, 0
L -118.0, -360.0, 0.0, -89.0, -360.0, 0.0, 0, 127, 0
L -89.0, -360.0, 0.0, -89.0, -348.0, 0.0, 0, 127, 0
L -128.0, -340.0, 0.0, -141.0, -340.0, 0.0, 0, 127, 0
L -141.0, -340.0, 0.0, -140.0, -330.0, 0.0, 0, 127, 0
L -141.0, -330.0, 0.0, -160.0, -330.0, 0.0, 0, 127, 0
L -160.0, -330.0, 0.0, -160.0, -318.0, 0.0, 0, 127, 0
L -160.0, -318.0, 0.0, -141.0, -318.0, 0.0, 0, 127, 0
L -140.0, -318.0, 0.0, -140.0, -308.0, 0.0, 0, 127, 0
L -118.0, -308.0, 0.0, -140.0, -308.0, 0.0, 0, 127, 0
L -118.0, -308.0, 0.0, -118.0, -320.0, 0.0, 0, 127, 0
L -118.0, -320.0, 0.0, -128.0, -320.0, 0.0, 0, 127, 0
L -128.0, -320.0, 0.0, -128.0, -340.0, 0.0, 0, 127, 0
L -148.0, -338.0, 0.0, -148.0, -370.0, 0.0, 0, 127, 0
L -148.0, -370.0, 0.0, -160.0, -370.0, 0.0, 0, 127, 0
L -160.0, -370.0, 0.0, -160.0, -350.0, 0.0, 0, 127, 0
L -160.0, -350.0, 0.0, -188.0, -350.0, 0.0, 0, 127, 0
L -188.0, -350.0, 0.0, -188.0, -370.0, 0.0, 0, 127, 0
L -188.0, -370.0, 0.0, -200.0, -370.0, 0.0, 0, 127, 0
L -200.0, -370.0, 0.0, -200.0, -328.0, 0.0, 0, 127, 0
L -200.0, -328.0, 0.0, -188.0, -328.0, 0.0, 0, 127, 0
L -188.0, -328.0, 0.0, -188.0, -338.0, 0.0, 0, 127, 0
L -188.0, -338.0, 0.0, -180.0, -338.0, 0.0, 0, 127, 0
L -180.0, -338.0, 0.0, -180.0, -320.0, 0.0, 0, 127, 0
L -180.0, -320.0, 0.0, -208.0, -320.0, 0.0, 0, 127, 0
L -208.0, -320.0, 0.0, -208.0, -340.0, 0.0, 0, 127, 0
L -230.0, -340.0, 0.0, -208.0, -340.0, 0.0, 0, 127, 0
L -230.0, -340.0, 0.0, -230.0, -328.0, 0.0, 0, 127, 0
L -230.0, -328.0, 0.0, -220.0, -328.0, 0.0, 0, 127, 0
L -220.0, -328.0, 0.0, -220.0, -318.0, 0.0, 0, 127, 0
L -220.0, -318.0, 0.0, -210.0, -318.0, 0.0, 0, 127, 0
L -210.0, -318.0, 0.0, -210.0, -308.0, 0.0, 0, 127, 0
L -210.0, -308.0, 0.0, -168.0, -308.0, 0.0, 0, 127, 0
L -168.0, -308.0, 0.0, -168.0, -338.0, 0.0, 0, 127, 0
L -168.0, -338.0, 0.0, -148.0, -338.0, 0.0, 0, 127, 0
L -228.0, -348.0, 0.0, -250.0, -348.0, 0.0, 0, 127, 0
L -250.0, -348.0, 0.0, -250.0, -380.0, 0.0, 0, 127, 0
L -250.0, -380.0, 0.0, -238.0, -380.0, 0.0, 0, 127, 0
L -238.0, -380.0, 0.0, -238.0, -360.0, 0.0, 0, 127, 0
L -238.0, -360.0, 0.0, -228.0, -360.0, 0.0, 0, 127, 0
L -228.0, -360.0, 0.0, -228.0, -348.0, 0.0, 0, 127, 0
L -230.0, -388.0, 0.0, -258.0, -388.0, 0.0, 0, 127, 0
L -258.0, -388.0, 0.0, -258.0, -378.0, 0.0, 0, 127, 0
L -258.0, -378.0, 0.0, -270.0, -378.0, 0.0, 0, 127, 0
L -270.0, -378.0, 0.0, -270.0, -388.0, 0.0, 0, 127, 0
L -270.0, -388.0, 0.0, -280.0, -388.0, 0.0, 0, 127, 0
L -280.0, -388.0, 0.0, -280.0, -400.0, 0.0, 0, 127, 0
L -280.0, -400.0, 0.0, -228.0, -400.0, 0.0, 0, 127, 0
L -228.0, -400.0, 0.0, -228.0, -390.0, 0.0, 0, 127, 0
L -228.0, -390.0, 0.0, -220.0, -390.0, 0.0, 0, 127, 0
L -220.0, -390.0, 0.0, -220.0, -400.0, 0.0, 0, 127, 0
L -220.0, -400.0, 0.0, -178.0, -400.0, 0.0, 0, 127, 0
L -178.0, -400.0, 0.0, -178.0, -390.0, 0.0, 0, 127, 0
L -178.0, -390.0, 0.0, -158.0, -390.0, 0.0, 0, 127, 0
L -158.0, -390.0, 0.0, -158.0, -378.0, 0.0, 0, 127, 0
L -158.0, -378.0, 0.0, -168.0, -378.0, 0.0, 0, 127, 0
L -168.0, -378.0, 0.0, -168.0, -358.0, 0.0, 0, 127, 0
L -168.0, -358.0, 0.0, -180.0, -358.0, 0.0, 0, 127, 0
L -180.0, -358.0, 0.0, -180.0, -378.0, 0.0, 0, 127, 0
L -180.0, -378.0, 0.0, -208.0, -378.0, 0.0, 0, 127, 0
L -208.0, -378.0, 0.0, -208.0, -348.0, 0.0, 0, 127, 0
L -208.0, -348.0, 0.0, -220.0, -348.0, 0.0, 0, 127, 0
L -220.0, -348.0, 0.0, -220.0, -378.0, 0.0, 0, 127, 0
L -220.0, -378.0, 0.0, -230.0, -378.0, 0.0, 0, 127, 0
L -230.0, -378.0, 0.0, -230.0, -388.0, 0.0, 0, 127, 0
L -70.0, -648.0, 0.0, -70.0, -510.0, 0.0, 0, 0, 0
L -70.0, -510.0, 0.0, -78.0, -510.0, 0.0, 0, 0, 0
L -78.0, -510.0, 0.0, -78.0, -480.0, 0.0, 0, 0, 0
L -78.0, -480.0, 0.0, -49.0, -480.0, 0.0, 0, 0, 0
L -49.0, -480.0, 0.0, -49.0, -490.0, 0.0, 0, 0, 0
L -12.0, -490.0, 4.0, -12.0, -488.0, 4.0, 0, 0, 0
L -12.0, -488.0, 4.0, -11.0, -488.0, 4.0, 0, 0, 0
L 9.0, -488.0, 4.0, 11.0, -488.0, 4.0, 0, 0, 0
L 12.0, -490.0, 4.0, 12.0, -488.0, 4.0, 0, 0, 0
L 12.0, -490.0, 4.0, 20.0, -490.0, 3.0, 0, 0, 0
L 49.0, -490.0, 0.0, 49.0, -480.0, 0.0, 0, 0, 0
L 49.0, -480.0, 0.0, 78.0, -480.0, 0.0, 0, 0, 0
L 78.0, -480.0, 0.0, 78.0, -510.0, 0.0, 0, 0, 0
L 70.0, -510.0, 0.0, 78.0, -510.0, 0.0, 0, 0, 0
L 70.0, -510.0, 0.0, 70.0, -648.0, 0.0, 0, 0, 0
L 70.0, -648.0, 0.0, 80.0, -648.0, 0.0, 0, 0, 0
L 80.0, -648.0, 0.0, 110.0, -679.0, 0.0, 0, 0, 0
L 110.0, -679.0, 0.0, 110.0, -710.0, 0.0, 0, 0, 0
L 110.0, -710.0, 0.0, 80.0, -740.0, 0.0, 0, 0, 0
L 80.0, -740.0, 0.0, 74.0, -740.0, 0.0, 0, 0, 0
L 74.0, -740.0, 0.0, 74.0, -742.0, 0.0, 0, 0, 0
L 74.0, -742.0, 0.0, 80.0, -744.0, 0.0, 0, 0, 0
L 80.0, -744.0, 0.0, 80.0, -750.0, 0.0, 0, 0, 0
L 73.0, -748.0, 1.0, 69.0, -746.0, 3.0, 0, 0, 0
L 56.0, -748.0, 1.0, 60.0, -746.0, 3.0, 0, 0, 0
L 73.0, -748.0, 1.0, 73.0, -750.0, 0.0, 0, 0, 0
L 56.0, -750.0, 0.0, 48.0, -750.0, 0.0, 0, 0, 0
L 56.0, -748.0, 1.0, 56.0, -750.0, 0.0, 0, 0, 0
L 48.0, -750.0, 0.0, 49.0, -744.0, 0.0, 0, 0, 0
L 54.0, -742.0, 0.0, 49.0, -744.0, 0.0, 0, 0, 0
L 55.0, -740.0, 0.0, 49.0, -740.0, 0.0, 0, 0, 0
L 55.0, -740.0, 0.0, 54.0, -742.0, 0.0, 0, 0, 0
L 49.0, -740.0, 0.0, 19.0, -710.0, 0.0, 0, 0, 0
L 19.0, -710.0, 0.0, -100.0, -710.0, 0.0, 0, 0, 0
L -100.0, -692.0, 4.0, -102.0, -692.0, 4.0, 0, 0, 0
L -102.0, -692.0, 4.0, -102.0, -688.0, 4.0, 0, 0, 0
L -100.0, -666.0, 4.0, -102.0, -666.0, 4.0, 0, 0, 0
L -70.0, -648.0, 0.0, -100.0, -648.0, 0.0, 0, 0, 0
L -102.0, -670.0, 4.0, -102.0, -666.0, 4.0, 0, 0, 0
L -102.0, -670.0, 4.0, -101.0, -670.0, 4.0, 0, 0, 0
L -97.0, -688.0, 4.0, -101.0, -688.0, 4.0, 0, 0, 0
L -97.0, -688.0, 4.0, -97.0, -706.0, 2.0, 0, 0, 0
L -97.0, -706.0, 2.0, 22.0, -706.0, 4.0, 0, 0, 0
L 22.0, -709.0, 4.0, 22.0, -706.0, 4.0, 0, 0, 0
L 22.0, -709.0, 4.0, 50.0, -736.0, 4.0, 0, 0, 0
L 50.0, -736.0, 4.0, 60.0, -736.0, 3.0, 0, 0, 0
L 60.0, -746.0, 3.0, 60.0, -743.0, 3.0, 0, 0, 0
L 69.0, -746.0, 3.0, 69.0, -743.0, 3.0, 0, 0, 0
L 69.0, -736.0, 3.0, 79.0, -736.0, 4.0, 0, 0, 0
L 79.0, -736.0, 4.0, 107.0, -709.0, 4.0, 0, 0, 0
L 107.0, -709.0, 4.0, 107.0, -680.0, 4.0, 0, 0, 0
