P 100, 1300, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P 100, 1500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 1700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 100, 1900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P 100, 2100, 0, 0, 0, 0, 2, Height_Filter:_25/25
L 231.0, 390.0, -29.0, 214.0, 385.0, -35.0, 0, 0, 0
L 214.0, 385.0, -35.0, 212.0, 380.0, -37.0, 0, 0, 0
L 212.0, 380.0, -37.0, 201.0, 378.0, -41.0, 0, 0, 0
L 201.0, 378.0, -41.0, 193.0, 382.0, -41.0, 0, 0, 0
L 193.0, 382.0, -41.0, 188.0, 393.0, -40.0, 0, 0, 0
L 189.0, 396.0, -39.0, 188.0, 393.0, -40.0, 0, 0, 0
L 189.0, 396.0, -39.0, 180.0, 405.0, -41.0, 0, 0, 0
L 180.0, 405.0, -41.0, 180.0, 476.0, -41.0, 0, 0, 0
L 180.0, 476.0, -41.0, 226.0, 476.0, -41.0, 0, 0, 0
L 209.0, 334.0, -13.0, 207.0, 338.0, -13.0, 0, 0, 0
L 207.0, 338.0, -13.0, 202.0, 338.0, -14.0, 0, 0, 0
L 202.0, 338.0, -14.0, 206.0, 349.0, -15.0, 150, 150, 150
L 206.0, 349.0, -15.0, 212.0, 350.0, -15.0, 150, 150, 150
L 212.0, 350.0, -15.0, 217.0, 355.0, -17.0, 150, 150, 150
L 217.0, 355.0, -17.0, 228.0, 349.0, -13.0, 150, 150, 150
L 228.0, 349.0, -13.0, 238.0, 351.0, -13.0, 150, 150, 150
L 238.0, 351.0, -13.0, 250.0, 345.0, -13.0, 150, 150, 150
L 250.0, 345.0, -13.0, 258.0, 348.0, -15.0, 150, 150, 150
L 258.0, 348.0, -15.0, 259.0, 340.0, -26.0, 150, 150, 150
L 273.0, 354.0, -27.0, 269.0, 342.0, -26.0, 150, 150, 150
L 269.0, 342.0, -26.0, 259.0, 340.0, -26.0, 150, 150, 150
L 273.0, 354.0, -27.0, 263.0, 362.0, -21.0, 150, 150, 150
L 263.0, 362.0, -21.0, 259.0, 370.0, -22.0, 150, 150, 150
L 259.0, 370.0, -22.0, 247.0, 376.0, -25.0, 150, 150, 150
L 247.0, 376.0, -25.0, 235.0, 379.0, -32.0, 150, 150, 150
L 235.0, 379.0, -32.0, 229.0, 370.0, -39.0, 150, 150, 150
L 152.0, 352.0, -14.0, 140.0, 364.0, -41.0, 0, 0, 0
L 140.0, 364.0, -41.0, 140.0, 391.0, -41.0, 0, 0, 0
L 140.0, 391.0, -41.0, 154.0, 405.0, -41.0, 0, 0, 0
L 154.0, 405.0, -41.0, 154.0, 476.0, -41.0, 0, 0, 0
L 154.0, 476.0, -41.0, 111.0, 476.0, -41.0, 0, 0, 0
L 224.0, 502.0, -41.0, 98.0, 502.0, -41.0, 0, 0, 0
L 224.0, 502.0, -41.0, 224.0, 532.0, -41.0, 0, 0, 0
L 224.0, 532.0, -41.0, 197.0, 532.0, -41.0, 0, 0, 0
L 194.0, 544.0, -41.0, 197.0, 544.0, -41.0, 0, 0, 0
L 236.0, 472.0, -41.0, 264.0, 472.0, -41.0, 0, 0, 0
L 264.0, 472.0, -41.0, 264.0, 420.0, -41.0, 0, 0, 0
L 264.0, 420.0, -41.0, 196.0, 420.0, -41.0, 0, 0, 0
L 196.0, 420.0, -41.0, 196.0, 472.0, -41.0, 0, 0, 0
L 196.0, 472.0, -41.0, 226.0, 472.0, -41.0, 0, 0, 0
L 236.0, 544.0, -41.0, 236.0, 474.0, -41.0, 0, 0, 0
L 194.0, 532.0, -41.0, 194.0, 518.0, -41.0, 0, 0, 0
L 194.0, 518.0, -41.0, 154.0, 518.0, -41.0, 0, 0, 0
L 154.0, 518.0, -41.0, 154.0, 548.0, -41.0, 0, 0, 0
L 194.0, 556.0, -69.0, 194.0, 568.0, -69.0, 0, 0, 0
L 194.0, 568.0, -69.0, 194.0, 578.0, -69.0, 0, 0, 0
L 194.0, 568.0, -69.0, 192.0, 566.0, -69.0, 150, 150, 150
L 187.0, 566.0, -69.0, 192.0, 566.0, -69.0, 150, 150, 150
L 187.0, 566.0, -69.0, 185.0, 568.0, -68.0, 150, 150, 150
L 185.0, 568.0, -68.0, 183.0, 569.0, -67.0, 150, 150, 150
L 183.0, 569.0, -67.0, 180.0, 572.0, -67.0, 150, 150, 150
L 180.0, 572.0, -67.0, 182.0, 574.0, -68.0, 150, 150, 150
L 182.0, 574.0, -68.0, 183.0, 576.0, -68.0, 150, 150, 150
L 183.0, 576.0, -68.0, 185.0, 578.0, -69.0, 150, 150, 150
L 185.0, 578.0, -69.0, 194.0, 578.0, -69.0, 150, 150, 150
L 181.0, 628.0, -69.0, 194.0, 628.0, -69.0, 0, 0, 0
L 168.0, 628.0, -69.0, 154.0, 628.0, -69.0, 0, 0, 0
L 154.0, 628.0, -69.0, 154.0, 602.0, -69.0, 0, 0, 0
L 154.0, 602.0, -69.0, 154.0, 598.6, -67.2, 0, 0, 0
L 164.0, 602.0, -69.0, 168.0, 602.0, -69.0, 150, 150, 150
L 168.0, 602.0, -69.0, 168.0, 546.0, -61.0, 150, 150, 150
L 168.0, 546.0, -61.0, 180.0, 546.0, -65.0, 150, 150, 150
L 180.0, 546.0, -65.0, 180.0, 554.0, -64.0, 150, 150, 150
L 180.0, 554.0, -64.0, 183.0, 556.0, -68.0, 150, 150, 150
L 194.0, 556.0, -69.0, 183.0, 556.0, -68.0, 150, 150, 150
L 188.0, 584.0, -67.0, 185.0, 584.0, -69.0, 150, 150, 150
L 183.0, 584.0, -69.0, 180.0, 587.0, -69.0, 150, 150, 150
L 180.0, 587.0, -69.0, 180.0, 602.0, -69.0, 150, 150, 150
L 180.0, 602.0, -69.0, 184.0, 602.0, -69.0, 150, 150, 150
L 184.0, 602.0, -69.0, 185.0, 584.0, -69.0, 150, 150, 150
L 191.0, 586.0, -63.0, 188.0, 584.0, -67.0, 150, 150, 150
L 194.0, 589.0, -69.0, 191.0, 586.0, -63.0, 150, 150, 150
L 164.0, 542.0, -41.0, 184.0, 542.0, -41.0, 150, 150, 150
L 184.0, 542.0, -41.0, 184.0, 554.0, -44.0, 150, 150, 150
L 184.0, 554.0, -46.0, 184.0, 554.0, -44.0, 150, 150, 150
L 194.0, 544.0, -41.0, 194.0, 553.0, -45.0, 0, 0, 0
L 194.0, 553.0, -45.0, 187.0, 553.0, -45.0, 150, 150, 150
L 187.0, 553.0, -45.0, 186.0, 554.0, -46.0, 150, 150, 150
L 186.0, 554.0, -46.0, 184.0, 554.0, -46.0, 150, 150, 150
L 124.0, 460.0, -41.0, 124.0, 364.0, -41.0, 0, 0, 0
L 124.0, 364.0, -41.0, 72.0, 364.0, -41.0, 0, 0, 0
L 72.0, 364.0, -41.0, 72.0, 422.0, -41.0, 0, 0, 0
L 72.0, 422.0, -41.0, 70.0, 422.0, -41.0, 0, 0, 0
L 69.0, 422.0, -41.0, 69.0, 406.0, -41.0, 0, 0, 0
L 69.0, 406.0, -41.0, 55.0, 392.0, -41.0, 0, 0, 0
L 55.0, 392.0, -41.0, 55.0, 384.0, -36.0, 0, 0, 0
L 55.0, 384.0, -36.0, 53.0, 384.0, -33.0, 0, 0, 0
L 53.0, 384.0, -33.0, 48.0, 382.0, -37.0, 0, 0, 0
L 48.0, 382.0, -37.0, 42.0, 379.0, -32.0, 0, 0, 0
L 42.0, 379.0, -32.0, 36.0, 378.0, -30.0, 0, 0, 0
L 36.0, 378.0, -30.0, 30.0, 380.0, -29.0, 0, 0, 0
L 30.0, 380.0, -29.0, 29.0, 382.0, -31.0, 0, 0, 0
L 29.0, 382.0, -31.0, 28.0, 392.0, -40.0, 0, 0, 0
L 28.0, 392.0, -40.0, 14.0, 406.0, -41.0, 0, 0, 0
L 14.0, 406.0, -41.0, 14.0, 422.0, -41.0, 0, 0, 0
L 14.0, 422.0, -41.0, 12.0, 422.0, -41.0, 0, 0, 0
L 11.0, 422.0, -41.0, 11.0, 364.0, -41.0, 0, 0, 0
L 11.0, 364.0, -41.0, -55.0, 364.0, -41.0, 0, 0, 0
L -55.0, 364.0, -41.0, -55.0, 408.0, -41.0, 0, 0, 0
L -55.0, 416.0, -41.0, -54.0, 460.0, -41.0, 0, 0, 0
L -54.0, 460.0, -41.0, -27.0, 460.0, -41.0, 0, 0, 0
L -27.0, 460.0, -41.0, -27.0, 560.0, -41.0, 0, 0, 0
L 14.0, 572.0, -41.0, 14.0, 576.5, -41.0, 0, 0, 0
L 14.0, 600.0, -41.0, 69.0, 600.0, -41.0, 0, 0, 0
L 69.0, 600.0, -41.0, 69.0, 532.0, -41.0, 0, 0, 0
L 69.0, 532.0, -41.0, 14.0, 532.0, -41.0, 0, 0, 0
L 14.0, 532.0, -41.0, 14.0, 560.0, -41.0, 0, 0, 0
L 11.0, 572.0, -41.0, 13.0, 572.0, -41.0, 0, 0, 0
L 14.0, 560.0, -41.0, 13.0, 560.0, -41.0, 0, 0, 0
L 13.0, 560.0, -41.0, -14.0, 560.0, -41.0, 0, 0, 0
L -14.0, 560.0, -41.0, -14.0, 460.0, -41.0, 0, 0, 0
L -56.0, 600.0, -41.0, -111.0, 600.0, -41.0, 0, 0, 0
L -111.0, 600.0, -41.0, -111.0, 572.0, -41.0, 0, 0, 0
L -111.0, 560.0, -41.0, -111.0, 532.0, -41.0, 0, 0, 0
L -110.0, 572.0, -41.0, -111.0, 572.0, -41.0, 0, 0, 0
L -156.0, 560.0, -41.0, -113.0, 560.0, -41.0, 0, 0, 0
L -156.0, 556.0, -41.0, -126.0, 556.0, -41.0, 0, 0, 0
L -126.0, 556.0, -41.0, -126.0, 504.0, -41.0, 0, 0, 0
L -126.0, 504.0, -41.0, -195.0, 504.0, -41.0, 0, 0, 0
L -195.0, 504.0, -41.0, -195.0, 556.0, -41.0, 0, 0, 0
L -195.0, 556.0, -41.0, -167.0, 556.0, -41.0, 0, 0, 0
L -167.0, 572.0, -41.0, -167.0, 558.0, -41.0, 0, 0, 0
L -14.0, 460.0, -41.0, 11.0, 460.0, -41.0, 0, 0, 0
L 11.0, 460.0, -41.0, 11.0, 430.0, -41.0, 0, 0, 0
L -55.0, 416.0, -41.0, -58.0, 416.0, -41.0, 0, 0, 0
L -55.0, 408.0, -41.0, -58.0, 408.0, -41.0, 0, 0, 0
L -58.0, 408.0, -41.0, -58.0, 392.0, -41.0, 0, 0, 0
L -58.0, 392.0, -41.0, -111.0, 392.0, -41.0, 0, 0, 0
L -111.0, 392.0, -41.0, -111.0, 460.0, -41.0, 0, 0, 0
L -111.0, 460.0, -41.0, -58.0, 460.0, -41.0, 0, 0, 0
L -58.0, 460.0, -41.0, -58.0, 416.0, -41.0, 0, 0, 0
L 14.0, 430.0, -41.0, 14.0, 447.0, -41.0, 0, 0, 0
L 14.0, 447.0, -41.0, 28.0, 460.0, -41.0, 0, 0, 0
L 28.0, 460.0, -41.0, 55.0, 460.0, -41.0, 0, 0, 0
L 55.0, 460.0, -41.0, 69.0, 447.0, -41.0, 0, 0, 0
L 69.0, 430.0, -41.0, 69.0, 447.0, -41.0, 0, 0, 0
L 69.0, 430.0, -41.0, 70.0, 430.0, -41.0, 0, 0, 0
L 72.0, 430.0, -41.0, 72.0, 460.0, -41.0, 0, 0, 0
L 151.0, 318.0, -13.0, 151.0, 334.0, -13.0, 0, 0, 0
L 151.0, 334.0, -13.0, 86.0, 334.0, -13.0, 0, 0, 0
L 86.0, 334.0, -13.0, 86.0, 282.0, -13.0, 0, 0, 0
L 86.0, 282.0, -13.0, 151.0, 282.0, -13.0, 0, 0, 0
L 151.0, 282.0, -13.0, 151.0, 310.0, -13.0, 0, 0, 0
L 11.0, 430.0, -41.0, 12.0, 430.0, -41.0, 0, 0, 0
L 181.0, 652.0, -70.0, 191.0, 662.0, -70.0, 0, 255, 0
L 191.0, 662.0, -70.0, 191.0, 683.0, -70.0, 0, 255, 0
L 191.0, 683.0, -70.0, 162.0, 692.0, -70.0, 0, 255, 0
L 162.0, 692.0, -70.0, 142.0, 683.0, -70.0, 0, 255, 0
L 142.0, 683.0, -70.0, 142.0, 669.0, -69.0, 0, 255, 0
L 142.0, 669.0, -69.0, 140.0, 659.0, -69.0, 0, 255, 0
L 140.0, 659.0, -69.0, 140.0, 656.0, -69.0, 0, 255, 0
L 140.0, 656.0, -69.0, 83.0, 656.0, -69.0, 0, 255, 0
L 83.0, 656.0, -69.0, 83.0, 667.0, -69.0, 0, 255, 0
L 83.0, 667.0, -69.0, 82.0, 667.0, -69.0, 0, 255, 0
L 81.0, 672.0, -69.0, 81.0, 670.0, -69.0, 0, 255, 0
L 82.0, 667.0, -69.0, 81.0, 667.0, -69.0, 0, 255, 0
L 70.0, 667.0, -69.0, 72.0, 667.0, -69.0, 0, 255, 0
L 72.0, 672.0, -69.0, 72.0, 670.0, -69.0, 0, 255, 0
L 70.0, 667.0, -69.0, 70.0, 656.0, -69.0, 0, 255, 0
L 70.0, 656.0, -69.0, 14.0, 656.0, -69.0, 0, 255, 0
L 14.0, 656.0, -69.0, 14.0, 630.0, -69.0, 0, 255, 0
L 14.0, 630.0, -69.0, 28.0, 630.0, -69.0, 0, 255, 0
L 28.0, 630.0, -69.0, 28.0, 605.0, -69.0, 0, 255, 0
L 28.0, 605.0, -69.0, 30.0, 605.0, -69.0, 0, 255, 0
L 30.0, 600.0, -69.0, 30.0, 603.0, -69.0, 0, 255, 0
L 39.0, 600.0, -69.0, 39.0, 603.0, -69.0, 0, 255, 0
